pool_id,source_rows,after_membership_rule_rows,after_episode_collapse_rows,after_entry_resolution_rows,replay_complete_count,pool_promotability_status,invalid_pool_reason
r04_rps95,12973,1685,1685,1685,1623,promotable,
r04_rps95_money80,12973,1106,1106,1106,1066,promotable,
r04_rps95_industry80,12973,1269,1269,1269,1219,promotable,
r04_rps95_industry_relative10,12973,212,212,212,207,promotable,
r02_precision_momentum_rps,44120,44120,6056,6056,4675,promotable,
r02_precision_oscillator,23132,23132,7675,7675,5862,promotable,
r02_precision_price_trend,34592,34592,6253,6253,4842,promotable,
r02_precision_pullback_drawdown,56446,56446,6266,6266,4855,promotable,
r02_precision_range_breakout,68679,68679,6558,6558,5002,promotable,
r02_precision_volatility_band,28211,28211,7115,7115,5425,promotable,
r02_precision_volume_money,22806,22806,7940,7940,6090,promotable,
r03c_config_frozen_family_set_pool,0,0,0,0,0,descriptive_lead_only_no_config_keys,no_r03c_promotable_pooling_keys
