split,pool_id,event_count,replay_complete_count,top1_calendar_year_share,top1_calendar_month_share,top1_instrument_share,top5_instrument_share,top1_industry_share,top3_industry_share,top1_market_state_share,top1_industry_state_share,daily_candidate_count_mean,daily_candidate_count_p50,daily_candidate_count_p90,daily_candidate_count_p95,daily_candidate_count_p99,same_instrument_20d_cluster_share,pseudo_diversification_status
train,r02_precision_pullback_drawdown,2863,2309,0.3105134474327628,0.03562696472231924,0.006985679357317499,0.033531260915124,0.11840726510653161,0.27558505064617533,0.7073000349283968,0.5319594830597275,3.694193548387097,3.0,8.0,10.299999999999955,16.519999999999982,0.0,sufficient
validation,r02_precision_pullback_drawdown,1660,1284,0.5042168674698795,0.07228915662650602,0.006626506024096385,0.03253012048192771,0.09518072289156626,0.24759036144578314,0.5373493975903615,0.3680722891566265,4.267352185089974,3.0,9.0,12.0,17.360000000000014,0.0,sufficient
robustness,r02_precision_pullback_drawdown,1739,1278,0.5244393329499712,0.10235767682576193,0.006900517538815411,0.031052328924669345,0.10580793559516964,0.2823461759631973,0.47096032202415183,0.3634272570442783,4.304455445544554,3.0,9.699999999999989,12.849999999999966,19.0,0.0,sufficient
train,r02_precision_range_breakout,3047,2440,0.3209714473252379,0.037742041352149654,0.007548408270429931,0.033475549721037084,0.11946176567115195,0.29931079750574335,0.6878897276009189,0.5195274040039383,4.05186170212766,3.0,8.0,12.0,22.49000000000001,0.0,sufficient
validation,r02_precision_range_breakout,1797,1337,0.5086254869226489,0.07345575959933222,0.00667779632721202,0.031163049526989423,0.09460211463550362,0.2604340567612688,0.49081803005008345,0.35948803561491377,4.619537275064268,3.0,11.0,15.0,21.0,0.0,sufficient
robustness,r02_precision_range_breakout,1707,1240,0.50497949619215,0.08025776215582894,0.006444053895723492,0.03046280023432923,0.10369068541300527,0.2542472173403632,0.5149384885764499,0.38254247217340365,4.388174807197943,3.0,9.199999999999989,13.0,25.0,0.0,sufficient
train,r02_precision_volume_money,3664,2969,0.31877729257641924,0.03711790393013101,0.006550218340611353,0.03193231441048035,0.11763100436681223,0.298853711790393,0.7270742358078602,0.5092794759825328,4.603015075376884,3.0,10.5,14.0,28.0,0.0,sufficient
validation,r02_precision_volume_money,2074,1573,0.5091610414657667,0.0703953712632594,0.0057859209257473485,0.02700096432015429,0.09932497589199614,0.2647058823529412,0.5544840887174542,0.3481195756991321,5.172069825436409,3.0,10.0,15.0,28.0,0.0,sufficient
robustness,r02_precision_volume_money,2200,1558,0.5236363636363637,0.07181818181818182,0.005454545454545455,0.027272727272727275,0.10227272727272728,0.28045454545454546,0.5104545454545455,0.3481818181818182,5.213270142180095,3.0,11.0,14.949999999999989,25.58000000000004,0.0,sufficient
train,r04e_union_r02_volume_money_range_breakout_pullback_drawdown,7367,5977,0.31369621284104793,0.03569974209311796,0.006787023211619384,0.03271345188000543,0.11822994434640967,0.29917198316818244,0.699199131261029,0.5135061761911226,7.870726495726496,5.0,17.0,23.0,37.64999999999998,0.7173883534681689,concentrated
validation,r04e_union_r02_volume_money_range_breakout_pullback_drawdown,4387,3323,0.5137907453840893,0.06496466833827216,0.0059266013220879874,0.028721221791657165,0.09847276042853886,0.2680647367221336,0.5274675176658309,0.35468429450649647,9.599562363238512,7.0,21.0,29.19999999999999,39.75999999999999,0.7410531114656941,concentrated
robustness,r04e_union_r02_volume_money_range_breakout_pullback_drawdown,4475,3252,0.506145251396648,0.07128491620111732,0.00558659217877095,0.02770949720670391,0.10279329608938548,0.2768715083798883,0.5025698324022346,0.36312849162011174,9.582441113490365,7.0,19.0,28.0,37.67999999999995,0.7139664804469273,concentrated
