split,instrument_id,union_event_key,entry_execution_date,source_family_set,nearby_window_trading_days,same_instrument_nearby_source_event_count,same_instrument_nearby_union_event_count,nearest_prior_union_entry_execution_date,nearest_next_union_entry_execution_date,nearby_event_status
robustness,SH600010,SH600010|2024-01-02,2024-01-02,range_breakout,20,3,3,2023-11-07,2024-01-26,clustered_20d
robustness,SH600031,SH600031|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-22,2024-02-07,clustered_20d
robustness,SH600104,SH600104|2024-01-02,2024-01-02,range_breakout;volume_money,20,3,2,2023-11-28,2024-01-29,clustered_20d
robustness,SH600346,SH600346|2024-01-02,2024-01-02,range_breakout,20,2,2,2023-11-01,2024-01-29,clustered_20d
robustness,SH600406,SH600406|2024-01-02,2024-01-02,volume_money,20,2,2,2023-12-22,2024-02-07,clustered_20d
robustness,SH600584,SH600584|2024-01-02,2024-01-02,range_breakout,20,2,2,2023-11-01,2024-01-03,clustered_20d
robustness,SH600938,SH600938|2024-01-02,2024-01-02,pullback_drawdown,20,2,2,2023-12-11,2024-03-12,clustered_20d
robustness,SH600958,SH600958|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-29,2024-04-29,clustered_20d
robustness,SH600989,SH600989|2024-01-02,2024-01-02,range_breakout,20,2,2,2023-12-22,2024-02-20,clustered_20d
robustness,SH601100,SH601100|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-29,2024-02-27,clustered_20d
robustness,SH601166,SH601166|2024-01-02,2024-01-02,pullback_drawdown,20,3,3,2023-12-25,2024-01-03,clustered_20d
robustness,SH601319,SH601319|2024-01-02,2024-01-02,range_breakout,20,3,2,2023-11-16,2024-01-25,clustered_20d
robustness,SH601336,SH601336|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-29,2024-04-23,clustered_20d
robustness,SH601669,SH601669|2024-01-02,2024-01-02,range_breakout,20,3,3,2023-10-09,2024-01-04,clustered_20d
robustness,SH601728,SH601728|2024-01-02,2024-01-02,pullback_drawdown,20,1,1,2023-12-01,2024-03-27,isolated
robustness,SH601800,SH601800|2024-01-02,2024-01-02,volume_money,20,3,3,2023-12-29,2024-01-26,clustered_20d
robustness,SH603369,SH603369|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-29,2024-02-01,clustered_20d
robustness,SZ000538,SZ000538|2024-01-02,2024-01-02,range_breakout,20,1,1,2023-11-02,2024-02-07,isolated
robustness,SZ000725,SZ000725|2024-01-02,2024-01-02,pullback_drawdown;volume_money,20,3,2,2023-12-28,2024-02-07,clustered_20d
robustness,SZ000963,SZ000963|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-29,2024-02-20,clustered_20d
robustness,SZ002027,SZ002027|2024-01-02,2024-01-02,pullback_drawdown,20,2,2,2023-12-29,2024-02-07,clustered_20d
robustness,SZ002049,SZ002049|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-29,2024-02-26,clustered_20d
robustness,SZ002352,SZ002352|2024-01-02,2024-01-02,range_breakout,20,1,1,2023-12-01,2024-02-21,isolated
robustness,SZ002415,SZ002415|2024-01-02,2024-01-02,pullback_drawdown,20,3,2,2023-12-29,2024-02-08,clustered_20d
