canonical_unit_id,split,right_tail_path_status,right_tail_status,event_count
r02_simple_rs20_continuation_natural_exit_v0,robustness,censored_provider_end,censored_not_evaluable,295
r02_simple_rs20_continuation_natural_exit_v0,robustness,complete_same_split_120d,hit_plus20_only,297
r02_simple_rs20_continuation_natural_exit_v0,robustness,complete_same_split_120d,hit_plus50,102
r02_simple_rs20_continuation_natural_exit_v0,robustness,complete_same_split_120d,no_hit_complete,517
r02_simple_rs20_continuation_natural_exit_v0,train,complete_cross_split_120d_readonly,hit_plus20_only,79
r02_simple_rs20_continuation_natural_exit_v0,train,complete_cross_split_120d_readonly,hit_plus50,21
r02_simple_rs20_continuation_natural_exit_v0,train,complete_cross_split_120d_readonly,no_hit_complete,237
r02_simple_rs20_continuation_natural_exit_v0,train,complete_same_split_120d,hit_plus20_only,478
r02_simple_rs20_continuation_natural_exit_v0,train,complete_same_split_120d,hit_plus50,340
r02_simple_rs20_continuation_natural_exit_v0,train,complete_same_split_120d,no_hit_complete,910
r02_simple_rs20_continuation_natural_exit_v0,validation,complete_cross_split_120d_readonly,hit_plus20_only,55
r02_simple_rs20_continuation_natural_exit_v0,validation,complete_cross_split_120d_readonly,hit_plus50,10
r02_simple_rs20_continuation_natural_exit_v0,validation,complete_cross_split_120d_readonly,no_hit_complete,210
r02_simple_rs20_continuation_natural_exit_v0,validation,complete_same_split_120d,hit_plus20_only,225
r02_simple_rs20_continuation_natural_exit_v0,validation,complete_same_split_120d,hit_plus50,53
r02_simple_rs20_continuation_natural_exit_v0,validation,complete_same_split_120d,no_hit_complete,664
