factor_id,valid_train_rankic_date_count,mean_train_rankIC,direction_i,direction_status
alpha002,224,0.021553939287699293,1,direction_active
alpha003,224,-0.01380812360660453,-1,direction_active
alpha004,224,-0.0009140969598661609,-1,direction_active
alpha006,223,-0.004091437275017339,-1,direction_active
alpha007,224,0.056517851660825444,1,direction_active
alpha008,224,0.015155453917390763,1,direction_active
alpha009,224,-0.01432763831151028,-1,direction_active
alpha010,223,0.03568391227532806,1,direction_active
alpha011,224,-0.005327281625048337,-1,direction_active
alpha012,224,0.02105607785393602,1,direction_active
alpha013,224,-0.06108354290508833,-1,direction_active
alpha014,224,-0.017702246736912196,-1,direction_active
alpha015,224,0.003133678795782673,1,direction_active
alpha017,224,0.01554133404267026,1,direction_active
alpha018,224,-0.010858233372277917,-1,direction_active
alpha019,224,-0.01085731005236298,-1,direction_active
alpha020,224,-0.002296798535088194,-1,direction_active
alpha022,224,-0.004917233163816139,-1,direction_active
alpha023,224,0.0038342511919331516,1,direction_active
alpha024,224,-0.011468975745581311,-1,direction_active
alpha025,158,-0.002819594841745294,-1,direction_active
alpha027,224,-0.006818918083112873,-1,direction_active
alpha028,224,0.0014535312886239313,1,direction_active
alpha029,224,-0.0016754923342546326,-1,direction_active
alpha031,224,-0.008174657247415488,-1,direction_active
alpha034,224,0.008174657247415488,1,direction_active
alpha037,224,0.003724069761916677,1,direction_active
alpha038,224,0.012919571508467191,1,direction_active
alpha040,223,-0.015372583828384257,-1,direction_active
alpha041,224,-0.015027760244763086,-1,direction_active
alpha043,224,-0.006562507867053849,-1,direction_active
alpha046,224,0.01071619747023209,1,direction_active
alpha047,224,-0.010770465578996477,-1,direction_active
alpha048,224,0.0032058261642023615,1,direction_active
alpha049,224,-0.004686207098225376,-1,direction_active
alpha050,224,0.004686207098225376,1,direction_active
alpha051,224,0.004686207098225376,1,direction_active
alpha052,223,-0.008306907953243287,-1,direction_active
alpha053,224,-0.0023214039206362882,-1,direction_active
alpha055,224,-0.012018959512437052,-1,direction_active
alpha057,224,0.008206458933004127,1,direction_active
alpha058,224,-0.0007384926389414918,-1,direction_active
alpha059,224,-0.008517022714228191,-1,direction_active
alpha060,224,0.001327244596595473,1,direction_active
alpha063,224,0.001541163894580977,1,direction_active
alpha065,224,0.01607874474200498,1,direction_active
alpha066,224,-0.01607840044611853,-1,direction_active
alpha067,224,-0.000637871514541802,-1,direction_active
alpha068,224,-0.0060291791187192054,-1,direction_active
alpha069,224,-0.007728249006854329,-1,direction_active
alpha070,224,-0.015493164468271188,-1,direction_active
alpha071,224,-0.01172335058281573,-1,direction_active
alpha072,224,-0.011472033167195864,-1,direction_active
alpha075,0,,0,direction_zero
alpha076,224,0.0031304759304445137,1,direction_active
alpha078,224,-0.004019901187043544,-1,direction_active
alpha079,224,-0.001951097844691384,-1,direction_active
alpha080,224,0.0035485476131075543,1,direction_active
alpha081,224,-0.04878553597169755,-1,direction_active
alpha082,224,-0.01221150844666924,-1,direction_active
alpha084,224,-0.024022295845863937,-1,direction_active
alpha086,224,0.008859791447930613,1,direction_active
alpha088,224,-0.012414073145672794,-1,direction_active
alpha089,224,-0.005228807375117458,-1,direction_active
alpha093,224,0.0358657197067037,1,direction_active
alpha094,222,-0.03270730038859076,-1,direction_active
alpha095,224,-0.02105916855924499,-1,direction_active
alpha096,224,0.009757128085433539,1,direction_active
alpha097,224,-0.05320092790824509,-1,direction_active
alpha098,224,0.024191851267537264,1,direction_active
alpha100,224,-0.05466100929116561,-1,direction_active
alpha102,224,-0.004276296995221464,-1,direction_active
alpha106,224,-0.0037020626543698898,-1,direction_active
alpha107,224,0.003949841376979492,1,direction_active
alpha109,224,0.007476358750744927,1,direction_active
alpha110,224,-0.014984148132090952,-1,direction_active
alpha111,224,0.018561256259599226,1,direction_active
alpha112,224,0.005448448982704662,1,direction_active
alpha114,224,0.04737490751049519,1,direction_active
alpha118,224,-0.013137866601485743,-1,direction_active
alpha120,224,0.009538448610491388,1,direction_active
alpha122,224,-0.016569139724083245,-1,direction_active
alpha124,222,-0.055982237860125725,-1,direction_active
alpha126,224,0.03629955690864545,1,direction_active
alpha127,224,-0.0284709282150524,-1,direction_active
alpha128,224,-0.009972599388588538,-1,direction_active
alpha129,224,0.031643589613227795,1,direction_active
alpha132,224,-0.010961413818222975,-1,direction_active
alpha134,224,-0.007961767363234,-1,direction_active
alpha135,224,-0.015221424487585974,-1,direction_active
alpha137,224,-0.022427709749370382,-1,direction_active
alpha144,224,0.006364069678491611,1,direction_active
alpha145,223,-0.017507875091333072,-1,direction_active
alpha146,216,0.008483686932133715,1,direction_active
alpha150,224,-0.020763636383754554,-1,direction_active
alpha151,224,-0.0026037215444782162,-1,direction_active
alpha152,221,-0.023196329926924858,-1,direction_active
alpha153,224,0.0370104145808937,1,direction_active
alpha155,224,0.013600480718534032,1,direction_active
alpha156,224,-0.018524207798432446,-1,direction_active
alpha158,224,0.007009495419788959,1,direction_active
alpha159,223,0.0009532524987566034,1,direction_active
alpha160,224,0.03502695126523865,1,direction_active
alpha161,224,0.032181167284961634,1,direction_active
alpha162,224,0.0076382804883735255,1,direction_active
alpha163,224,0.019132564084386326,1,direction_active
alpha164,224,-0.027194048520192804,-1,direction_active
alpha166,220,-0.005426752844382104,-1,direction_active
alpha167,224,0.026696433592542968,1,direction_active
alpha168,224,0.0022212361524649067,1,direction_active
alpha169,223,-0.01013752235436352,-1,direction_active
alpha170,224,0.004449072839118037,1,direction_active
alpha171,216,0.02001180907640289,1,direction_active
alpha172,224,0.0073874082354450105,1,direction_active
alpha173,224,0.03679400892854084,1,direction_active
alpha174,224,0.03355939748226391,1,direction_active
alpha175,224,0.03253793062801944,1,direction_active
alpha178,224,-0.018667373903502992,-1,direction_active
alpha181,220,-0.004671072962634425,-1,direction_active
alpha182,224,0.014840525815931326,1,direction_active
alpha185,224,0.003343876938935322,1,direction_active
alpha186,223,0.008837433693569059,1,direction_active
alpha187,224,0.02804586609623853,1,direction_active
alpha188,224,0.003440192782586938,1,direction_active
alpha189,224,0.03329590708701295,1,direction_active
