split,horizon,market_state,beta_bucket,count,mean
robustness,H10,mixed,high_beta,312,0.005006453297285261
robustness,H10,mixed,low_beta,185,-0.014193633402582189
robustness,H10,mixed,mid_beta,216,-0.013453564956724532
robustness,H10,risk_off,high_beta,656,0.017814746160189247
robustness,H10,risk_off,low_beta,392,-0.004317792309207466
robustness,H10,risk_off,mid_beta,367,0.011358834269763429
robustness,H10,risk_on,high_beta,713,-0.002397076790437363
robustness,H10,risk_on,low_beta,1014,-0.00914300425605218
robustness,H10,risk_on,mid_beta,629,-0.01571306037794026
robustness,H20,mixed,high_beta,289,0.004502598878910238
robustness,H20,mixed,low_beta,154,-0.005137405316691614
robustness,H20,mixed,mid_beta,210,-0.013737676511871147
robustness,H20,risk_off,high_beta,630,0.0367762903527311
robustness,H20,risk_off,low_beta,354,0.007186960307404951
robustness,H20,risk_off,mid_beta,365,0.023902354501402233
robustness,H20,risk_on,high_beta,707,0.008920749012317947
robustness,H20,risk_on,low_beta,1008,-0.008623344414658781
robustness,H20,risk_on,mid_beta,627,-0.010979356816737278
robustness,H5,mixed,high_beta,345,0.007316719572155194
robustness,H5,mixed,low_beta,207,-0.01447415042985701
robustness,H5,mixed,mid_beta,222,-0.004951681908313179
robustness,H5,risk_off,high_beta,666,0.002652895849114237
robustness,H5,risk_off,low_beta,395,-0.005322718455164769
robustness,H5,risk_off,mid_beta,371,0.0022780961069854932
robustness,H5,risk_on,high_beta,715,-0.010482529932839707
robustness,H5,risk_on,low_beta,1019,-0.009083179048561416
robustness,H5,risk_on,mid_beta,631,-0.015877973196864677
train,H10,mixed,high_beta,338,-0.003779737092169642
train,H10,mixed,low_beta,180,-0.003313261265755007
train,H10,mixed,mid_beta,220,0.004472061272210412
train,H10,risk_off,high_beta,559,0.0017915372010341292
train,H10,risk_off,low_beta,207,-0.01382734095113258
train,H10,risk_off,mid_beta,334,0.012029069145177871
train,H10,risk_on,high_beta,648,-0.0001467554123786115
train,H10,risk_on,low_beta,497,-0.0035415337742584997
train,H10,risk_on,mid_beta,716,0.007627400297847557
train,H20,mixed,high_beta,333,0.012136091436095939
train,H20,mixed,low_beta,176,0.004582733298903922
train,H20,mixed,mid_beta,216,0.019694344239130353
train,H20,risk_off,high_beta,551,0.0004756087653479368
train,H20,risk_off,low_beta,199,-0.009432010302370038
train,H20,risk_off,mid_beta,329,0.012975743174858997
train,H20,risk_on,high_beta,622,0.004443742563207896
train,H20,risk_on,low_beta,447,0.005051349792565503
train,H20,risk_on,mid_beta,667,0.030727237695792393
train,H5,mixed,high_beta,341,-0.0030084204346807384
train,H5,mixed,low_beta,186,-0.012917265225868267
train,H5,mixed,mid_beta,221,-0.0017296279286498598
train,H5,risk_off,high_beta,564,0.0014954095511881143
train,H5,risk_off,low_beta,211,-0.00603216581006872
train,H5,risk_off,mid_beta,334,0.008008252629790335
train,H5,risk_on,high_beta,675,-0.008407668115949347
train,H5,risk_on,low_beta,521,-0.013665953983926038
train,H5,risk_on,mid_beta,735,-0.0055573089834215494
validation,H10,mixed,high_beta,304,-0.01063262806218554
validation,H10,mixed,low_beta,207,-0.01104281085686348
validation,H10,mixed,mid_beta,280,-0.014362936426637041
validation,H10,risk_off,high_beta,1102,-0.018093456770488497
validation,H10,risk_off,low_beta,555,-0.015054000961797495
validation,H10,risk_off,mid_beta,966,-0.011493352722897726
validation,H10,risk_on,high_beta,263,-0.01134240507849648
validation,H10,risk_on,low_beta,298,-0.0082910918726156
validation,H10,risk_on,mid_beta,296,-0.006864299158414355
validation,H20,mixed,high_beta,308,-0.0004937907738389526
validation,H20,mixed,low_beta,207,-0.004548561629510868
validation,H20,mixed,mid_beta,281,0.006931137610422115
validation,H20,risk_off,high_beta,1038,-0.03349686437119287
validation,H20,risk_off,low_beta,534,-0.023590138515744766
validation,H20,risk_off,mid_beta,925,-0.02165180690791519
validation,H20,risk_on,high_beta,254,-0.008700273069204748
validation,H20,risk_on,low_beta,297,-0.005766250865924274
validation,H20,risk_on,mid_beta,290,-0.00650623993302488
validation,H5,mixed,high_beta,310,-0.010916358469096173
validation,H5,mixed,low_beta,212,-0.012892872311698956
validation,H5,mixed,mid_beta,279,-0.01447551117861093
validation,H5,risk_off,high_beta,1139,-0.013445458913332464
validation,H5,risk_off,low_beta,565,-0.013494645924795046
validation,H5,risk_off,mid_beta,988,-0.01057511329679803
validation,H5,risk_on,high_beta,263,-0.013686279758673078
validation,H5,risk_on,low_beta,301,-0.010484794713131032
validation,H5,risk_on,mid_beta,299,-0.007243647668317636
