horizon,split,blocked_reason,blocked_count
H10,robustness,missing_exit_open,6
H10,robustness,missing_open,1
H10,robustness,not_universe_member,89
H10,robustness,split_boundary,165
H10,train,missing_exit_open,1
H10,train,missing_open,2
H10,train,not_universe_member,86
H10,train,split_boundary,157
H10,validation,missing_open,1
H10,validation,not_universe_member,107
H10,validation,split_boundary,124
H20,robustness,missing_exit_open,7
H20,robustness,missing_open,1
H20,robustness,not_universe_member,118
H20,robustness,split_boundary,271
H20,train,missing_exit_open,2
H20,train,missing_open,2
H20,train,not_universe_member,119
H20,train,split_boundary,262
H20,validation,missing_open,1
H20,validation,not_universe_member,146
H20,validation,split_boundary,208
H5,robustness,missing_exit_open,7
H5,robustness,missing_open,1
H5,robustness,not_universe_member,64
H5,robustness,split_boundary,110
H5,train,missing_open,2
H5,train,not_universe_member,58
H5,train,split_boundary,105
H5,validation,missing_open,1
H5,validation,not_universe_member,71
H5,validation,split_boundary,82
