factor_id,direction_i,mean_train_rankIC,stability_selected,representative_eligible
alpha002,1,0.021805104615218937,True,True
alpha003,-1,-0.01659179905192028,True,True
alpha004,-1,-0.0017066648357171566,False,False
alpha006,-1,-0.0028415979992454715,False,False
alpha007,1,0.06029030793557375,True,True
alpha008,1,0.01757837083907808,True,True
alpha009,-1,-0.017929301092060163,True,True
alpha010,1,0.04024132042465904,True,True
alpha011,-1,-0.005807171897013236,True,True
alpha012,1,0.02324827876646902,True,True
alpha013,-1,-0.06483622941326703,True,True
alpha014,-1,-0.016236219894357383,True,True
alpha015,-1,-0.0012153081219131332,False,False
alpha017,1,0.013276453168139427,True,True
alpha018,-1,-0.00975793126462788,False,False
alpha019,-1,-0.009757945190307735,False,False
alpha020,-1,-0.005953869995740083,True,True
alpha022,-1,-0.008511010278190186,False,False
alpha023,1,0.008648226535311462,False,False
alpha024,-1,-0.014321066815446554,True,True
alpha025,-1,-0.01984174538685104,False,False
alpha027,-1,-0.009721802503498167,True,False
alpha028,1,0.004328172241087375,False,False
alpha029,-1,-0.006594644899026153,True,True
alpha031,-1,-0.011543462010642354,True,True
alpha034,1,0.011543462010642354,True,True
alpha037,1,0.005043292117849063,True,False
alpha038,1,0.013339178334958571,True,True
alpha040,-1,-0.008927612630070716,True,True
alpha041,-1,-0.016868758649489685,True,True
alpha043,-1,-0.01173137505487809,True,True
alpha046,1,0.01309400681515856,True,True
alpha047,-1,-0.013853662227978139,True,True
alpha048,1,0.005507505003927253,True,True
alpha049,-1,-0.003099088464139487,False,False
alpha050,1,0.003099088464139487,False,False
alpha051,1,0.003099088464139487,False,False
alpha052,1,0.001329961615241685,False,False
alpha053,1,0.0019096460538845137,False,False
alpha055,-1,-0.011848523751946498,True,True
alpha057,1,0.007372882824099841,True,True
alpha058,1,0.00767943992686487,False,False
alpha059,-1,-0.006456700066405301,True,True
alpha060,1,0.007407206369617701,True,True
alpha063,-1,-0.00028958776405851037,False,False
alpha065,1,0.018909030084137343,True,True
alpha066,-1,-0.01890829558624626,True,True
alpha067,1,0.007624821845726724,False,False
alpha068,-1,-0.01012197787974235,True,True
alpha069,-1,-0.004867246012124982,False,False
alpha070,-1,-0.007992374795859392,True,True
alpha071,-1,-0.01394112142334655,True,True
alpha072,-1,-0.01823121643746966,True,True
alpha075,0,,False,False
alpha076,-1,-0.00044003825609246724,False,False
alpha078,-1,-0.007527747841218796,True,False
alpha079,-1,-0.00088886739051545,False,False
alpha080,-1,-0.00025794509511741436,False,False
alpha081,-1,-0.0472781519440807,True,True
alpha082,-1,-0.021158232216385905,True,True
alpha084,-1,-0.02322956905212351,True,True
alpha086,1,0.013488791598059418,True,True
alpha088,-1,-0.010126814209045178,True,True
alpha089,-1,-0.010404266483186356,True,True
alpha093,1,0.04039231183002823,True,True
alpha094,-1,-0.030128208616822083,True,True
alpha095,-1,-0.015522846500164954,True,True
alpha096,1,0.011296229944801154,True,True
alpha097,-1,-0.051916329266991176,True,True
alpha098,1,0.029313258081154335,True,True
alpha100,-1,-0.0546389715639964,True,True
alpha102,-1,-0.007492372180749591,True,False
alpha106,-1,-0.002296859912496181,False,False
alpha107,1,0.01151732989083392,False,False
alpha109,1,0.008654560865052851,True,True
alpha110,-1,-0.012040993406248063,True,True
alpha111,1,0.019310295810077142,True,True
alpha112,1,0.004067703497362166,False,False
alpha114,1,0.05318198540433494,True,True
alpha118,-1,-0.013667625676622285,True,True
alpha120,1,0.004942875528168746,False,False
alpha122,-1,-0.009787928605779147,True,False
alpha124,-1,-0.05675304803271876,True,True
alpha126,1,0.04228530484621769,True,True
alpha127,-1,-0.03327013174326101,True,True
alpha128,-1,-0.00796605781701249,True,True
alpha129,1,0.03924837544388808,True,True
alpha132,-1,-0.0030902406651862804,False,False
alpha134,-1,-0.011676115509162735,True,True
alpha135,-1,-0.00783544488741507,True,False
alpha137,-1,-0.025971813276667012,True,True
alpha144,1,0.001286857688016901,False,False
alpha145,-1,-0.011756672769394363,True,True
alpha146,1,0.015350611909801876,True,True
alpha150,-1,-0.013514674272550053,True,True
alpha151,1,0.007560433469988868,False,False
alpha152,-1,-0.01174974346030103,True,True
alpha153,1,0.04325390760596387,True,True
alpha155,1,0.011196977321266918,True,True
alpha156,-1,-0.02274081307035026,True,True
alpha158,1,0.009810788259273182,True,True
alpha159,1,0.007218464030022109,False,False
alpha160,1,0.04033137056231255,True,True
alpha161,1,0.039918918760449514,True,True
alpha162,1,0.00350383978257442,False,False
alpha163,1,0.025356835510657795,True,True
alpha164,-1,-0.03337089632564698,True,True
alpha166,-1,-0.00532583194213775,True,False
alpha167,1,0.033831462011256364,True,True
alpha168,1,0.0023807778669938046,False,False
alpha169,-1,-0.008420225673443086,True,True
alpha170,1,0.0024474711861451398,False,False
alpha171,1,0.022217261632681107,True,True
alpha172,1,0.00701630994000105,True,True
alpha173,1,0.042823248723065074,True,True
alpha174,1,0.03867040035924493,True,True
alpha175,1,0.03998787246075651,True,True
alpha178,-1,-0.023098492442167762,True,True
alpha181,1,0.0023844411564308545,False,False
alpha182,1,0.021556860972784943,True,True
alpha185,-1,-0.004766469575186204,False,False
alpha186,1,0.009911449782223752,True,True
alpha187,1,0.03543755914236331,True,True
alpha188,1,0.0015071819484709496,False,False
alpha189,1,0.040614636590686225,True,True
