factor_id,primary_label_comparator,audit_label_comparator,primary_mean_train_rankIC,audit_mean_train_rankIC,primary_audit_sign_agree,representative_flag,selected_factor_flag
alpha002,eligible_minus_target,frozen_composite_nonselected_preferred,0.021805104615218937,0.010134618587189987,True,True,True
alpha003,eligible_minus_target,frozen_composite_nonselected_preferred,-0.01659179905192028,-0.008834866632132087,True,True,True
alpha004,eligible_minus_target,frozen_composite_nonselected_preferred,-0.0017066648357171566,-0.0035665920402773526,True,False,False
alpha006,eligible_minus_target,frozen_composite_nonselected_preferred,-0.0028415979992454715,-0.004730889731660553,True,False,False
alpha007,eligible_minus_target,frozen_composite_nonselected_preferred,0.06029030793557375,0.028684732935914555,True,False,True
alpha008,eligible_minus_target,frozen_composite_nonselected_preferred,0.01757837083907808,0.033184453826190334,True,False,True
alpha009,eligible_minus_target,frozen_composite_nonselected_preferred,-0.017929301092060163,-0.012324919616030728,True,True,True
alpha010,eligible_minus_target,frozen_composite_nonselected_preferred,0.04024132042465904,-0.007170468505869151,False,False,True
alpha011,eligible_minus_target,frozen_composite_nonselected_preferred,-0.005807171897013236,-0.006935509400287077,True,True,True
alpha012,eligible_minus_target,frozen_composite_nonselected_preferred,0.02324827876646902,0.013819848275727617,True,True,True
alpha013,eligible_minus_target,frozen_composite_nonselected_preferred,-0.06483622941326703,-0.022308575760957013,True,True,True
alpha014,eligible_minus_target,frozen_composite_nonselected_preferred,-0.016236219894357383,-0.0299167596401326,True,True,True
alpha015,eligible_minus_target,frozen_composite_nonselected_preferred,-0.0012153081219131332,0.03240955020624691,False,False,False
alpha017,eligible_minus_target,frozen_composite_nonselected_preferred,0.013276453168139427,0.030970797965232885,True,False,True
alpha018,eligible_minus_target,frozen_composite_nonselected_preferred,-0.00975793126462788,-0.03840289526133602,True,False,False
alpha019,eligible_minus_target,frozen_composite_nonselected_preferred,-0.009757945190307735,-0.03840289526133602,True,False,False
