instrument_id,signal_date,split,open,high,low,close,volume,money,vwap,avg_money20_D,industry_id,industry_name,liquidity_quintile,beta_bucket,market_state,base_eligible,candidate_row_id,included_factor_count,valid_included_factor_count,eligible_after_factor_coverage,active_factor_count,score_raw,score_final,eligible_count,selected_flag,canonical_unit_id,event_key,unit_role
SH601155,2020-02-21,train,30.3,30.43,29.75,29.89,13753400.0,463174530.0,33.677094,498914196.8,sw_801180,房地产,q3,high_beta,risk_on,True,32742,50,49,True,49,0.2034391155656503,0.2034391155656503,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH601155_2020-02-21,selected
SH603658,2020-02-21,train,86.53,87.56,83.34,84.71,1957800.0,230562480.0,117.766106,224723696.4,sw_801150,医药生物,q1,low_beta,risk_on,True,57874,50,49,True,49,0.17359091871779184,0.17359091871779184,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH603658_2020-02-21,selected
SH600845,2020-02-21,train,17.35,17.87,17.34,17.52,18146880.0,862537540.0,47.5309,615152274.4,sw_801750,计算机,q3,mid_beta,risk_on,True,23445,50,49,True,49,0.17238363684440144,0.17238363684440144,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH600845_2020-02-21,selected
SZ002371,2020-02-21,train,111.16,113.91,110.98,112.44,11160370.0,1704885600.0,152.76247,1646580041.6,sw_801080,电子,q4,high_beta,risk_on,True,78616,50,49,True,49,0.17185489962599715,0.17185489962599715,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SZ002371_2020-02-21,selected
SH600036,2020-02-21,train,27.17,27.19,26.85,26.98,73031470.0,2603112400.0,35.643707,2287246054.4,sw_801780,银行,q5,low_beta,risk_on,True,6255,50,49,True,49,0.16522603428789548,0.16522603428789548,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH600036_2020-02-21,selected
SZ002460,2020-02-21,train,39.35,39.95,38.68,38.87,60937600.0,3554686700.0,58.333225,3245086400.0,sw_801050,有色金属,q5,high_beta,risk_on,True,80018,50,49,True,49,0.16331651939877442,0.16331651939877442,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SZ002460_2020-02-21,selected
SH600276,2020-02-21,train,61.43,61.69,61.14,61.35,19334718.0,1743550000.0,90.17716,2176753088.0,sw_801150,医药生物,q5,low_beta,risk_on,True,11798,50,49,True,49,0.15778547132444776,0.15778547132444776,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH600276_2020-02-21,selected
SH600061,2020-02-21,train,8.77,9.01,8.54,8.68,56276400.0,807819650.0,14.354501,512073402.4,sw_801790,非银金融,q3,high_beta,risk_on,True,7680,50,49,True,49,0.14419917477180763,0.14419917477180763,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH600061_2020-02-21,selected
SH600660,2020-02-21,train,21.08,21.27,20.66,20.96,18712358.0,466955040.0,24.954367,365144326.4,sw_801880,汽车,q2,mid_beta,risk_on,True,19227,50,49,True,49,0.13647928689511454,0.13647928689511454,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH600660_2020-02-21,selected
SH600999,2020-02-21,train,13.84,14.16,13.62,13.67,43878776.0,843240770.0,19.217508,492982772.0,sw_801790,非银金融,q2,high_beta,risk_on,True,28030,50,49,True,49,0.13008620564312656,0.13008620564312656,179,True,r05_gtja191_train_stable_cluster_neutralized_composite_v0,r05_selected_SH600999_2020-02-21,selected
