factor_id,horizon,train_mean_rankIC,direction_i
alpha002,H1,0.024001053148073798,1.0
alpha002,H10,0.021553864036872847,1.0
alpha002,H20,0.021368926316884588,1.0
alpha002,H3,0.014143514450448648,1.0
alpha002,H5,0.01870007413632647,1.0
alpha003,H1,-0.02350646171591982,-1.0
alpha003,H10,-0.01380969439081398,-1.0
alpha003,H20,-0.004740879315356192,-1.0
alpha003,H3,-0.031031647554403196,-1.0
alpha003,H5,-0.030412442802339228,-1.0
alpha004,H1,0.011133509978251842,1.0
alpha004,H10,-0.0009116324991573053,-1.0
alpha004,H20,-0.00015287458827771837,-1.0
alpha004,H3,0.02026417945141978,1.0
alpha004,H5,0.014102890206638206,1.0
alpha006,H1,-0.01309717754467676,-1.0
alpha006,H10,-0.004089101071129737,-1.0
alpha006,H20,-0.0036715741233128347,-1.0
alpha006,H3,-0.0029130916829892234,-1.0
alpha006,H5,-0.0002767156129820771,-1.0
alpha007,H1,0.007060464080592553,1.0
alpha007,H10,0.05651581540591095,1.0
alpha007,H20,0.07824771586898778,1.0
alpha007,H3,0.028950188417000672,1.0
alpha007,H5,0.0407507995027421,1.0
alpha008,H1,0.005844296225321613,1.0
alpha008,H10,0.015156902677784582,1.0
alpha008,H20,0.007317091278123206,1.0
alpha008,H3,0.024970877730605103,1.0
alpha008,H5,0.026142956865415897,1.0
alpha009,H1,-0.014114485347341527,-1.0
alpha009,H10,-0.014328848377391729,-1.0
alpha009,H20,-0.005534183270565047,-1.0
alpha009,H3,-0.028345779421236943,-1.0
alpha009,H5,-0.02711997977777328,-1.0
alpha010,H1,0.005867438896563856,1.0
alpha010,H10,0.03568298499656753,1.0
alpha010,H20,0.05094359945600388,1.0
alpha010,H3,0.014998865094517363,1.0
alpha010,H5,0.01970831182850011,1.0
alpha011,H1,-0.010455408243898099,-1.0
alpha011,H10,-0.005331778085715709,-1.0
alpha011,H20,0.007889297234217258,1.0
alpha011,H3,-0.014190129694127633,-1.0
alpha011,H5,-0.013692500352864963,-1.0
alpha012,H1,-0.003317242290596831,-1.0
alpha012,H10,0.021056731422435533,1.0
alpha012,H20,0.02952539323288451,1.0
alpha012,H3,0.016136451142315288,1.0
alpha012,H5,0.01176618076738091,1.0
alpha013,H1,-0.005274599179407556,-1.0
alpha013,H10,-0.06108180594574451,-1.0
alpha013,H20,-0.08687167284958842,-1.0
alpha013,H3,-0.029526659768293884,-1.0
alpha013,H5,-0.043738413596653265,-1.0
alpha014,H1,-0.014270696837302463,-1.0
alpha014,H10,-0.017704003122707004,-1.0
alpha014,H20,-0.008434477800519289,-1.0
alpha014,H3,-0.028268069312014667,-1.0
alpha014,H5,-0.02656960168733233,-1.0
alpha015,H1,-0.0010726591276684846,-1.0
alpha015,H10,0.003137693615132392,1.0
alpha015,H20,0.005287507942789485,1.0
alpha015,H3,0.007356968603795867,1.0
alpha015,H5,-0.0018018334898514698,-1.0
alpha017,H1,0.01608537912884769,1.0
alpha017,H10,0.015543066032228298,1.0
alpha017,H20,0.007470971208338302,1.0
alpha017,H3,0.02602200321277254,1.0
alpha017,H5,0.022391786136669024,1.0
alpha018,H1,-0.01183007951175929,-1.0
alpha018,H10,-0.010859956205053983,-1.0
alpha018,H20,-0.008547588683301533,-1.0
alpha018,H3,-0.030703804699754176,-1.0
alpha018,H5,-0.026295924971979516,-1.0
alpha019,H1,-0.011830378566675931,-1.0
alpha019,H10,-0.010859032886250616,-1.0
alpha019,H20,-0.008545719775863964,-1.0
alpha019,H3,-0.030703882394130664,-1.0
alpha019,H5,-0.02629403385840053,-1.0
alpha020,H1,-0.01589671656397541,-1.0
alpha020,H10,-0.002298438083746703,-1.0
alpha020,H20,0.0015407444972848723,1.0
alpha020,H3,-0.023115284798100415,-1.0
alpha020,H5,-0.021115918953316132,-1.0
alpha022,H1,-0.0162134757420638,-1.0
alpha022,H10,-0.004918626100221735,-1.0
alpha022,H20,-0.003803472011258888,-1.0
alpha022,H3,-0.027315376342580674,-1.0
alpha022,H5,-0.019588005157726063,-1.0
alpha023,H1,0.00420045330697724,1.0
alpha023,H10,0.0038342191063219034,1.0
alpha023,H20,0.01462913485352174,1.0
alpha023,H3,-0.0012391237785505035,-1.0
alpha023,H5,-0.00963665581655616,-1.0
alpha024,H1,-0.00757282019743088,-1.0
alpha024,H10,-0.011468003279210012,-1.0
alpha024,H20,-0.005286870039235946,-1.0
alpha024,H3,-0.010893283786547796,-1.0
alpha024,H5,-0.01682954965858721,-1.0
alpha025,H1,0.019411984947114297,1.0
alpha025,H10,-0.002819594841745294,-1.0
alpha025,H20,-0.01449279638961669,-1.0
alpha025,H3,0.011009711376004287,1.0
alpha025,H5,0.011541388819146804,1.0
alpha027,H1,0.0015529555830144062,1.0
alpha027,H10,-0.0068172800478171714,-1.0
