family,fold_id,factor_id,total_valid_instrument_count,nonconstant_instrument_count,factor_nonconstant_observation_share,factor_nonconstant_observation_pass
vwap_deviation,0,alpha018,191,191,1.0,True
vwap_deviation,0,alpha027,191,191,1.0,True
vwap_deviation,0,alpha041,191,191,1.0,True
vwap_deviation,0,alpha095,191,191,1.0,True
vwap_deviation,0,alpha144,191,191,1.0,True
vwap_deviation,0,alpha156,191,191,1.0,True
vwap_deviation,1,alpha018,186,186,1.0,True
vwap_deviation,1,alpha027,186,186,1.0,True
vwap_deviation,1,alpha041,186,186,1.0,True
vwap_deviation,1,alpha095,186,186,1.0,True
vwap_deviation,1,alpha144,186,186,1.0,True
vwap_deviation,1,alpha156,186,186,1.0,True
vwap_deviation,2,alpha018,187,187,1.0,True
vwap_deviation,2,alpha027,187,187,1.0,True
vwap_deviation,2,alpha041,187,187,1.0,True
vwap_deviation,2,alpha095,187,187,1.0,True
vwap_deviation,2,alpha144,187,187,1.0,True
vwap_deviation,2,alpha156,187,187,1.0,True
vwap_deviation,3,alpha018,175,175,1.0,True
vwap_deviation,3,alpha027,175,175,1.0,True
vwap_deviation,3,alpha041,175,175,1.0,True
vwap_deviation,3,alpha095,175,175,1.0,True
vwap_deviation,3,alpha144,175,175,1.0,True
vwap_deviation,3,alpha156,175,175,1.0,True
vwap_deviation,4,alpha018,185,185,1.0,True
vwap_deviation,4,alpha027,185,185,1.0,True
vwap_deviation,4,alpha041,185,185,1.0,True
vwap_deviation,4,alpha095,185,185,1.0,True
vwap_deviation,4,alpha144,185,185,1.0,True
vwap_deviation,4,alpha156,185,185,1.0,True
