family,fold_id,factor_id,direction_source_split,direction_source_instrument_scope,direction_label_horizon,fold_direction_valid_instrument_count,factor_nonconstant_observation_share,factor_direction_stat_full_daily,factor_direction_stat_anchor_offset_0,factor_direction_stat_anchor_offset_1,factor_direction_stat_anchor_offset_2,factor_direction_stat_anchor_median,factor_direction_anchor_positive_sign_count,factor_direction_anchor_negative_sign_count,full_daily_direction_sign_agree_count,direction_anchor_stability_pass,direction,direction_status,direction_insufficient_factor_dropped
volume_surge_money_flow,0,alpha025,train,seen_folds_not_0,H3,170,1.0,0.016950335208350865,0.01744742317854278,0.02600541338022832,0.010401471628201039,0.01744742317854278,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,0,alpha069,train,seen_folds_not_0,H3,191,1.0,-0.02820008765544973,-0.031315679846682855,-0.02376906855908581,-0.030862373559136926,-0.030862373559136926,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha076,train,seen_folds_not_0,H3,191,1.0,0.004261274186278048,0.003894210546696085,0.0037960758873408487,0.0024438559193248415,0.0037960758873408487,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,0,alpha080,train,seen_folds_not_0,H3,191,1.0,0.011711073370350975,0.0347112986574484,0.006399684915169526,-0.004340137602578229,0.006399684915169526,2,1,2,True,1.0,direction_available,False
volume_surge_money_flow,0,alpha081,train,seen_folds_not_0,H3,191,1.0,-0.07686815994455129,-0.06642202335612202,-0.06423614680405937,-0.08026965922611025,-0.06642202335612202,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha086,train,seen_folds_not_0,H3,191,1.0,-0.018424182890109542,-0.027774248157622035,-0.010692971493422503,-0.015280931735521445,-0.015280931735521445,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha098,train,seen_folds_not_0,H3,191,1.0,0.008686400922740508,0.006116902093969774,0.014057490922227349,0.008916165362313067,0.008916165362313067,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,0,alpha100,train,seen_folds_not_0,H3,191,1.0,-0.04844044678713367,-0.04304817825838914,-0.046062552000762,-0.05584312054174083,-0.046062552000762,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha135,train,seen_folds_not_0,H3,191,1.0,-0.04112745935449341,-0.049193488160684855,-0.037932741155061206,-0.03938623286419464,-0.03938623286419464,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha145,train,seen_folds_not_0,H3,191,1.0,-0.0125632660623593,-0.007698605640895926,-0.012559692888039228,-0.014391117376335368,-0.012559692888039228,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha146,train,seen_folds_not_0,H3,190,1.0,-0.00046452891354577946,-0.008346146562146793,0.005955596676247725,-0.002079916828666554,-0.002079916828666554,1,2,2,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha168,train,seen_folds_not_0,H3,191,1.0,-0.012167828203115523,-0.03330746930285698,-0.010006440474838585,0.0009379497713197185,-0.010006440474838585,1,2,2,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha169,train,seen_folds_not_0,H3,191,1.0,-0.014630754551520301,-0.01368684776656611,-0.006362708428851658,-0.01561083511300325,-0.01368684776656611,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,0,alpha178,train,seen_folds_not_0,H3,191,1.0,-0.0015174205151467367,0.003660710427151923,-0.007342899271502666,0.014170315778323745,0.003660710427151923,2,1,1,False,1.0,factor_direction_sample_insufficient,True
volume_surge_money_flow,0,alpha181,train,seen_folds_not_0,H3,191,1.0,0.0411084267245298,0.03855983453436933,0.04278515762844071,0.039978660606373555,0.039978660606373555,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,1,alpha025,train,seen_folds_not_1,H3,164,1.0,0.016950335208350865,0.01586615637177539,0.02540017904693341,0.011332583464007914,0.01586615637177539,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,1,alpha069,train,seen_folds_not_1,H3,186,1.0,-0.029858704386515944,-0.03167227770600518,-0.02685006208879359,-0.030372163671974622,-0.030372163671974622,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,1,alpha076,train,seen_folds_not_1,H3,186,1.0,0.004580538526425489,0.0054935250652391795,0.004342784724191093,0.004681720940835048,0.004681720940835048,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,1,alpha080,train,seen_folds_not_1,H3,186,1.0,0.013067087465641825,0.0392247384830301,0.00382421822119713,-0.0038035445977674127,0.00382421822119713,2,1,2,True,1.0,direction_available,False
