family,horizon,split,fold_id,fold_unseen_full_valid_instrument_count,fold_unseen_valid_signal_date_count,anchor_valid_signal_date_counts,anchor_min_valid_signal_date_count,partial_instruments_horizon_specific,partial_instruments_excluded_from_sample_gate_by_horizon,partial_instruments_excluded_from_positive_instrument_share_by_horizon,fold_evaluable_flag
volume_surge_money_flow,H3,train_oof_unseen,0,34,159,"[50, 51, 58]",50,True,True,True,True
volume_surge_money_flow,H3,train_oof_unseen,1,41,179,"[64, 50, 65]",50,True,True,True,True
volume_surge_money_flow,H3,train_oof_unseen,2,41,181,"[63, 54, 64]",54,True,True,True,True
volume_surge_money_flow,H3,train_oof_unseen,3,49,237,"[82, 76, 79]",76,True,True,True,True
volume_surge_money_flow,H3,train_oof_unseen,4,39,217,"[82, 69, 66]",66,True,True,True,True
volume_surge_money_flow,H3,validation_oof_unseen,0,44,133,"[45, 47, 41]",41,True,True,True,True
volume_surge_money_flow,H3,validation_oof_unseen,1,51,110,"[42, 34, 34]",34,True,True,True,False
volume_surge_money_flow,H3,validation_oof_unseen,2,48,130,"[48, 43, 39]",39,True,True,True,True
volume_surge_money_flow,H3,validation_oof_unseen,3,53,156,"[47, 58, 51]",47,True,True,True,True
volume_surge_money_flow,H3,validation_oof_unseen,4,44,119,"[39, 46, 34]",34,True,True,True,False
volume_surge_money_flow,H3,robustness_oof_unseen,0,38,107,"[34, 37, 36]",34,True,True,True,False
volume_surge_money_flow,H3,robustness_oof_unseen,1,48,150,"[50, 48, 52]",48,True,True,True,True
volume_surge_money_flow,H3,robustness_oof_unseen,2,48,143,"[48, 46, 49]",46,True,True,True,True
volume_surge_money_flow,H3,robustness_oof_unseen,3,55,201,"[64, 69, 68]",64,True,True,True,True
volume_surge_money_flow,H3,robustness_oof_unseen,4,43,117,"[38, 43, 36]",36,True,True,True,False
volume_surge_money_flow,H5,train_oof_unseen,0,34,156,"[29, 28, 37, 28, 34]",28,True,True,True,True
volume_surge_money_flow,H5,train_oof_unseen,1,40,178,"[37, 39, 38, 32, 32]",32,True,True,True,True
volume_surge_money_flow,H5,train_oof_unseen,2,41,180,"[31, 35, 40, 36, 38]",31,True,True,True,True
volume_surge_money_flow,H5,train_oof_unseen,3,49,235,"[45, 51, 51, 44, 44]",44,True,True,True,True
volume_surge_money_flow,H5,train_oof_unseen,4,39,216,"[36, 47, 48, 49, 36]",36,True,True,True,True
volume_surge_money_flow,H5,validation_oof_unseen,0,44,130,"[29, 23, 26, 25, 27]",23,True,True,True,True
volume_surge_money_flow,H5,validation_oof_unseen,1,51,106,"[21, 17, 21, 24, 23]",17,True,True,True,False
volume_surge_money_flow,H5,validation_oof_unseen,2,48,130,"[27, 22, 25, 29, 27]",22,True,True,True,True
volume_surge_money_flow,H5,validation_oof_unseen,3,53,156,"[29, 31, 31, 35, 30]",29,True,True,True,True
volume_surge_money_flow,H5,validation_oof_unseen,4,44,116,"[21, 22, 22, 27, 24]",21,True,True,True,False
volume_surge_money_flow,H5,robustness_oof_unseen,0,37,106,"[21, 22, 20, 16, 27]",16,True,True,True,False
volume_surge_money_flow,H5,robustness_oof_unseen,1,48,148,"[31, 33, 29, 27, 28]",27,True,True,True,True
volume_surge_money_flow,H5,robustness_oof_unseen,2,47,142,"[25, 27, 27, 32, 31]",25,True,True,True,True
volume_surge_money_flow,H5,robustness_oof_unseen,3,55,200,"[38, 43, 42, 35, 42]",35,True,True,True,True
volume_surge_money_flow,H5,robustness_oof_unseen,4,43,114,"[19, 25, 24, 23, 23]",19,True,True,True,False
volume_surge_money_flow,H10,train_oof_unseen,0,34,139,"[16, 14, 15, 10, 14, 9, 12, 17, 16, 16]",9,True,True,True,True
volume_surge_money_flow,H10,train_oof_unseen,1,40,171,"[18, 15, 18, 13, 14, 15, 23, 18, 20, 17]",13,True,True,True,True
volume_surge_money_flow,H10,train_oof_unseen,2,41,172,"[16, 18, 20, 17, 22, 13, 15, 18, 18, 15]",13,True,True,True,True
volume_surge_money_flow,H10,train_oof_unseen,3,47,228,"[23, 24, 24, 19, 22, 20, 27, 26, 23, 20]",19,True,True,True,True
volume_surge_money_flow,H10,train_oof_unseen,4,38,205,"[20, 24, 25, 22, 15, 14, 20, 20, 26, 19]",14,True,True,True,True
volume_surge_money_flow,H10,validation_oof_unseen,0,44,126,"[15, 10, 12, 11, 13, 14, 14, 12, 12, 13]",10,True,True,True,True
volume_surge_money_flow,H10,validation_oof_unseen,1,50,106,"[8, 8, 10, 15, 14, 13, 9, 10, 9, 10]",8,True,True,True,False
volume_surge_money_flow,H10,validation_oof_unseen,2,48,131,"[15, 9, 12, 15, 13, 12, 13, 13, 15, 14]",9,True,True,True,True
volume_surge_money_flow,H10,validation_oof_unseen,3,52,153,"[13, 14, 13, 17, 16, 16, 17, 17, 16, 14]",13,True,True,True,True
volume_surge_money_flow,H10,validation_oof_unseen,4,43,115,"[8, 10, 10, 15, 12, 13, 12, 12, 11, 12]",8,True,True,True,False
volume_surge_money_flow,H10,robustness_oof_unseen,0,36,96,"[13, 11, 8, 6, 7, 7, 10, 10, 9, 15]",6,True,True,True,False
volume_surge_money_flow,H10,robustness_oof_unseen,1,48,142,"[13, 11, 12, 11, 10, 17, 22, 15, 14, 17]",10,True,True,True,True
volume_surge_money_flow,H10,robustness_oof_unseen,2,47,138,"[9, 13, 13, 15, 16, 15, 14, 12, 16, 15]",9,True,True,True,True
volume_surge_money_flow,H10,robustness_oof_unseen,3,55,200,"[21, 21, 22, 18, 17, 17, 22, 20, 17, 25]",17,True,True,True,True
volume_surge_money_flow,H10,robustness_oof_unseen,4,43,114,"[9, 12, 12, 12, 13, 10, 13, 12, 11, 10]",9,True,True,True,False
volume_price_correlation,H3,train_oof_unseen,0,34,178,"[61, 63, 54]",54,True,True,True,True
volume_price_correlation,H3,train_oof_unseen,1,41,228,"[80, 73, 75]",73,True,True,True,True
