family,split,instrument_segment,per_date_high_low_event_floor,valid_signal_date_count_by_event_floor,filtered_signal_date_count_by_event_floor,valid_instrument_count,sample_gate_pass,sample_block_reason
volume_price_correlation,train,all_instrument,10,107,89,149,True,
volume_price_correlation,train,seen_instrument,10,63,133,89,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_price_correlation,train,unseen_instrument,5,88,108,60,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_price_correlation,validation,all_instrument,10,78,20,178,True,
volume_price_correlation,validation,seen_instrument,10,57,41,104,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_price_correlation,validation,unseen_instrument,5,23,75,33,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_price_correlation,robustness,all_instrument,10,84,18,183,True,
volume_price_correlation,robustness,seen_instrument,10,71,31,113,True,
volume_price_correlation,robustness,unseen_instrument,5,35,67,37,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_surge_money_flow,train,all_instrument,10,74,122,148,True,
volume_surge_money_flow,train,seen_instrument,10,37,159,90,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_surge_money_flow,train,unseen_instrument,5,62,134,58,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_surge_money_flow,validation,all_instrument,10,75,23,124,True,
volume_surge_money_flow,validation,seen_instrument,10,39,59,74,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_surge_money_flow,validation,unseen_instrument,5,14,84,24,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_surge_money_flow,robustness,all_instrument,10,55,47,162,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_surge_money_flow,robustness,seen_instrument,10,33,69,99,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
volume_surge_money_flow,robustness,unseen_instrument,5,15,87,34,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
vwap_deviation,train,all_instrument,10,114,82,141,True,
vwap_deviation,train,seen_instrument,10,75,121,83,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
vwap_deviation,train,unseen_instrument,5,108,88,58,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
vwap_deviation,validation,all_instrument,10,91,7,131,True,
vwap_deviation,validation,seen_instrument,10,70,28,77,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
vwap_deviation,validation,unseen_instrument,5,33,65,22,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
vwap_deviation,robustness,all_instrument,10,82,20,152,True,
vwap_deviation,robustness,seen_instrument,10,64,38,92,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
vwap_deviation,robustness,unseen_instrument,5,46,56,35,False,insufficient_valid_instruments_or_signal_dates_or_factor_scope
