dominance_id,factor_family,feature,shared_axis,anchor_family,relative_day,relative_window,split,regime_bucket,duration_bucket,winner_count,control_count,winner_total,control_total,winner_mean,control_mean,winner_std,control_std,standardized_mean_difference,winner_rate,control_rate,lift,odds_ratio,absolute_rate_difference,feature_non_missing_coverage,claim_status,missing_reason_policy,multiple_test_family
shared_axis_low_0_close_to_ema20_all_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,all,851,3940,851,3940,-0.08937379271393411,-0.08204230317934309,0.052918217121434324,0.050983523614254025,-0.14282427962532995,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_train_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,train,all,all,271,1229,271,1229,-0.09438170012959048,-0.08860845705736967,0.0534930866093188,0.0514091353847509,-0.11147206015824591,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_validation_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,validation,all,all,169,797,169,797,-0.08311256890010775,-0.08468293500819053,0.04715037717933912,0.04848215803520244,0.03254462111915587,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_robustness_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,robustness,all,all,411,1914,411,1914,-0.0886463083219482,-0.07672653166226573,0.054561432197112694,0.05117335546032676,-0.23016729164428068,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_risk_off_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,risk_off,all,451,2137,451,2137,-0.10472858562706007,-0.09807439320224966,0.05694419857260343,0.05446408354295114,-0.12119750053130714,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_risk_on_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,risk_on,all,199,879,199,879,-0.06480873599830125,-0.05477682719178799,0.037764810452819104,0.03325001223266337,-0.29396953179156965,,,,,,1.0,effect_size_candidate,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_transition_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,transition,all,201,924,201,924,-0.07924162695568109,-0.07090136921192923,0.04425282720865334,0.04182369165270861,-0.1973253671651234,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_all_fast,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,fast,103,478,103,478,-0.09303957478016989,-0.08841948720550546,0.05303143708041006,0.04998094769857218,-0.09142948223074282,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_all_long,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,long,541,2553,541,2553,-0.09075131493121183,-0.08210095113176502,0.05492516805878613,0.05104556344028786,-0.16717590437132254,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_all_medium,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,medium,207,909,207,909,-0.08394956531118279,-0.0785241269559781,0.04704211832769381,0.05105507606794502,-0.10778206022128829,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
