source_name,path,exists,sha256,support_state,units
benchmark_daily_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,True,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,available,
data_prepare_run_manifest_json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/01_data_prepare_pit_largecap_akshare_qlib_v0/outputs/manifests/run_manifest.json,True,d59ed5ff734c9d4f59f01ff713f8bd15f41cd56e397c5a897506e4540bd887f8,available,
data_prepare_source_coverage_audit_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/01_data_prepare_pit_largecap_akshare_qlib_v0/outputs/tables/source_coverage_audit.csv,True,d35f0d96abbd9d571063e9a432fd47dbb942f98ba4e9d52135e4302563f1c024,available,
executable_universe_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_largecap_main_chinext_executable_daily.csv,True,92c3d52d55354e86e5093f2849dd40da1a6677159f2f5f4c4af57927eb891a13,available,
stock_daily_csv_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/interim/qlib_csv/day,True,,available,
upstream_anchor_aligned_daily_panel_parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/02_big_winner_reverse_lifecycle_profile_v0/outputs/large_raw/anchor_aligned_daily_panel.parquet,True,51209adfeba3addbc61cefd4cbbe754709bb11d83f57a37327ff5d9dc0b03aa9,available,
upstream_big_winner_episode_reference_summary_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/02_big_winner_reverse_lifecycle_profile_v0/outputs/publishable/tables/big_winner_episode_reference_summary.csv,True,60cc07e39fead5a30433554e69f1f33945f4fdf44a53b4b58fcbc41620f4b983,available,
upstream_matched_control_panel_parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/02_big_winner_reverse_lifecycle_profile_v0/outputs/local_cache/matched_control_panel.parquet,True,e13a60e673de46e42c57a83858d3d3edfb9fc262112e74585243b3d1c105087a,available,
upstream_reverse_lifecycle_manifest_json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/02_big_winner_reverse_lifecycle_profile_v0/outputs/manifests/run_manifest.json,True,8f67723cbfb0716d5b3d633a290cf3aab387dc9f94a048bc0b5e4d0f492081d3,available,
upstream_shared_axis_sequence_dominance_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/02_big_winner_reverse_lifecycle_profile_v0/outputs/publishable/tables/shared_axis_sequence_dominance.csv,True,d32e3a8e338442853f4345573bf0dba434793482fb02c0f93bca239705bac96c,available,
historical_raw_daily_bars,,True,,supported,volume=shares;turnover=ratio;money=CNY
historical_qfq_daily_bars,,True,,supported,volume=shares;turnover=ratio;money=CNY
historical_total_market_cap_or_total_share_asof,,True,,supported,stock_zh_a_gbjg_em total_share_asof=shares; stock_share_change_cninfo 总股本=10k shares; market_cap=raw_close_CNY*total_share_asof
instrument_metadata_board_classification,,True,,supported,code/name/listing_date/delist_date where available
historical_listed_delisted_status,,True,,supported,code/name/listing_date/delist_date where available
historical_st_status,,True,,supported,SZ dated ST name changes; SH lifetime exclusion when any stock_info_change_name row contains ST
suspension_or_tradability_status,,True,,supported,suspension rows keyed by requested trade date
benchmark_index_daily_bars,,True,,supported,"stock_zh_index_daily volume=shares,money=missing; stock_zh_index_daily_tx amount=hands-as-volume,money=missing"
trading_calendar,,True,,supported,A-share trading session date
upstream_reverse_lifecycle_decision,,True,,reverse_lifecycle_sequence_supported_universal_dominance,
