density_stage,split,year,candidate_count,density_kept_count,density_folded_count
seed,all,all,24638,5174,19464
seed,all,2018,1451,345,1106
seed,all,2019,930,201,729
seed,all,2020,1273,342,931
seed,all,2021,2496,545,1951
seed,all,2022,3762,810,2952
seed,all,2023,5050,937,4113
seed,all,2024,3615,654,2961
seed,all,2025,3371,809,2562
seed,all,2026,2690,531,2159
seed,all,all,24638,5174,19464
seed,all,2018,1451,345,1106
seed,all,2019,930,201,729
seed,all,2020,1273,342,931
seed,all,2021,2496,545,1951
seed,all,2022,3762,810,2952
seed,all,2023,5050,937,4113
seed,all,2024,3615,654,2961
seed,all,2025,3371,809,2562
seed,all,2026,2690,531,2159
reclaim,all,all,5174,3199,1975
reclaim,all,2018,280,174,106
reclaim,all,2019,234,188,46
reclaim,all,2020,283,204,79
reclaim,all,2021,553,378,175
reclaim,all,2022,766,486,280
reclaim,all,2023,723,439,284
reclaim,all,2024,865,496,369
reclaim,all,2025,680,538,142
reclaim,all,2026,430,296,134
reclaim,all,all,5174,3199,1975
reclaim,all,2018,280,174,106
reclaim,all,2019,234,188,46
reclaim,all,2020,283,204,79
reclaim,all,2021,553,378,175
reclaim,all,2022,766,486,280
reclaim,all,2023,723,439,284
reclaim,all,2024,865,496,369
reclaim,all,2025,680,538,142
reclaim,all,2026,430,296,134
event,all,all,1771,1767,4
event,all,2018,110,109,1
event,all,2019,69,69,0
event,all,2020,87,87,0
event,all,2021,225,225,0
event,all,2022,353,351,2
event,all,2023,260,260,0
event,all,2024,283,283,0
event,all,2025,258,257,1
event,all,2026,126,126,0
event,robustness,all,667,666,1
event,robustness,2024,283,283,0
event,robustness,2025,258,257,1
event,robustness,2026,126,126,0
event,train,all,491,490,1
event,train,2018,110,109,1
event,train,2019,69,69,0
event,train,2020,87,87,0
event,train,2021,225,225,0
event,validation,all,613,611,2
event,validation,2022,353,351,2
event,validation,2023,260,260,0
baseline,all,all,1298,1296,2
baseline,all,2018,47,47,0
baseline,all,2019,97,97,0
baseline,all,2020,142,142,0
baseline,all,2021,118,118,0
baseline,all,2022,166,166,0
baseline,all,2023,152,152,0
baseline,all,2024,251,250,1
baseline,all,2025,231,231,0
baseline,all,2026,94,93,1
baseline,robustness,all,576,574,2
baseline,robustness,2024,251,250,1
baseline,robustness,2025,231,231,0
baseline,robustness,2026,94,93,1
baseline,train,all,404,404,0
baseline,train,2018,47,47,0
baseline,train,2019,97,97,0
baseline,train,2020,142,142,0
baseline,train,2021,118,118,0
baseline,validation,all,318,318,0
baseline,validation,2022,166,166,0
baseline,validation,2023,152,152,0
