episode_split,duration_bucket,union_family,window,target_episode_count,raw_union_recall,canonical_union_recall,density_kept_union_recall,density_loss_recall,raw_captured_count,canonical_captured_count,density_kept_captured_count,density_loss_capture_count
all,all,setup_inclusive,pre_low_20d,866,0.5946882217090069,0.5946882217090069,0.5889145496535797,0.005773672055427226,515,515,510,5
all,all,setup_inclusive,low_to_plus_10d,866,0.5912240184757506,0.5912240184757506,0.1374133949191686,0.45381062355658197,512,512,119,393
all,all,setup_inclusive,low_to_plus_20d,866,0.5946882217090069,0.5946882217090069,0.23556581986143188,0.35912240184757505,515,515,204,311
all,all,setup_inclusive,low_to_plus_30d,866,0.6339491916859122,0.6339491916859122,0.394919168591224,0.23903002309468824,549,549,342,207
all,all,setup_inclusive,low_to_plus_60d,866,0.6905311778290993,0.6905311778290993,0.5265588914549654,0.16397228637413397,598,598,456,142
all,all,setup_inclusive,low_to_plus_120d,866,0.8048498845265589,0.8048498845265589,0.7136258660508084,0.09122401847575057,697,697,618,79
all,all,setup_inclusive,before_first_50pct,866,0.7124711316397229,0.7124711316397229,0.5531177829099307,0.15935334872979212,617,617,479,138
all,all,setup_inclusive,before_episode_high,866,0.7193995381062356,0.7193995381062356,0.5704387990762124,0.14896073903002316,623,623,494,129
all,all,reclaim_based,pre_low_20d,866,0.04849884526558892,0.04849884526558892,0.04157043879907621,0.0069284064665127085,42,42,36,6
all,all,reclaim_based,low_to_plus_10d,866,0.19168591224018475,0.19168591224018475,0.1859122401847575,0.005773672055427254,166,166,161,5
all,all,reclaim_based,low_to_plus_20d,866,0.3648960739030023,0.3648960739030023,0.35912240184757505,0.005773672055427281,316,316,311,5
all,all,reclaim_based,low_to_plus_30d,866,0.47344110854503463,0.47344110854503463,0.4676674364896074,0.005773672055427226,410,410,405,5
all,all,reclaim_based,low_to_plus_60d,866,0.6224018475750578,0.6224018475750578,0.6166281755196305,0.005773672055427337,539,539,534,5
all,all,reclaim_based,low_to_plus_120d,866,0.74364896073903,0.74364896073903,0.7401847575057737,0.0034642032332562467,644,644,641,3
