episode_split,duration_bucket,union_family,ablation_variant,recall_low_to_plus_20d,recall_low_to_plus_30d,recall_before_first_50pct,E0_only_capture_share,recall_without_E0,marginal_recall_E0_over_reclaim_based,marginal_recall_E1_E2_E4_over_E0,event_density_p95,event_density_mean,interpretation_caveat
all,all,setup_inclusive,setup_inclusive_vs_reclaim_based,0.23556581986143188,0.394919168591224,0.5531177829099307,0.42105263157894735,0.4676674364896074,0.08775981524249422,0.009237875288683603,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
all,all,reclaim_based,reclaim_based_without_E0,0.35912240184757505,0.4676674364896074,0.6963048498845266,,0.4676674364896074,,0.009237875288683603,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
all,all,raw_family,E0_raw_family,0.5866050808314087,0.6247113163972287,0.7066974595842956,0.266173752310536,,,,,,"Raw family recall; use for family attribution, not as headline gate."
all,all,raw_family,E1_raw_family,0.36374133949191684,0.4722863741339492,0.6986143187066974,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
all,all,raw_family,E2_raw_family,0.35912240184757505,0.4676674364896074,0.6963048498845266,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
all,all,raw_family,E3_raw_family,0.279445727482679,0.4237875288683603,0.6131639722863741,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
all,all,raw_family,E4_raw_family,0.3394919168591224,0.4468822170900693,0.6593533487297921,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
all,all,raw_family,E5_raw_family,0.012702078521939953,0.11200923787528869,0.39376443418013857,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,fast,setup_inclusive,setup_inclusive_vs_reclaim_based,0.29508196721311475,0.4098360655737705,0.3770491803278688,0.16,0.7049180327868853,0.03278688524590164,0.0,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
robustness,fast,reclaim_based,reclaim_based_without_E0,0.6229508196721312,0.7049180327868853,0.6885245901639344,,0.7049180327868853,,0.0,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
robustness,fast,raw_family,E0_raw_family,0.7377049180327869,0.7704918032786885,0.7704918032786885,0.0851063829787234,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,fast,raw_family,E1_raw_family,0.6229508196721312,0.7049180327868853,0.6885245901639344,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,fast,raw_family,E2_raw_family,0.6229508196721312,0.7049180327868853,0.6885245901639344,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,fast,raw_family,E3_raw_family,0.5573770491803278,0.6721311475409836,0.2459016393442623,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,fast,raw_family,E4_raw_family,0.5901639344262295,0.6885245901639344,0.6065573770491803,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,fast,raw_family,E5_raw_family,0.01639344262295082,0.22950819672131148,0.06557377049180328,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,long,setup_inclusive,setup_inclusive_vs_reclaim_based,0.20599250936329588,0.33707865168539325,0.6254681647940075,0.7555555555555555,0.3258426966292135,0.12734082397003746,0.011235955056179775,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
robustness,long,reclaim_based,reclaim_based_without_E0,0.27340823970037453,0.3258426966292135,0.7303370786516854,,0.3258426966292135,,0.011235955056179775,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
robustness,long,raw_family,E0_raw_family,0.5168539325842697,0.5692883895131086,0.7265917602996255,0.4473684210526316,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,long,raw_family,E1_raw_family,0.27715355805243447,0.3295880149812734,0.7303370786516854,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,long,raw_family,E2_raw_family,0.27340823970037453,0.3258426966292135,0.7303370786516854,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,long,raw_family,E3_raw_family,0.1947565543071161,0.2808988764044944,0.651685393258427,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,long,raw_family,E4_raw_family,0.2546816479400749,0.31086142322097376,0.6779026217228464,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,long,raw_family,E5_raw_family,0.011235955056179775,0.08239700374531835,0.3595505617977528,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,medium,setup_inclusive,setup_inclusive_vs_reclaim_based,0.20238095238095238,0.30952380952380953,0.4166666666666667,0.5384615384615384,0.3333333333333333,0.09523809523809523,0.011904761904761904,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
robustness,medium,reclaim_based,reclaim_based_without_E0,0.27380952380952384,0.3333333333333333,0.5119047619047619,,0.3333333333333333,,0.011904761904761904,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
robustness,medium,raw_family,E0_raw_family,0.4523809523809524,0.4880952380952381,0.5119047619047619,0.34146341463414637,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,medium,raw_family,E1_raw_family,0.2857142857142857,0.34523809523809523,0.5238095238095238,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,medium,raw_family,E2_raw_family,0.27380952380952384,0.3333333333333333,0.5119047619047619,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,medium,raw_family,E3_raw_family,0.17857142857142858,0.30952380952380953,0.40476190476190477,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,medium,raw_family,E4_raw_family,0.2261904761904762,0.2857142857142857,0.40476190476190477,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
robustness,medium,raw_family,E5_raw_family,0.011904761904761904,0.08333333333333333,0.25,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,fast,setup_inclusive,setup_inclusive_vs_reclaim_based,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
train,fast,reclaim_based,reclaim_based_without_E0,0.3888888888888889,0.5,0.4444444444444444,,0.5,,0.0,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
train,fast,raw_family,E0_raw_family,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,fast,raw_family,E1_raw_family,0.3888888888888889,0.5,0.4444444444444444,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,fast,raw_family,E2_raw_family,0.3888888888888889,0.5,0.4444444444444444,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,fast,raw_family,E3_raw_family,0.3333333333333333,0.3888888888888889,0.3333333333333333,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,fast,raw_family,E4_raw_family,0.3888888888888889,0.5,0.4444444444444444,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,fast,raw_family,E5_raw_family,0.0,0.2222222222222222,0.05555555555555555,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,long,setup_inclusive,setup_inclusive_vs_reclaim_based,0.24064171122994651,0.39572192513368987,0.5989304812834224,0.4189189189189189,0.4385026737967914,0.0962566844919786,0.0106951871657754,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
train,long,reclaim_based,reclaim_based_without_E0,0.3422459893048128,0.4385026737967914,0.7112299465240641,,0.4385026737967914,,0.0106951871657754,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
train,long,raw_family,E0_raw_family,0.5454545454545454,0.5935828877005348,0.7058823529411765,0.27927927927927926,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,long,raw_family,E1_raw_family,0.34759358288770054,0.44385026737967914,0.7112299465240641,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,long,raw_family,E2_raw_family,0.3422459893048128,0.4385026737967914,0.7112299465240641,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,long,raw_family,E3_raw_family,0.2727272727272727,0.39572192513368987,0.7058823529411765,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,long,raw_family,E4_raw_family,0.3155080213903743,0.41711229946524064,0.7005347593582888,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,long,raw_family,E5_raw_family,0.0213903743315508,0.08021390374331551,0.48663101604278075,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,medium,setup_inclusive,setup_inclusive_vs_reclaim_based,0.175,0.425,0.45,0.14705882352941177,0.5375,0.0375,0.0,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
train,medium,reclaim_based,reclaim_based_without_E0,0.2875,0.5375,0.6,,0.5375,,0.0,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
train,medium,raw_family,E0_raw_family,0.5625,0.6,0.6,0.10416666666666667,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,medium,raw_family,E1_raw_family,0.2875,0.5375,0.6,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,medium,raw_family,E2_raw_family,0.2875,0.5375,0.6,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,medium,raw_family,E3_raw_family,0.1875,0.4625,0.5875,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,medium,raw_family,E4_raw_family,0.2875,0.5125,0.5875,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
train,medium,raw_family,E5_raw_family,0.0,0.0375,0.4125,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,fast,setup_inclusive,setup_inclusive_vs_reclaim_based,0.16666666666666666,0.4166666666666667,0.375,0.0,0.7083333333333334,0.0,0.0,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
validation,fast,reclaim_based,reclaim_based_without_E0,0.4583333333333333,0.7083333333333334,0.625,,0.7083333333333334,,0.0,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
validation,fast,raw_family,E0_raw_family,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,fast,raw_family,E1_raw_family,0.4583333333333333,0.7083333333333334,0.625,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,fast,raw_family,E2_raw_family,0.4583333333333333,0.7083333333333334,0.625,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,fast,raw_family,E3_raw_family,0.4166666666666667,0.7083333333333334,0.4166666666666667,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,fast,raw_family,E4_raw_family,0.4583333333333333,0.7083333333333334,0.625,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,fast,raw_family,E5_raw_family,0.0,0.20833333333333334,0.08333333333333333,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,long,setup_inclusive,setup_inclusive_vs_reclaim_based,0.31958762886597936,0.4948453608247423,0.5876288659793815,0.2708333333333333,0.6494845360824743,0.08247422680412371,0.020618556701030927,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
validation,long,reclaim_based,reclaim_based_without_E0,0.5360824742268041,0.6494845360824743,0.8041237113402062,,0.6494845360824743,,0.020618556701030927,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
validation,long,raw_family,E0_raw_family,0.7525773195876289,0.7628865979381443,0.8247422680412371,0.17567567567567569,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,long,raw_family,E1_raw_family,0.5463917525773195,0.6597938144329897,0.8144329896907216,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,long,raw_family,E2_raw_family,0.5360824742268041,0.6494845360824743,0.8041237113402062,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,long,raw_family,E3_raw_family,0.4329896907216495,0.6082474226804123,0.7938144329896907,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,long,raw_family,E4_raw_family,0.5257731958762887,0.6185567010309279,0.7938144329896907,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,long,raw_family,E5_raw_family,0.020618556701030927,0.21649484536082475,0.7216494845360825,,,,,,,"Raw family recall; use for family attribution, not as headline gate."
validation,medium,setup_inclusive,setup_inclusive_vs_reclaim_based,0.3125,0.6041666666666666,0.7083333333333334,0.27586206896551724,0.6875,0.0625,0.0,7.359999999999979,3.330893396229425,E0 may dominate setup-inclusive recall; inspect without-E0 recall.
validation,medium,reclaim_based,reclaim_based_without_E0,0.4166666666666667,0.6875,0.8541666666666666,,0.6875,,0.0,3.0,1.7214162055656377,Secondary union without E0; diagnostic for non-setup signal coverage.
validation,medium,raw_family,E0_raw_family,0.8333333333333334,0.8541666666666666,0.8541666666666666,0.1951219512195122,,,,,,"Raw family recall; use for family attribution, not as headline gate."
