event_family,union_family,canonical_event_scope,event_split,event_count,outcome_complete_120d_count,event_big_winner_120d_rate,event_near_winner_120d_rate,event_false_repair_10d_rate,event_false_repair_20d_rate,positive_label_count,negative_label_count,class_balance_by_event_split,cluster_positive_count,event_concurrency_mean,event_concurrency_p95,average_uniqueness_mean,average_uniqueness_p25,event_concurrency_20d_mean,event_concurrency_20d_p95,average_uniqueness_20d_mean,average_uniqueness_20d_p25
E0_seed_low_setup,raw_family,raw_family,robustness,8823,6427,0.2279446086821223,0.2337015714952544,0.06029695115040236,0.14552873172390343,1465,4962,robustness,1,388.0573852295409,1531.85,0.0025769384582346937,0.0006273144282633738,68.98843640020111,327.5999999999999,0.01560294729081277,0.003234464959963616
E0_seed_low_setup,raw_family,raw_family,train,6150,6142,0.11380657766199935,0.13139042657114947,0.07691056910569105,0.15691056910569107,699,5443,train,1,683.7000919963201,1204.6000000000004,0.001462629611589086,0.0009892314177153585,95.23606889564337,204.69999999999993,0.010620350717011342,0.006333329769621155
E0_seed_low_setup,raw_family,raw_family,validation,8812,8812,0.07660009078529278,0.13050385837494327,0.09657285519745801,0.22446663640490241,675,8137,validation,1,679.1414012738853,1969.1,0.001472447413932166,0.0005945006378107688,86.97551020408163,332.0,0.012525654582320066,0.0031739915610304024
E1_first_ema60_reclaim,raw_family,raw_family,robustness,1885,1466,0.17462482946793997,0.16371077762619374,0.058355437665782495,0.1496021220159151,256,1210,robustness,1,89.58888888888889,351.0,0.011162098474513209,0.003103472381171994,14.10762331838565,53.0,0.0718688455295344,0.017622155250871407
E1_first_ema60_reclaim,raw_family,raw_family,train,1350,1350,0.10888888888888888,0.1362962962962963,0.09481481481481481,0.20148148148148148,147,1203,train,1,151.11008325624422,234.0,0.006617692072237527,0.0047682981772504,20.23547400611621,45.0,0.05121601072848206,0.029165239607048185
E1_first_ema60_reclaim,raw_family,raw_family,validation,1489,1489,0.061114842175957015,0.11752854264607118,0.10006715916722633,0.24378777703156482,91,1398,validation,1,116.53880983182407,344.5,0.008580832440652941,0.003384208122815049,15.357193987115247,63.0,0.06709353251218697,0.017558031722627754
E2_reclaim_quality_burst,raw_family,raw_family,robustness,1268,974,0.18480492813141683,0.17248459958932238,0.06861198738170347,0.167192429022082,180,794,robustness,1,59.522222222222226,229.0,0.016800448011946988,0.004558081368808876,9.575757575757576,40.0,0.10686366738587154,0.026432594447902705
E2_reclaim_quality_burst,raw_family,raw_family,train,944,944,0.12182203389830508,0.13559322033898305,0.1059322033898305,0.2086864406779661,115,829,train,1,105.66512488436632,156.0,0.009463860484661716,0.007484109868395085,14.107033639143731,29.0,0.07303575706126153,0.04564972283572452
E2_reclaim_quality_burst,raw_family,raw_family,validation,925,925,0.06594594594594595,0.11351351351351352,0.09945945945945946,0.23243243243243245,61,864,validation,1,72.39650711513583,213.0,0.013812821085548358,0.005098151743206826,9.64824120603015,36.0,0.10641393656697973,0.030345345208790588
E3_early_no_false_repair,raw_family,raw_family,robustness,2414,1881,0.16161616161616163,0.15151515151515152,0.07497928748964375,0.16818558409279205,304,1577,robustness,1,115.06622851365015,438.14999999999986,0.008690647229142227,0.0023639055131842632,19.441711229946524,78.0,0.05507238402828218,0.013201620166869547
E3_early_no_false_repair,raw_family,raw_family,train,1744,1744,0.12672018348623854,0.14105504587155962,0.08428899082568807,0.19495412844036697,221,1523,train,1,196.1189591078067,278.0,0.005098946091439837,0.004234823220952745,26.554303278688526,52.0,0.038930130443962,0.024203171570469098
E3_early_no_false_repair,raw_family,raw_family,validation,1712,1712,0.056074766355140186,0.11273364485981309,0.09228971962616822,0.22371495327102803,96,1616,validation,1,134.68920676202862,399.0,0.007424499884143045,0.002659494530701315,17.622347949080623,70.0,0.06007748580723017,0.015706463391825982
E4_early_relative_strength_turn,raw_family,raw_family,robustness,1107,839,0.18474374255065554,0.17163289630512515,0.08581752484191509,0.1878952122854562,155,684,robustness,1,51.272222222222226,197.0,0.019503738216491495,0.005362122637007299,8.69434832756632,33.0,0.12081515796269796,0.03324547317323418
E4_early_relative_strength_turn,raw_family,raw_family,train,809,809,0.13226205191594562,0.13597033374536466,0.1260815822002472,0.23856613102595797,107,702,train,1,90.63796296296296,151.0,0.01103290461645333,0.007553496397674737,11.747433264887064,24.0,0.0876462297685973,0.053147114108801415
E4_early_relative_strength_turn,raw_family,raw_family,validation,862,862,0.06496519721577726,0.1136890951276102,0.10440835266821345,0.23897911832946636,56,806,validation,1,67.46571798188874,203.0,0.014822342812218368,0.005522326416418946,9.148888888888889,33.0,0.11276606016013514,0.0334649987541222
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,667,509,0.18467583497053044,0.16110019646365423,0.09145427286356822,0.22038980509745126,94,415,robustness,1,31.519447287615147,116.0,0.03172644465732517,0.00898133199301932,6.05530253741054,23.0,0.1767672993454434,0.04889280131035414
E5_strict_rank_persistence_reference,raw_family,raw_family,train,491,491,0.15682281059063136,0.14052953156822812,0.1120162932790224,0.23828920570264767,77,414,train,1,56.68988549618321,102.0,0.01763983100772584,0.01163624227287425,7.380588876772083,19.199999999999932,0.1410875650611394,0.07288538353300797
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,613,613,0.048939641109298535,0.10603588907014681,0.11582381729200653,0.25122349102773245,30,583,validation,1,48.63803278688525,142.79999999999995,0.02056004206382376,0.007663942289572282,7.450331125827814,26.0,0.14387738190666557,0.04215265991566456
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,10393,7641,0.2194738908519827,0.22235309514461457,0.06177234677186568,0.1486577504089291,1677,5964,robustness,1677,461.3577844311377,1811.7499999999986,0.0021675151774734167,0.000550406027560883,78.69757064947943,356.0,0.013719920619080556,0.0029566059849434603
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,7262,7254,0.1144196305486628,0.13165150261924455,0.08138253924538695,0.16510603139630955,830,6424,train,830,807.4829806807728,1384.2000000000003,0.0012384161944279247,0.0008766648464995069,111.89057750759878,216.79999999999973,0.009016357019106417,0.005917068967247268
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,9887,9887,0.07514918579953474,0.12865378780216447,0.09618691210680692,0.2239304136745221,743,9144,validation,743,761.506683640993,2168.5,0.0013131861104865143,0.0005367668082073042,97.68864717878994,360.5,0.01102319004611147,0.002999819141737263
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,2465,1864,0.2145922746781116,0.20493562231759657,0.06450304259634888,0.16024340770791076,400,1464,robustness,400,112.94141211817727,423.1999999999998,0.00885414819281382,0.002461447944058311,18.679899497487437,74.0,0.05676647596097725,0.014075431751578885
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,1926,1922,0.11706555671175858,0.13787721123829344,0.10072689511941849,0.1967808930425753,225,1697,train,225,213.94848206071757,325.70000000000005,0.0046740224112279734,0.0036100052168963727,28.50455927051672,45.0,0.03518716677705676,0.026811690586663724
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,2203,2203,0.06354970494779846,0.11756695415342715,0.11393554244212438,0.2451202905129369,140,2063,validation,140,169.67727562062382,460.0,0.00589354111410811,0.0023882081146340503,21.10740992522094,64.0,0.050278696793296114,0.017027969270024736
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,1573,1216,0.17516447368421054,0.16200657894736842,0.06993006993006994,0.1659249841068023,213,1003,robustness,213,74.31111111111112,293.0,0.013456937799043061,0.003567010222781833,11.945152354570638,49.0,0.08668217871529765,0.021507745223725627
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,1115,1115,0.11838565022421525,0.1336322869955157,0.10582959641255606,0.20986547085201793,132,983,train,132,124.80573543015726,174.0,0.008012452284771893,0.006612419440132931,16.80835881753313,36.0,0.06182526704203552,0.039283832492942226
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,1076,1076,0.06319702602230483,0.11338289962825279,0.09293680297397769,0.21933085501858737,68,1008,validation,68,84.21474773609314,247.0,0.011874404743617315,0.004328492368222365,11.348354792560801,43.0,0.09088936310169952,0.025796768428347376
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,1268,974,0.18480492813141683,0.17248459958932238,0.06861198738170347,0.167192429022082,180,794,robustness,180,59.522222222222226,229.0,0.016800448011946988,0.004558081368808876,9.575757575757576,40.0,0.10686366738587154,0.026432594447902705
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,train,944,944,0.12182203389830508,0.13559322033898305,0.1059322033898305,0.2086864406779661,115,829,train,115,105.66512488436632,156.0,0.009463860484661718,0.007484109868395085,14.121304791029562,29.0,0.07299756455104997,0.045476538684262276
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,validation,925,925,0.06594594594594595,0.11351351351351352,0.09945945945945946,0.23243243243243245,61,864,validation,61,72.39650711513583,213.0,0.013812821085548358,0.005097950200437235,9.648959081119886,36.0,0.10641187002661603,0.030345345208790588
