year,board_bucket,member_rows,unique_instruments,history_ready_240d_count,history_observed_sessions_mean,history_observed_sessions_min,history_ready_240d_rate
2017,chinext,24400,168,285,111.14081967213114,1,0.01168032786885246
2017,main_board,97600,587,1493,117.95286885245902,1,0.015297131147540983
2018,chinext,24300,192,20724,323.61753086419753,1,0.8528395061728395
2018,main_board,97200,571,89599,341.7185905349794,1,0.9218004115226337
2019,chinext,24400,196,21833,517.0884836065574,1,0.8947950819672131
2019,main_board,97600,548,93431,562.8374282786885,1,0.9572848360655738
2020,chinext,24300,214,22061,700.1274897119341,1,0.9078600823045267
2020,main_board,97200,594,93376,780.6436316872428,1,0.9606584362139917
2021,chinext,24300,207,21571,854.7893004115226,1,0.8876954732510288
2021,main_board,97200,603,94138,994.6868209876543,1,0.9684979423868313
2022,chinext,24200,166,20430,960.2071900826446,1,0.8442148760330579
2022,main_board,96800,552,95048,1222.6997417355371,1,0.981900826446281
2023,chinext,24200,173,22100,1199.122438016529,1,0.9132231404958677
2023,main_board,96800,529,95719,1465.9289876033058,1,0.9888326446280992
2024,chinext,24200,169,23356,1471.7495041322313,1,0.9651239669421487
2024,main_board,96800,541,96484,1700.8473243801652,1,0.9967355371900827
2025,chinext,24300,172,23715,1685.4393004115227,1,0.975925925925926
2025,main_board,97200,548,96673,1921.7888991769548,1,0.9945781893004115
2026,chinext,9500,133,9244,1770.106947368421,1,0.9730526315789474
2026,main_board,38000,506,37589,2074.2354736842103,1,0.9891842105263158
