membership_date,board_bucket,listed_instrument_count,candidate_with_daily_bar_count,excluded_missing_daily_bar_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,excluded_missing_market_cap_count,eligible_count,status_source
2017-01-03,chinext,569,498,71,0,0,0,0,121,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-03,main_board,2466,2136,330,0,60,0,0,1350,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-04,chinext,570,500,70,0,0,0,0,122,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-04,main_board,2467,2141,326,0,60,0,0,1354,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-05,chinext,572,503,69,0,0,0,0,122,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-05,main_board,2469,2137,332,0,60,0,0,1352,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-06,chinext,573,506,67,0,0,0,0,122,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-06,main_board,2471,2141,330,0,60,0,0,1355,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-09,chinext,573,505,68,0,0,0,0,122,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-09,main_board,2472,2142,330,0,60,0,0,1355,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-10,chinext,574,506,68,0,0,0,0,124,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-10,main_board,2475,2143,332,0,60,0,0,1354,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-11,chinext,576,507,69,0,0,0,0,124,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-11,main_board,2476,2143,333,0,60,0,0,1353,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-12,chinext,577,507,70,0,0,0,0,125,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-12,main_board,2479,2150,329,0,60,0,0,1357,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-13,chinext,579,510,69,0,0,0,0,125,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-13,main_board,2481,2154,327,0,59,0,0,1360,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-16,chinext,579,509,70,0,0,0,0,125,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-16,main_board,2482,2148,334,0,59,0,0,1356,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-17,chinext,580,510,70,0,0,0,0,124,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-17,main_board,2484,2154,330,0,60,0,0,1356,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-18,chinext,580,512,68,0,0,0,0,124,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-18,main_board,2484,2155,329,0,59,0,0,1360,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-19,chinext,581,511,70,0,0,0,0,124,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-19,main_board,2487,2157,330,0,59,0,0,1358,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-20,chinext,583,514,69,0,0,0,0,124,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-20,main_board,2490,2166,324,0,59,0,0,1363,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-23,chinext,585,515,70,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-23,main_board,2491,2172,319,0,59,0,0,1368,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-24,chinext,585,512,73,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-24,main_board,2493,2175,318,0,59,0,0,1369,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-25,chinext,587,515,72,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-25,main_board,2496,2179,317,0,59,0,0,1371,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-26,chinext,589,517,72,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-26,main_board,2497,2179,318,0,59,0,0,1371,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-03,chinext,589,517,72,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-03,main_board,2497,2173,324,0,58,0,0,1369,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-06,chinext,589,517,72,0,0,0,0,127,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-06,main_board,2499,2173,326,0,58,0,0,1370,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-07,chinext,590,520,70,0,0,0,0,128,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-07,main_board,2501,2173,328,0,58,0,0,1367,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-08,chinext,592,522,70,0,0,0,0,127,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-08,main_board,2504,2180,324,0,59,0,0,1372,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-09,chinext,593,521,72,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
