left_channel,right_channel,left_episode_count,right_episode_count,overlap_episode_count,overlap_share_of_left
E1_early_ema60_repair,E1_early_ema60_repair,1773,1773,1773,1.0
E1_early_ema60_repair,E2_money_vwap_repair_confirmation,1773,1765,1765,0.9954878736604625
E1_early_ema60_repair,E3_rank_persistence,1773,868,855,0.48223350253807107
E1_early_ema60_repair,E6_continuation_discriminator,1773,1402,1384,0.7805978567399887
E2_money_vwap_repair_confirmation,E1_early_ema60_repair,1765,1773,1765,1.0
E2_money_vwap_repair_confirmation,E2_money_vwap_repair_confirmation,1765,1765,1765,1.0
E2_money_vwap_repair_confirmation,E3_rank_persistence,1765,868,851,0.48215297450424927
E2_money_vwap_repair_confirmation,E6_continuation_discriminator,1765,1402,1377,0.7801699716713881
E3_rank_persistence,E1_early_ema60_repair,868,1773,855,0.9850230414746544
E3_rank_persistence,E2_money_vwap_repair_confirmation,868,1765,851,0.9804147465437788
E3_rank_persistence,E3_rank_persistence,868,868,868,1.0
E3_rank_persistence,E6_continuation_discriminator,868,1402,852,0.9815668202764977
E6_continuation_discriminator,E1_early_ema60_repair,1402,1773,1384,0.9871611982881597
E6_continuation_discriminator,E2_money_vwap_repair_confirmation,1402,1765,1377,0.9821683309557775
E6_continuation_discriminator,E3_rank_persistence,1402,868,852,0.6077032810271041
E6_continuation_discriminator,E6_continuation_discriminator,1402,1402,1402,1.0
