source_experiment,source_artifact,source_metric,scope_or_arm_id,split,market_regime_bucket,upstream_value,d_recomputed_pre_replay_value,absolute_diff,tolerance,reconciliation_status,membership_basis,source_partial_flag
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,all,all,0.7111913357400722,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,robustness,risk_off,0.8092243186582809,0.8092243186582809,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,robustness,risk_on,0.4917127071823204,0.49171270718232046,5.551115123125783e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,robustness,transition,0.4,0.4,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,train,risk_off,0.7582128777923784,0.7582128777923784,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,train,risk_on,0.6311111111111111,0.6311111111111111,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,train,transition,0.6217105263157895,0.6217105263157895,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,validation,risk_off,0.8304093567251462,0.8304093567251462,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,validation,risk_on,0.4090909090909091,0.4090909090909091,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_only,validation,transition,0.7037037037037037,0.7037037037037037,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_E1_plus_E3,all,all,,,,0.0001,missing_upstream_value,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,all,all,0.7204171680705976,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,robustness,risk_off,0.8218029350104822,0.8218029350104822,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,robustness,risk_on,0.4972375690607735,0.4972375690607735,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,robustness,transition,0.4,0.4,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,train,risk_off,0.7674113009198423,0.7674113009198423,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,train,risk_on,0.6444444444444445,0.6444444444444445,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,train,transition,0.631578947368421,0.631578947368421,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,validation,risk_off,0.8391812865497076,0.8391812865497076,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,validation,risk_on,0.4090909090909091,0.4090909090909091,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,07_full_union,validation,transition,0.7037037037037037,0.7037037037037037,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,all,all,0.1760930605695948,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,robustness,risk_off,0.1677148846960167,0.16981132075471697,0.002096436058700274,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,robustness,risk_on,0.1988950276243093,0.19889502762430938,8.326672684688674e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
