compression_arm_id,canonical_event_count,density_vs_e1_full_denominator,density_full_denominator,events_per_instrument_year_p95,train_risk_on_incremental_recall_over_e1,robustness_risk_on_incremental_recall_over_e1,gate_status,failure_reason,compression_source_status,event_membership_status,role_in_b
consensus_family_count__min3,3094,0.45366568914956,0.8541240574858328,2.0,0.1288888888888889,0.1215469613259668,train_blocked,train_bridge;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
market_day_top_percentile__top5pct,8734,1.2806451612903225,2.411092281215664,5.0,0.2355555555555555,0.2486187845303867,train_blocked,train_bridge;density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
single_family_best_variant__R2_near_high_volume_expansion,9537,1.3983870967741934,2.6327670123601767,4.0,0.3288888888888889,0.287292817679558,train_blocked,train_bridge;density;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
single_family_best_variant__R7_cross_sectional_momentum_rank_jump,9786,1.4348973607038122,2.7015055030886748,4.0,0.2933333333333333,0.3812154696132597,train_blocked,density;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
market_day_top_percentile__top10pct,10846,1.5903225806451613,2.99412719052726,6.0,0.2533333333333333,0.2983425414364641,train_blocked,train_bridge;density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
family_score_quantile_cut__q0975,10992,1.6117302052785925,3.03443168709899,5.0,0.3288888888888889,0.292817679558011,train_blocked,density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
consensus_family_count__min2,11007,1.6139296187683283,3.0385725600344413,5.0,0.3066666666666666,0.3425414364640884,train_blocked,density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
family_score_quantile_cut__q095,11773,1.7262463343108505,3.250033137938174,5.0,0.3288888888888889,0.3038674033149171,train_blocked,density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
single_family_best_variant__R8_persistent_distance_above_ema,12896,1.8909090909090909,3.560046491705656,6.0,0.3288888888888889,0.3535911602209944,train_blocked,density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
family_score_quantile_cut__q09,13634,1.9991202346041053,3.7637774401298794,6.0,0.3288888888888889,0.3204419889502762,train_blocked,density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
cooldown_after_selected_event__40d,13954,2.0460410557184754,3.852116062752848,5.0,0.3111111111111111,0.3812154696132597,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
single_family_best_variant__R1_relative_strength_breakout,14363,2.1060117302052785,3.96502386479283,6.0,0.3422222222222222,0.4088397790055249,train_blocked,density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
market_day_top_percentile__top20pct,14954,2.19266862170088,4.128174258449627,7.0,0.2933333333333333,0.3314917127071823,train_blocked,train_bridge;density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
single_family_best_variant__R6_market_breadth_thrust,16204,2.3759530791788857,4.4732470030706,6.0,0.3466666666666667,0.425414364640884,train_blocked,density;p95;family_share_65,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
family_score_quantile_cut__q08,17789,2.608357771260997,4.910799243249993,8.0,0.3377777777777778,0.3370165745856354,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
cooldown_after_selected_event__20d,20092,2.9460410557184757,5.5465612679396745,7.0,0.3511111111111111,0.4640883977900552,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
family_score_quantile_cut__q07,22044,3.232258064516129,6.0854268659397865,10.0,0.3511111111111111,0.4033149171270718,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
cooldown_after_selected_event__10d,24394,3.57683284457478,6.734163625827216,9.0,0.3511111111111111,0.4640883977900552,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
top_k_per_instrument_month__k1,28126,4.124046920821114,7.764412812167593,11.0,0.3377777777777778,0.4585635359116022,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
top_k_per_instrument_month__k2,40970,6.00733137829912,11.310104277697016,16.0,0.3511111111111111,0.4640883977900552,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
top_k_per_instrument_month__k3,46667,6.84266862170088,12.882807818581565,19.0,0.3555555555555555,0.4640883977900552,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
event_regime_gated_only,47929,7.027712609970675,13.2311932615509,20.0,0.3555555555555555,0.4640883977900552,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
overlap_deconcentration,47929,7.027712609970675,13.2311932615509,20.0,0.3555555555555555,0.4640883977900552,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
raw_r_series_variant_pool,61960,9.085043988269796,17.1045658053724,24.0,0.36,0.4640883977900552,train_blocked,density;p95,aggregate_frontier_only_no_event_membership,not_reconstructable_in_experiment_a,hypothesis_only
