episode_split,market_regime_bucket,board_bucket,window,metric_basis,numerator,denominator,excluded_count,recall
all,all,all,before_episode_high,capture_any_event,1807,2493,0,0.7248295226634577
all,all,all,before_first_50pct,capture_any_event,1773,2493,0,0.7111913357400722
all,all,all,low_plus_120,capture_any_event,1876,2493,0,0.7525070196550341
all,all,all,low_plus_20,capture_any_event,1033,2493,0,0.41436020858403527
all,all,all,low_plus_30,capture_any_event,1352,2493,0,0.5423184917769756
all,all,all,low_plus_60,capture_any_event,1666,2493,0,0.6682711592458885
all,all,all,low_to_first_50pct,capture_any_event,1787,2493,0,0.7168070597673486
all,all,all,low_to_high,capture_any_event,1809,2493,0,0.7256317689530686
robustness,all,all,before_episode_high,capture_any_event,527,758,0,0.6952506596306068
robustness,all,all,before_first_50pct,capture_any_event,515,758,0,0.679419525065963
robustness,all,all,low_plus_120,capture_any_event,548,758,0,0.7229551451187335
robustness,all,all,low_plus_20,capture_any_event,319,758,0,0.420844327176781
robustness,all,all,low_plus_30,capture_any_event,361,758,0,0.4762532981530343
robustness,all,all,low_plus_60,capture_any_event,471,758,0,0.6213720316622692
robustness,all,all,low_to_first_50pct,capture_any_event,521,758,0,0.6873350923482849
robustness,all,all,low_to_high,capture_any_event,529,758,0,0.6978891820580475
train,all,all,before_episode_high,capture_any_event,917,1290,0,0.7108527131782946
train,all,all,before_first_50pct,capture_any_event,908,1290,0,0.703875968992248
train,all,all,low_plus_120,capture_any_event,955,1290,0,0.7403100775193798
train,all,all,low_plus_20,capture_any_event,500,1290,0,0.3875968992248062
train,all,all,low_plus_30,capture_any_event,683,1290,0,0.5294573643410853
train,all,all,low_plus_60,capture_any_event,841,1290,0,0.6519379844961241
train,all,all,low_to_first_50pct,capture_any_event,908,1290,0,0.703875968992248
train,all,all,low_to_high,capture_any_event,917,1290,0,0.7108527131782946
validation,all,all,before_episode_high,capture_any_event,363,445,0,0.8157303370786517
validation,all,all,before_first_50pct,capture_any_event,350,445,0,0.7865168539325843
validation,all,all,low_plus_120,capture_any_event,373,445,0,0.8382022471910112
validation,all,all,low_plus_20,capture_any_event,214,445,0,0.48089887640449436
validation,all,all,low_plus_30,capture_any_event,308,445,0,0.6921348314606741
validation,all,all,low_plus_60,capture_any_event,354,445,0,0.7955056179775281
validation,all,all,low_to_first_50pct,capture_any_event,358,445,0,0.8044943820224719
validation,all,all,low_to_high,capture_any_event,363,445,0,0.8157303370786517
robustness,risk_off,all,before_episode_high,capture_any_event,396,477,0,0.8301886792452831
robustness,risk_off,all,before_first_50pct,capture_any_event,386,477,0,0.8092243186582809
robustness,risk_off,all,low_plus_120,capture_any_event,412,477,0,0.8637316561844863
robustness,risk_off,all,low_plus_20,capture_any_event,264,477,0,0.5534591194968553
robustness,risk_off,all,low_plus_30,capture_any_event,301,477,0,0.6310272536687631
robustness,risk_off,all,low_plus_60,capture_any_event,387,477,0,0.8113207547169812
robustness,risk_off,all,low_to_first_50pct,capture_any_event,391,477,0,0.8197064989517819
robustness,risk_off,all,low_to_high,capture_any_event,398,477,0,0.8343815513626834
robustness,risk_on,all,before_episode_high,capture_any_event,90,181,0,0.4972375690607735
robustness,risk_on,all,before_first_50pct,capture_any_event,89,181,0,0.49171270718232046
robustness,risk_on,all,low_plus_120,capture_any_event,93,181,0,0.5138121546961326
robustness,risk_on,all,low_plus_20,capture_any_event,33,181,0,0.18232044198895028
robustness,risk_on,all,low_plus_30,capture_any_event,35,181,0,0.19337016574585636
robustness,risk_on,all,low_plus_60,capture_any_event,51,181,0,0.281767955801105
robustness,risk_on,all,low_to_first_50pct,capture_any_event,89,181,0,0.49171270718232046
robustness,risk_on,all,low_to_high,capture_any_event,90,181,0,0.4972375690607735
robustness,transition,all,before_episode_high,capture_any_event,41,100,0,0.41
robustness,transition,all,before_first_50pct,capture_any_event,40,100,0,0.4
robustness,transition,all,low_plus_120,capture_any_event,43,100,0,0.43
robustness,transition,all,low_plus_20,capture_any_event,22,100,0,0.22
robustness,transition,all,low_plus_30,capture_any_event,25,100,0,0.25
robustness,transition,all,low_plus_60,capture_any_event,33,100,0,0.33
robustness,transition,all,low_to_first_50pct,capture_any_event,41,100,0,0.41
robustness,transition,all,low_to_high,capture_any_event,41,100,0,0.41
train,risk_off,all,before_episode_high,capture_any_event,583,761,0,0.7660972404730617
train,risk_off,all,before_first_50pct,capture_any_event,577,761,0,0.7582128777923784
train,risk_off,all,low_plus_120,capture_any_event,595,761,0,0.7818659658344284
train,risk_off,all,low_plus_20,capture_any_event,333,761,0,0.4375821287779238
train,risk_off,all,low_plus_30,capture_any_event,447,761,0,0.5873850197109067
train,risk_off,all,low_plus_60,capture_any_event,538,761,0,0.7069645203679369
train,risk_off,all,low_to_first_50pct,capture_any_event,577,761,0,0.7582128777923784
train,risk_off,all,low_to_high,capture_any_event,583,761,0,0.7660972404730617
train,risk_on,all,before_episode_high,capture_any_event,145,225,0,0.6444444444444445
train,risk_on,all,before_first_50pct,capture_any_event,142,225,0,0.6311111111111111
train,risk_on,all,low_plus_120,capture_any_event,159,225,0,0.7066666666666667
train,risk_on,all,low_plus_20,capture_any_event,73,225,0,0.3244444444444444
train,risk_on,all,low_plus_30,capture_any_event,101,225,0,0.4488888888888889
train,risk_on,all,low_plus_60,capture_any_event,132,225,0,0.5866666666666667
train,risk_on,all,low_to_first_50pct,capture_any_event,142,225,0,0.6311111111111111
train,risk_on,all,low_to_high,capture_any_event,145,225,0,0.6444444444444445
train,transition,all,before_episode_high,capture_any_event,189,304,0,0.6217105263157895
train,transition,all,before_first_50pct,capture_any_event,189,304,0,0.6217105263157895
train,transition,all,low_plus_120,capture_any_event,201,304,0,0.6611842105263158
train,transition,all,low_plus_20,capture_any_event,94,304,0,0.3092105263157895
train,transition,all,low_plus_30,capture_any_event,135,304,0,0.4440789473684211
train,transition,all,low_plus_60,capture_any_event,171,304,0,0.5625
train,transition,all,low_to_first_50pct,capture_any_event,189,304,0,0.6217105263157895
train,transition,all,low_to_high,capture_any_event,189,304,0,0.6217105263157895
