arm_id,target_regime,failure_reason,failure_count,failure_share,blocking_level,example_scope_ids
baseline_r6_only_risk_on_positive,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r6_only_risk_on_positive,risk_on,false_repair;fast_fail;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r6_only_risk_on_positive,transition,bridge;false_repair;recall;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r6_only_transition_primary,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r6_only_transition_primary,risk_on,false_repair;fast_fail;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r6_only_transition_primary,transition,bridge;false_repair;recall;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r_core_no_ranker_diagnostic,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r_core_no_ranker_diagnostic,risk_on,density;duplicate;false_repair;fast_fail;p95;sample_status,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_r_core_no_ranker_diagnostic,transition,bridge;density;duplicate;false_repair;p95;sample_status,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_t4_t7_negative_control,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_t4_t7_negative_control,risk_on,bridge;false_repair;fast_fail;recall;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
baseline_t4_t7_negative_control,transition,bridge;false_repair;fast_fail;oos_separability;recall;sample_status;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
bridge_positive_ranker_with_fast_fail_penalty,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
bridge_positive_ranker_with_fast_fail_penalty,risk_on,bridge;duplicate;false_repair;fast_fail;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
bridge_positive_ranker_with_fast_fail_penalty,transition,bridge;duplicate;false_repair;oos_separability;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cooldown_20d_ranked_within_bucket,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cooldown_20d_ranked_within_bucket,risk_on,false_repair;fast_fail,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cooldown_20d_ranked_within_bucket,transition,bridge;false_repair,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cooldown_40d_ranked_within_bucket,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cooldown_40d_ranked_within_bucket,risk_on,false_repair;fast_fail;oos_separability;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cooldown_40d_ranked_within_bucket,transition,bridge;false_repair;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cross_family_collision_suppression,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cross_family_collision_suppression,risk_on,density;duplicate;false_repair;fast_fail;p95,1,1.0,target_regime_tier,08_R_core_event_regime_gated
cross_family_collision_suppression,transition,bridge;density;duplicate;false_repair;p95,1,1.0,target_regime_tier,08_R_core_event_regime_gated
false_repair_rejector_overlay_train_only,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
false_repair_rejector_overlay_train_only,risk_on,bridge;duplicate;false_repair;fast_fail;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
false_repair_rejector_overlay_train_only,transition,bridge;duplicate;false_repair;oos_separability;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
family_budget_bridge_weighted_train_only,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
family_budget_bridge_weighted_train_only,risk_on,bridge;duplicate;false_repair;fast_fail;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
family_budget_bridge_weighted_train_only,transition,bridge;duplicate;false_repair;oos_separability;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
family_budget_equal_weight,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
family_budget_equal_weight,risk_on,bridge;duplicate;false_repair;fast_fail,1,1.0,target_regime_tier,08_R_core_event_regime_gated
family_budget_equal_weight,transition,bridge;duplicate;false_repair;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
fast_fail_rejector_overlay_train_only,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
fast_fail_rejector_overlay_train_only,risk_on,bridge;duplicate;false_repair;fast_fail;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
fast_fail_rejector_overlay_train_only,transition,bridge;duplicate;false_repair;oos_separability;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
market_day_family_quota,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
market_day_family_quota,risk_on,bridge;duplicate;false_repair;fast_fail,1,1.0,target_regime_tier,08_R_core_event_regime_gated
market_day_family_quota,transition,bridge;duplicate;false_repair;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r2_budget_only_arm,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r2_budget_only_arm,risk_on,bridge;false_repair;fast_fail;recall;sample_status;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r2_budget_only_arm,transition,bridge;false_repair;recall;sample_status;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r2_diagnostic_only_arm,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r2_diagnostic_only_arm,risk_on,bridge;density;duplicate;false_repair;fast_fail;oos_separability;p95;recall;sample_status;selected_share;source,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r2_diagnostic_only_arm,transition,bridge;density;duplicate;false_repair;fast_fail;oos_separability;p95;recall;sample_status;selected_share;source,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r1_r2_r7_bridge_pool,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r1_r2_r7_bridge_pool,risk_on,density;duplicate;false_repair;fast_fail;oos_separability;p95,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r1_r2_r7_bridge_pool,transition,bridge;duplicate;false_repair,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r1_r7_bridge_pool,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r1_r7_bridge_pool,risk_on,density;duplicate;false_repair;fast_fail;p95,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r1_r7_bridge_pool,transition,bridge;duplicate;false_repair,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r2_low_fast_fail_support,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r2_low_fast_fail_support,risk_on,duplicate;false_repair;fast_fail,1,1.0,target_regime_tier,08_R_core_event_regime_gated
r6_r2_low_fast_fail_support,transition,bridge;false_repair;recall;selected_share,1,1.0,target_regime_tier,08_R_core_event_regime_gated
supervised_bridge_ranker,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
supervised_bridge_ranker,risk_on,bridge;duplicate;false_repair;fast_fail;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
supervised_bridge_ranker,transition,bridge;duplicate;false_repair;oos_separability;recall,1,1.0,target_regime_tier,08_R_core_event_regime_gated
top_k_per_instrument_20d_family_aware,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
top_k_per_instrument_20d_family_aware,risk_on,false_repair;fast_fail,1,1.0,target_regime_tier,08_R_core_event_regime_gated
top_k_per_instrument_20d_family_aware,transition,bridge;false_repair,1,1.0,target_regime_tier,08_R_core_event_regime_gated
top_k_per_instrument_month_family_aware,risk_off,risk_off_diagnostic_only,1,1.0,target_regime_tier,08_R_core_event_regime_gated
top_k_per_instrument_month_family_aware,risk_on,false_repair;fast_fail,1,1.0,target_regime_tier,08_R_core_event_regime_gated
top_k_per_instrument_month_family_aware,transition,bridge;false_repair,1,1.0,target_regime_tier,08_R_core_event_regime_gated
