score_spec_id,family_id,variant_id,score_field_name,source_column,source_column_required_flag,score_direction,score_transform,normalization_scope,missing_policy,tie_break_policy,feature_asof_policy,source_column_presence_status,score_availability_status,proxy_score_used,missing_semantic_feature,recompute_required_flag,recomputed_from_source_artifacts,source_08_manifest_hash,patch_requirement_hash
score_spec_v1,R1_relative_strength_breakout,event_regime_gated,stock_vs_market_20d,stock_vs_market_20d,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,False,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R1_relative_strength_breakout,event_regime_gated,stock_vs_board_20d,stock_vs_board_20d,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,False,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R1_relative_strength_breakout,event_regime_gated,return_60d,return_60d,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,False,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R6_market_breadth_thrust,event_regime_gated,universe_up_share_z,universe_up_share_z,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,False,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R6_market_breadth_thrust,event_regime_gated,universe_up_share_change_5d,universe_up_share_change_5d,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,False,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R7_cross_sectional_momentum_rank_jump,event_regime_gated,momentum_percentile_20d,momentum_percentile_20d,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,False,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R7_cross_sectional_momentum_rank_jump,event_regime_gated,momentum_percentile_20d_delta,momentum_percentile_20d;momentum_percentile_20d_lag20,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,False,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R8_persistent_distance_above_ema,event_regime_gated,return_60d,return_60d,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,True,ema_distance,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R8_persistent_distance_above_ema,event_regime_gated,momentum_percentile_60d,momentum_percentile_60d,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,True,ema_distance,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R8_persistent_distance_above_ema,event_regime_gated,close_to_high_60,close_to_high_60,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,True,ema_distance,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R2_near_high_volume_expansion,event_regime_gated,non_scored_volume_unavailable,,False,not_applicable,not_applicable,not_applicable,non_scored_core_family_retain_and_audit,not_score_rank_eligible,t0_or_earlier_only,not_available,core_semantic_score_unavailable,False,amount_or_volume_expansion,True,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
score_spec_v1,R3_vcp_breakout,event_regime_gated,close_to_high_60,close_to_high_60,True,higher_is_stronger,per_family_train_risk_on_percentile_rank,family_variant_train_risk_on_source_events,missing_score_field_fails_arm_for_that_family,higher_train_bridge_delta_then_lower_density_then_family_id,event_t0_or_earlier_only,present,available,True,,False,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
