source_pool_id,family_id,variant_ids,source_event_count,scored_event_count,unscored_event_count,score_availability_status,compression_source_variant_policy
raw_r_series_variant_pool,R1_relative_strength_breakout,event_regime_gated;ungated,31385,14363,17022,available;score_source_column_missing,all_runnable_variants_upper_bound
raw_r_series_variant_pool,R2_near_high_volume_expansion,event_regime_gated;ungated,20279,0,20279,core_semantic_score_unavailable,all_runnable_variants_upper_bound
raw_r_series_variant_pool,R6_market_breadth_thrust,event_regime_gated;ungated,35958,16204,19754,available;score_source_column_missing,all_runnable_variants_upper_bound
raw_r_series_variant_pool,R7_cross_sectional_momentum_rank_jump,event_regime_gated;ungated,21773,9786,11987,available;score_source_column_missing,all_runnable_variants_upper_bound
raw_r_series_variant_pool,R8_persistent_distance_above_ema,event_regime_gated;ungated,26777,12896,13881,available;score_source_column_missing,all_runnable_variants_upper_bound
event_regime_gated_source_pool,R1_relative_strength_breakout,event_regime_gated,14363,14363,0,available,event_regime_gated_first
event_regime_gated_source_pool,R2_near_high_volume_expansion,event_regime_gated,9537,0,9537,core_semantic_score_unavailable,event_regime_gated_first
event_regime_gated_source_pool,R6_market_breadth_thrust,event_regime_gated,16204,16204,0,available,event_regime_gated_first
event_regime_gated_source_pool,R7_cross_sectional_momentum_rank_jump,event_regime_gated,9786,9786,0,available,event_regime_gated_first
event_regime_gated_source_pool,R8_persistent_distance_above_ema,event_regime_gated,12896,12896,0,available,event_regime_gated_first
