source_pool,model_id,threshold_id,split,pit_transition_context,transition_outcome_label,transition_outcome_direction,selection_bucket,event_n,unique_segment_n,horizon_complete_event_n,cost_bad_10_20_rate,fast_fail_bad_10d_rate,false_repair_bad_20d_rate,readout_only_not_used_for_training
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,2366,10,2364,0.30752961082910324,0.21023688663282572,0.2796108291032149,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,1752,10,1750,0.23485714285714285,0.1422857142857143,0.21142857142857144,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,614,10,614,0.5146579804560261,0.40390879478827363,0.4739413680781759,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,4377,9,4375,0.22285714285714286,0.14285714285714285,0.1929142857142857,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,3172,9,3171,0.1532639545884579,0.08136234626300852,0.13497319457584359,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,1205,9,1204,0.4061461794019934,0.30481727574750833,0.34551495016611294,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,4617,25,4613,0.28072837632776937,0.19640147409494907,0.25059614133969216,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,3094,25,3093,0.1859036534109279,0.11445198836081474,0.1597154865826059,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,1523,25,1520,0.47368421052631576,0.3631578947368421,0.4355263157894737,True
transition_previous_regime_primary,transition_cost_rejector_no_context,transition_cost_rejector_no_context__keep_0700,train,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,1063,8,1061,0.49952874646559847,0.3892554194156456,0.42507068803016024,True
