segment_id,start_date,end_date,regime,trading_days,start_close,end_close,calendar_days,return_in_segment
1,2017-04-06,2017-04-24,risk_on,13,4965.08,4671.02,19,-0.059225631812579005
2,2017-04-25,2017-07-19,transition,59,4686.41,4738.17,86,0.011044701594610906
3,2017-07-20,2017-11-24,risk_on,87,4762.31,4973.51,128,0.04434822596597021
4,2017-11-27,2017-11-27,transition,1,4912.66,4912.66,1,0.0
5,2017-11-28,2017-11-29,risk_on,2,4952.68,4957.89,2,0.0010519557088284337
6,2017-11-30,2018-01-08,transition,27,4913.7,5038.76,40,0.025451289252498288
7,2018-01-09,2018-01-12,risk_on,4,5054.53,5057.91,4,0.0006687070805793116
8,2018-01-15,2018-01-22,transition,6,4996.06,5091.0,8,0.01900297434378273
9,2018-01-23,2018-01-29,risk_on,5,5121.19,5048.67,7,-0.01416077122699988
10,2018-01-30,2018-02-06,transition,6,5017.21,4680.83,8,-0.06704523031724807
11,2018-02-07,2018-02-14,risk_off,6,4627.1,4600.61,8,-0.005724968122582275
12,2018-02-22,2018-03-08,transition,11,4692.03,4822.68,15,0.02784509050453643
13,2018-03-09,2018-03-12,risk_on,2,4876.46,4923.43,4,0.009631987138210896
14,2018-03-13,2018-03-22,transition,8,4889.92,4796.1,10,-0.019186407957594298
15,2018-03-23,2018-03-26,risk_off,2,4604.9,4627.56,4,0.004920845186649148
16,2018-03-27,2018-03-27,transition,1,4703.1,4703.1,1,0.0
17,2018-03-28,2018-03-28,risk_off,1,4643.25,4643.25,1,0.0
18,2018-03-29,2018-04-16,transition,11,4693.3,4643.92,19,-0.01052138154390303
19,2018-04-17,2018-05-04,risk_off,12,4558.22,4571.4,18,0.0028914795687788875
20,2018-05-07,2018-05-14,transition,6,4647.06,4675.59,8,0.006139365534337804
21,2018-05-15,2018-05-22,risk_on,6,4707.89,4727.24,8,0.004110121519406595
22,2018-05-23,2018-05-24,transition,2,4670.02,4646.79,2,-0.0049742827653843635
23,2018-05-25,2018-11-16,risk_off,119,4614.47,3763.27,176,-0.18446322112832036
24,2018-11-19,2018-11-19,transition,1,3790.92,3790.92,1,0.0
25,2018-11-20,2019-01-08,risk_off,34,3695.87,3508.52,50,-0.05069171805285355
26,2019-01-09,2019-01-15,transition,5,3531.77,3581.5,7,0.014080758373280267
27,2019-01-16,2019-01-16,risk_off,1,3578.34,3578.34,1,0.0
28,2019-01-17,2019-01-25,transition,7,3552.92,3598.6,9,0.01285703027369034
29,2019-01-28,2019-01-28,risk_on,1,3587.45,3587.45,1,0.0
30,2019-01-29,2019-01-31,risk_off,3,3565.38,3523.62,3,-0.01171263652121235
31,2019-02-01,2019-02-01,transition,1,3596.02,3596.02,1,0.0
32,2019-02-11,2019-04-30,risk_on,56,3676.88,4422.49,79,0.20278333804747484
33,2019-05-06,2019-05-23,transition,14,4127.65,4068.81,18,-0.014255084612309621
34,2019-05-24,2019-05-27,risk_off,2,4056.54,4136.65,4,0.0197483569741701
35,2019-05-28,2019-05-29,transition,2,4159.75,4159.97,2,5.288779373757713e-05
36,2019-05-30,2019-06-20,risk_off,15,4133.99,4246.83,22,0.027295663511522905
37,2019-06-21,2019-06-24,transition,2,4282.07,4286.14,4,0.0009504748871458357
38,2019-06-25,2019-06-28,risk_off,4,4242.5,4244.08,4,0.0003724219210370361
39,2019-07-01,2019-07-05,transition,5,4367.71,4319.95,5,-0.010934791916130004
40,2019-07-08,2019-07-29,risk_off,16,4198.24,4228.46,22,0.007198254506650459
41,2019-07-30,2019-08-02,transition,4,4247.25,4124.29,4,-0.028950497380658136
42,2019-08-05,2019-08-16,risk_off,10,4059.75,4068.25,12,0.0020937249830654814
