population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,sample_n,evaluable_event_n,admitted_event_n,suppressed_event_n,non_executable_audit_only_n,winner_n,E1_missed_winner_n,fast_fail_positive_n,fast_fail_winner_n,false_repair_positive_n,hybrid_positive_n,unique_instrument_n,unique_event_day_n,formal_event_day_density,p95_density,rolling_10d_executable_event_day_density,rolling_20d_executable_event_day_density
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,2996,2996,2996,0,7,622,306,195,12,852,909,733,101,0.9986376021798365,1.0,0.1,0.1
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,4794,4794,4794,0,22,878,497,426,46,1874,1940,932,186,0.9989281886387996,1.0,0.1,0.1
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,1440,1440,1440,0,1,107,41,120,2,387,421,587,51,1.0,1.0,0.1,0.1
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,9705,9705,9705,6,19,2023,991,584,61,2723,2877,760,271,1.0,1.0,0.5,0.3
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,16557,16557,16557,14,32,2964,1592,1250,110,6338,6470,1015,475,1.0,1.0,0.5,0.3
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,4449,4449,4449,6,2,297,120,338,5,1299,1384,669,128,1.0,1.0,0.5,0.3
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,2996,2996,2996,0,7,622,306,195,12,852,909,733,101,0.9986376021798365,1.0,0.1,0.1
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,4794,4794,4794,0,22,878,497,426,46,1874,1940,932,186,0.9989281886387996,1.0,0.1,0.1
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,1440,1440,1440,0,1,107,41,120,2,387,421,587,51,1.0,1.0,0.1,0.1
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,4970,4970,4970,4741,19,995,482,342,39,1299,1402,760,271,1.0,1.0,0.1,0.1
