population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,input_row_n,eligible_risk_on_row_n,admitted_event_n,suppressed_event_n,non_executable_audit_only_n,unique_sample_n,unique_instrument_n,feature_matrix_joined_n,fast_fail_weight_joined_n,cost_bad_weight_joined_n,sample_count_status
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,3003,3003,2996,0,7,2996,733,3003,3003,3003,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,4816,4816,4794,0,22,4794,932,4816,4816,4816,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,1441,1441,1440,0,1,1440,587,1441,1441,1441,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,9730,9730,9705,6,19,9705,760,9730,9730,9730,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,16603,16603,16557,14,32,16557,1015,16603,16603,16603,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,4457,4457,4449,6,2,4449,669,4457,4457,4457,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,3003,3003,2996,0,7,2996,733,3003,3003,3003,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,4816,4816,4794,0,22,4794,932,4816,4816,4816,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,1441,1441,1440,0,1,1440,587,1441,1441,1441,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,9730,9730,4970,4741,19,4970,760,9730,9730,9730,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,16603,16603,8318,8253,32,8318,1015,16603,16603,16603,pass
