component_id,capacity_id,threshold_id,reject_fraction,random_seed,random_tie_break_key,rule_baseline_id,rule_baseline_owner,rule_baseline_required_features,min_positive_count,min_winner_count,min_rule_positive_count,min_rule_winner_count,capture_lift_margin,winner_retention_floor,wrong_kill_rate_cap
fast_fail_10d,keep_9000,keep_9000,0.1,20260615,sha256_input_event_key_capacity_seed,structural_swing_low_rank_v1,10B,close_to_ema60;ema60_slope_20d;return_20d;stock_vs_market_20d;atr_20_pct,100,20,10,3,0.02,0.94,0.06
fast_fail_10d,keep_9250,keep_9250,0.075,20260615,sha256_input_event_key_capacity_seed,structural_swing_low_rank_v1,10B,close_to_ema60;ema60_slope_20d;return_20d;stock_vs_market_20d;atr_20_pct,100,20,10,3,0.02,0.94,0.06
fast_fail_10d,keep_9300,keep_9300,0.07,20260615,sha256_input_event_key_capacity_seed,structural_swing_low_rank_v1,10B,close_to_ema60;ema60_slope_20d;return_20d;stock_vs_market_20d;atr_20_pct,100,20,10,3,0.02,0.94,0.06
fast_fail_10d,keep_9400,keep_9400,0.06,20260615,sha256_input_event_key_capacity_seed,structural_swing_low_rank_v1,10B,close_to_ema60;ema60_slope_20d;return_20d;stock_vs_market_20d;atr_20_pct,100,20,10,3,0.02,0.94,0.06
fast_fail_10d,keep_9500,keep_9500,0.05,20260615,sha256_input_event_key_capacity_seed,structural_swing_low_rank_v1,10B,close_to_ema60;ema60_slope_20d;return_20d;stock_vs_market_20d;atr_20_pct,100,20,10,3,0.02,0.94,0.06
fast_fail_10d,keep_9600,keep_9600,0.04,20260615,sha256_input_event_key_capacity_seed,structural_swing_low_rank_v1,10B,close_to_ema60;ema60_slope_20d;return_20d;stock_vs_market_20d;atr_20_pct,100,20,10,3,0.02,0.94,0.06
fast_fail_10d,keep_9700,keep_9700,0.03,20260615,sha256_input_event_key_capacity_seed,structural_swing_low_rank_v1,10B,close_to_ema60;ema60_slope_20d;return_20d;stock_vs_market_20d;atr_20_pct,100,20,10,3,0.02,0.94,0.06
false_repair_20d_component,keep_8000,keep_8000,0.2,20260615,sha256_input_event_key_capacity_seed,none,10C,none,300,100,0,0,0.0,0.85,0.15
false_repair_20d_component,keep_8250,keep_8250,0.175,20260615,sha256_input_event_key_capacity_seed,none,10C,none,300,100,0,0,0.0,0.85,0.15
false_repair_20d_component,keep_8500,keep_8500,0.15,20260615,sha256_input_event_key_capacity_seed,none,10C,none,300,100,0,0,0.0,0.85,0.15
false_repair_20d_component,keep_8750,keep_8750,0.125,20260615,sha256_input_event_key_capacity_seed,none,10C,none,300,100,0,0,0.0,0.85,0.15
false_repair_20d_component,keep_9000,keep_9000,0.1,20260615,sha256_input_event_key_capacity_seed,none,10C,none,300,100,0,0,0.0,0.85,0.15
