model_id,ablation_id,split,capacity_id,false_repair_non_winner_exposure_days_before,false_repair_non_winner_exposure_days_rejected,false_repair_non_winner_exposure_days_reduction,random_false_repair_non_winner_exposure_days_reduction,exposure_days_lift_vs_random,all_rejected_exposure_days,winner_rejected_exposure_days,exposure_interval_invalid_n,exposure_interval_invalid_rate
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8000,83549.0,26536.0,0.317610025254641,0.19891321260577624,0.11869681264886475,49173.0,8922.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8000,20177.0,7310.0,0.36229370074837686,0.18788719829508846,0.1744065024532884,14740.0,1562.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8000,32900.0,12123.0,0.36848024316109423,0.1899696048632219,0.17851063829787234,28839.0,7494.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8250,83549.0,23614.0,0.28263653664316746,0.16902655926462315,0.11360997737854431,43005.0,7684.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8250,20177.0,6529.0,0.323586261584973,0.17187887198295088,0.15170738960202212,12891.0,1482.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8250,32900.0,11028.0,0.33519756838905773,0.18936170212765957,0.14583586626139816,25210.0,6436.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8500,83549.0,20790.0,0.24883601239990905,0.1472309662593209,0.10160504614058816,36892.0,6545.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8500,20177.0,5652.0,0.28012092977152203,0.14997274124002577,0.13014818853149626,11052.0,1366.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8500,32900.0,9577.0,0.29109422492401216,0.15167173252279637,0.1394224924012158,21610.0,5439.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8750,83549.0,17620.0,0.2108942057954015,0.11917557361548313,0.09171863217991837,30750.0,5487.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8750,20177.0,4819.0,0.2388362987560093,0.11096793378599396,0.12786836497001536,9201.0,1225.0,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8750,32900.0,8175.0,0.24848024316109424,0.12455927051671732,0.12392097264437692,17964.0,4463.0,0,0.0
