reporting_view,split,path_regime_state,comparison_axis,comparison_id,baseline_split,baseline_path_regime_state,metric,winner_n,non_null_metric_n,baseline_winner_n,baseline_non_null_metric_n,standardized_mean_delta,ks_statistic,psi,psi_bin_power_flag,power_flag,p01_delta,p05_delta,p10_delta,p25_delta,p50_delta,p75_delta,p90_delta,p95_delta,p99_delta
regime_only,all,risk_off,regime_pairwise,risk_off_vs_transition,all,transition,day_to_target,1393,1393,414,414,0.013313591799789519,0.04556772822012062,0.027408015221790347,ok,ok,-1.13,-1.0,1.0,0.75,4.0,-4.75,-1.0,-1.0,-2.0
regime_only,all,risk_on,regime_pairwise,risk_on_vs_risk_off,all,risk_off,day_to_target,1268,1268,1393,1393,0.22469390640765352,0.1105697482455088,0.06264564714620847,ok,ok,0.0,0.3500000000000014,2.0,5.75,9.0,12.0,8.0,5.0,1.0
regime_only,all,risk_on,regime_pairwise,risk_on_vs_transition,all,transition,day_to_target,1268,1268,414,414,0.2314852302989477,0.1243046983343239,0.061502536537305606,ok,ok,-1.13,-0.6499999999999986,3.0,6.5,13.0,7.25,7.0,4.0,-1.0
regime_only,all,risk_off,regime_vs_all,risk_off_vs_all,all,all,day_to_target,1393,1393,3075,3075,-0.08773395467658938,0.0505430754235755,0.01340067848179432,ok,ok,0.0,0.0,-1.0,-2.0,-2.0,-7.0,-4.0,-3.0,-1.0
regime_only,all,risk_on,regime_vs_all,risk_on_vs_all,all,all,day_to_target,1268,1268,3075,3075,0.12935306112176256,0.0600266728219333,0.019231462280855857,ok,ok,0.0,0.3500000000000014,1.0,3.75,7.0,5.0,4.0,2.0,0.0
regime_only,all,transition,regime_vs_all,transition_vs_all,all,all,day_to_target,414,414,3075,3075,-0.10098135902875896,0.07190055378814658,0.020704434991209393,ok,ok,1.13,1.0,-2.0,-2.75,-6.0,-2.25,-3.0,-2.0,1.0
split_only,train,all,split_pairwise,train_vs_robustness,robustness,all,day_to_target,1080,1080,1761,1761,0.0819168607588271,0.07419553284118874,0.022587663706943747,ok,ok,3.0,1.0,-1.0,0.0,2.0,8.0,5.0,2.0,0.0
split_only,train,all,split_pairwise,train_vs_validation,validation,all,day_to_target,1080,1080,234,234,0.10713050505856904,0.10612535612535612,0.04729006374972906,ok,ok,-0.33000000000000007,1.0,2.0,-2.0,4.0,9.25,9.0,10.650000000000006,4.3300000000000125
split_only,validation,all,split_pairwise,validation_vs_robustness,robustness,all,day_to_target,234,234,1761,1761,-0.0198673569938874,0.055475472851963414,0.012431947147835784,ok,ok,3.33,0.0,-3.0,2.0,-2.0,-1.25,-4.0,-8.650000000000006,-4.3300000000000125
split_regime,all,risk_off,split_regime_vs_all,all_risk_off_vs_all,all,all,day_to_target,1393,1393,3075,3075,-0.08773395467658938,0.0505430754235755,0.01340067848179432,ok,ok,0.0,0.0,-1.0,-2.0,-2.0,-7.0,-4.0,-3.0,-1.0
split_regime,all,risk_on,split_regime_vs_all,all_risk_on_vs_all,all,all,day_to_target,1268,1268,3075,3075,0.12935306112176256,0.0600266728219333,0.019231462280855857,ok,ok,0.0,0.3500000000000014,1.0,3.75,7.0,5.0,4.0,2.0,0.0
