record_source,record_unit,selection_rule,source_relative_path,instrument,episode_id,episode_low_date,episode_high_date,qfq_low_at_low_date,qfq_high_at_high_date,mfe_120,low_to_high_sessions,low_to_high_calendar_days,low_detection_window,forward_horizon_days,dedup_cluster_id,cluster_policy,primary_low_selection_policy,earliest_qualifying_low_date,earliest_qualifying_high_date,max_mfe_low_date,max_mfe_high_date,max_mfe_120,structural_low_date,structural_low_to_cluster_high_mfe,high_at_horizon_boundary,profile_start_date,profile_end_date,profile_pre_low_complete,profile_post_high_complete,lookback_60_complete,lookback_120_complete,lookback_250_complete,first_ema60_reclaim_date,first_ema60_reclaim_missing_reason,split,duration_bucket,board_bucket,total_market_cap_cny,liquidity_money_20d,prior_return_20d,prior_return_60d,prior_drawdown,volatility_20d,market_regime_bucket,benchmark_alias,cluster_member_count,cluster_union_start_date,cluster_union_end_date,market_cap_bucket,liquidity_bucket,prior_return_20d_bucket,prior_return_60d_bucket,prior_drawdown_bucket,volatility_bucket,low_matched_control_count,ema60_matched_control_count
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600009,SH600009_20210802_0002,2021-08-02,2022-01-21,35.79,54.11,0.5118748253702152,116,172,20,120,SH600009_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-08-02,2022-01-21,2021-08-02,2022-01-21,0.5118748253702152,2021-08-02,0.5118748253702152,False,2020-07-09,2022-03-11,True,True,True,True,True,2021-09-03,not_missing,train,long,main_board,74284248170.4,634127427.85,-0.1772656769333037,-0.3271112722000724,-0.3381461675579322,0.0335173713977915,risk_on,csi300,1,2021-08-02,2022-01-21,q4,q4,q1,q1,q1,q3,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600010,SH600010_20250929_0005,2025-09-29,2026-03-02,2.26,3.41,0.5088495575221241,96,154,20,120,SH600010_cluster_0005,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-09-29,2026-03-02,2025-09-29,2026-03-02,0.5088495575221241,2026-01-19,0.5155555555555555,False,2024-09-19,2026-04-14,True,True,True,True,True,2025-10-09,not_missing,robustness,long,main_board,103258052113.44,2148130553.1,-0.1490909090909091,0.2999999999999998,-0.2173913043478261,0.0376068376068376,risk_on,csi300,1,2025-09-29,2026-03-02,q5,q5,q2,q5,q3,q3,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600011,SH600011_20211129_0002,2021-11-29,2021-12-24,5.2,9.9,0.9038461538461536,19,25,20,120,SH600011_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-11-29,2021-12-24,2021-11-29,2021-12-24,0.9038461538461536,2021-11-29,0.9038461538461536,False,2020-11-18,2022-02-14,True,True,True,True,True,2021-12-03,not_missing,train,fast,main_board,89793094013.48,582584618.1,-0.16,0.1999999999999999,-0.2889963724304716,0.0551020408163265,risk_on,csi300,1,2021-11-29,2021-12-24,q5,q4,q2,q5,q2,q5,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600019,SH600019_20201215_0000,2020-12-15,2021-03-15,4.42,7.25,0.6402714932126696,58,90,20,120,SH600019_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-12-15,2021-03-15,2020-12-15,2021-03-15,0.6402714932126696,2020-12-15,0.6402714932126696,False,2019-12-04,2021-04-27,True,True,True,True,True,2021-01-07,not_missing,train,medium,main_board,132725907994.0,768771794.6,-0.0703933747412007,0.1784776902887139,-0.1108910891089107,0.0396436525612472,risk_on,csi300,1,2020-12-15,2021-03-15,q5,q5,q4,q5,q5,q3,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600019,SH600019_20210618_0001,2021-06-18,2021-09-13,5.49,9.56,0.7413479052823315,61,87,20,120,SH600019_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-06-18,2021-09-13,2021-06-18,2021-09-13,0.7413479052823315,2021-06-18,0.7413479052823315,False,2020-06-08,2021-11-03,True,True,True,True,True,2021-07-15,not_missing,train,medium,main_board,163674132457.5,845339225.65,-0.0594227504244481,-0.1912408759124086,-0.2284122562674094,0.033754512635379,risk_on,csi300,2,2021-06-18,2021-09-13,q5,q5,q4,q2,q3,q3,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600025,SH600025_20210531_0001,2021-05-31,2021-10-08,4.68,8.09,0.7286324786324787,86,130,20,120,SH600025_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-05-31,2021-10-08,2021-07-23,2021-10-08,0.7702407002188183,2021-07-23,0.7702407002188183,False,2020-05-20,2021-11-19,True,True,True,True,True,2021-06-11,not_missing,train,long,main_board,97020000000.0,202588805.7,-0.0863039399624765,0.2114427860696519,-0.1787521079258009,0.0325462012320328,risk_on,csi300,2,2021-05-31,2021-10-08,q5,q2,q3,q5,q4,q3,3,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600026,SH600026_20210802_0002,2021-08-02,2021-10-08,4.58,7.01,0.5305676855895196,42,67,20,120,SH600026_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-08-02,2021-10-08,2021-08-02,2021-10-08,0.5305676855895196,2021-08-02,0.5305676855895196,False,2020-07-23,2021-11-19,True,True,True,True,True,2021-09-07,not_missing,train,medium,main_board,24194474775.8,111888454.85,-0.1692573402417962,-0.1516754850088184,-0.1996672212978369,0.0328482328482328,risk_on,csi300,1,2021-08-02,2021-10-08,q2,q2,q1,q2,q3,q3,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600027,SH600027_20211115_0002,2021-11-15,2021-12-27,2.92,4.64,0.5890410958904109,30,42,20,120,SH600027_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-11-15,2021-12-27,2021-11-15,2021-12-27,0.5890410958904109,2021-11-15,0.5890410958904109,False,2020-11-03,2022-02-15,True,True,True,True,True,2021-12-06,not_missing,train,fast,main_board,34544503752.5,502158032.95,-0.127906976744186,0.0638297872340425,-0.3576017130620985,0.068,risk_on,csi300,4,2021-11-15,2021-12-27,q3,q4,q2,q5,q1,q5,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600028,SH600028_20250923_0001,2025-09-23,2026-03-04,5.27,8.11,0.5388994307400379,102,162,20,120,SH600028_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-09-23,2026-03-04,2025-09-23,2026-03-04,0.5388994307400379,2025-09-23,0.5388994307400379,False,2024-09-11,2026-04-16,True,True,True,True,True,2025-10-27,not_missing,robustness,long,main_board,644664904873.36,969000467.0,-0.0645724258289703,-0.03770197486535,-0.1036789297658863,0.0172574626865671,risk_on,csi300,4,2025-09-23,2026-03-04,q5,q5,q4,q4,q5,q1,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600030,SH600030_20240415_0002,2024-04-15,2024-10-09,16.38,32.01,0.9542124542124542,116,177,20,120,SH600030_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2024-04-15,2024-10-09,2024-07-09,2024-11-08,1.1566484517304194,2024-04-15,1.1684981684981688,False,2023-03-31,2024-11-20,True,True,True,True,True,2024-07-16,not_missing,robustness,long,main_board,265880610112.26,1666712971.0,-0.1469098277608915,-0.0882512181916621,-0.1860802319961334,0.0212292161520189,risk_on,csi300,3,2024-04-15,2024-11-08,q5,q5,q2,q3,q4,q1,5,5
