record_source,record_unit,selection_rule,source_relative_path,episode_id,instrument,episode_low_date,episode_high_date,first_50pct_date,pre120_calendar_start_date,low_to_high_sessions,low_to_high_calendar_days,mfe_120,split,duration_bucket,board_bucket,liquidity_money_20d,total_market_cap_cny,cluster_union_start_date,cluster_union_end_date,lineage_status
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600009_20210802_0002,SH600009,2021-08-02,2022-01-21,2022-01-21,2021-04-04,116,172,0.5118748253702152,train,long,main_board,634127427.85,74284248170.4,2021-08-02,2022-01-21,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600010_20250929_0005,SH600010,2025-09-29,2026-03-02,2026-03-02,2025-06-01,96,154,0.5088495575221241,robustness,long,main_board,2148130553.1,103258052113.44,2025-09-29,2026-03-02,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600011_20211129_0002,SH600011,2021-11-29,2021-12-24,2021-12-24,2021-08-01,19,25,0.9038461538461536,train,fast,main_board,582584618.1,89793094013.48,2021-11-29,2021-12-24,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600019_20201215_0000,SH600019,2020-12-15,2021-03-15,2021-03-15,2020-08-17,58,90,0.6402714932126696,train,medium,main_board,768771794.6,132725907994.0,2020-12-15,2021-03-15,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600019_20210618_0001,SH600019,2021-06-18,2021-09-13,2021-09-13,2021-02-18,61,87,0.7413479052823315,train,medium,main_board,845339225.65,163674132457.5,2021-06-18,2021-09-13,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600025_20210531_0001,SH600025,2021-05-31,2021-10-08,2021-10-08,2021-01-31,86,130,0.7286324786324787,train,long,main_board,202588805.7,97020000000.0,2021-05-31,2021-10-08,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600026_20210802_0002,SH600026,2021-08-02,2021-10-08,2021-10-08,2021-04-04,42,67,0.5305676855895196,train,medium,main_board,111888454.85,24194474775.8,2021-08-02,2021-10-08,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600027_20211115_0002,SH600027,2021-11-15,2021-12-27,2021-12-27,2021-07-18,30,42,0.5890410958904109,train,fast,main_board,502158032.95,34544503752.5,2021-11-15,2021-12-27,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600028_20250923_0001,SH600028,2025-09-23,2026-03-04,2026-03-04,2025-05-26,102,162,0.5388994307400379,robustness,long,main_board,969000467.0,644664904873.36,2025-09-23,2026-03-04,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600030_20240415_0002,SH600030,2024-04-15,2024-10-09,2024-10-09,2023-12-17,116,177,0.9542124542124542,robustness,long,main_board,1666712971.0,265880610112.26,2024-04-15,2024-11-08,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600031_20200812_0000,SH600031,2020-08-12,2021-01-13,2021-01-13,2020-04-14,103,154,1.463605823068309,train,long,main_board,1947005165.6,176579146891.41998,2020-08-12,2021-02-18,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600048_20210802_0000,SH600048,2021-08-02,2022-01-11,2022-01-11,2021-04-04,108,162,0.8635794743429286,train,long,main_board,763206710.3,119820776905.83,2021-08-02,2022-04-15,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600061_20240412_0000,SH600061,2024-04-12,2024-10-08,2024-10-08,2023-12-14,116,179,0.5303292894280764,robustness,long,main_board,141218906.35,39322900217.16,2024-04-12,2024-10-08,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600085_20201225_0000,SH600085,2020-12-25,2021-05-28,2021-05-28,2020-08-27,100,154,0.9223744292237446,train,long,main_board,545379400.25,32160977643.9,2020-12-25,2021-05-28,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600085_20210922_0001,SH600085,2021-09-22,2022-01-07,2022-01-07,2021-05-25,71,107,0.8018480492813143,train,medium,main_board,493527250.05,43215027955.62,2021-09-22,2022-01-07,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600085_20230106_0003,SH600085,2023-01-06,2023-05-08,2023-05-08,2022-09-08,77,122,0.5431012817290777,validation,medium,main_board,407404104.95,61044141361.62,2023-01-06,2023-05-08,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600089_20200908_0001,SH600089,2020-09-08,2021-02-22,2021-02-22,2020-05-11,107,167,0.8695652173913044,train,long,main_board,566069576.05,29194498521.54,2020-09-08,2021-02-22,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600096_20210709_0000,SH600096,2021-07-09,2021-09-14,2021-09-14,2021-03-11,47,67,2.0821501014198787,train,medium,main_board,1064647237.15,23518670681.6,2021-07-09,2021-09-14,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600096_20250923_0003,SH600096,2025-09-23,2026-02-27,2026-02-27,2025-05-26,99,157,0.8216797683078196,robustness,long,main_board,756244575.95,46650332806.29,2025-09-23,2026-02-27,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600104_20200617_0000,SH600104,2020-06-17,2020-11-06,2020-11-06,2020-02-18,94,142,0.7126436781609196,train,long,main_board,637318400.65,207965612297.0,2020-06-17,2020-11-06,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600132_20190311_0001,SH600132,2019-03-11,2019-07-01,2019-07-01,2018-11-11,75,112,0.5739396255254106,train,medium,main_board,97847644.3,15366085536.5,2019-03-11,2019-07-01,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600132_20200812_0004,SH600132,2020-08-12,2021-01-22,2021-01-22,2020-04-14,110,163,1.165106833833657,train,long,main_board,193456442.3,33060072535.38,2020-08-12,2021-02-10,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600153_20220822_0002,SH600153,2022-08-22,2022-11-30,2022-11-30,2022-04-24,66,100,0.5385556915544676,validation,medium,main_board,268577562.7,34514344824.4,2022-08-22,2022-11-30,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600183_20250304_0003,SH600183,2025-03-04,2025-08-26,2025-08-26,2024-11-04,120,175,0.9400778210116733,robustness,long,main_board,1258542501.55,67803452392.3,2025-03-04,2025-09-23,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600188_20210520_0000,SH600188,2021-05-20,2021-09-17,2021-09-17,2021-01-20,85,120,2.192037470725996,train,long,main_board,456856141.45,66370826483.03999,2021-05-20,2021-09-17,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600188_20250904_0004,SH600188,2025-09-04,2026-03-09,2026-03-09,2025-05-07,118,186,0.7036144578313255,robustness,long,main_board,496621165.1,129081999795.84,2025-09-04,2026-03-09,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH600196_20191028_0001,SH600196,2019-10-28,2020-04-23,2020-04-23,2019-06-30,120,178,0.6001753616834722,train,long,main_board,368279087.1,63585512901.45,2019-10-28,2020-08-06,frozen_06_risk_on_episode
