arm_id,event_key,source_row_n,canonical_event_id_n,input_event_key_n,sample_id_n,representative_event_key,collapse_status,duplicate_reason,uniqueness_status
08_R6_event_regime_gated_raw,SH600000_20240506_risk_on_transition_union,1,1,1,1,SH600000_20240506_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600000_20240711_risk_on_transition_union,1,1,1,1,SH600000_20240711_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600000_20240925_risk_on_transition_union,1,1,1,1,SH600000_20240925_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600000_20241210_risk_on_transition_union,1,1,1,1,SH600000_20241210_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600000_20250116_risk_on_transition_union,1,1,1,1,SH600000_20250116_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600000_20250506_risk_on_transition_union,1,1,1,1,SH600000_20250506_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600000_20250604_risk_on_transition_union,1,1,1,1,SH600000_20250604_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600000_20250703_risk_on_transition_union,1,1,1,1,SH600000_20250703_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20180117_risk_on_transition_union,1,1,1,1,SH600004_20180117_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20180222_risk_on_transition_union,1,1,1,1,SH600004_20180222_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20181213_risk_on_transition_union,1,1,1,1,SH600004_20181213_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20190124_risk_on_transition_union,1,1,1,1,SH600004_20190124_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20190327_risk_on_transition_union,1,1,1,1,SH600004_20190327_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20190430_risk_on_transition_union,1,1,1,1,SH600004_20190430_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20190701_risk_on_transition_union,1,1,1,1,SH600004_20190701_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20190819_risk_on_transition_union,1,1,1,1,SH600004_20190819_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20190919_risk_on_transition_union,1,1,1,1,SH600004_20190919_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20200417_risk_on_transition_union,1,1,1,1,SH600004_20200417_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20200528_risk_on_transition_union,1,1,1,1,SH600004_20200528_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20201116_risk_on_transition_union,1,1,1,1,SH600004_20201116_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600004_20210311_risk_on_transition_union,1,1,1,1,SH600004_20210311_risk_on_transition_union,unique,,pass
