frontier_arm_id,split,window_id,episode_id,instrument,episode_split,episode_low_date,episode_high_date,first_50pct_date,board_bucket,duration_bucket,captured_flag,capture_status,event_count_inside_window,event_count_in_episode_window,first_event_key,first_event_t0_date,first_event_primary_family_id,first_event_triggered_family_count,first_event_minus_low_trading_days,first_event_minus_low_calendar_days,first_event_minus_low_sessions,first_event_minus_low_days,last_event_t0_date,events_before_low_n,events_low_to_high_n,events_after_high_n
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600009_20210802_0002,SH600009,train,2021-08-02,2022-01-21,2022-01-21,main_board,long,True,captured,12,12,SH600009_20210603_risk_on_transition_union,2021-06-03,08_R_core_event_regime_gated_raw,,-31.0,-60.0,-31.0,-60.0,2022-01-20,47,10,31
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600010_20250929_0005,SH600010,robustness,2025-09-29,2026-03-02,2026-03-02,main_board,long,True,captured,9,9,SH600010_20250702_risk_on_transition_union,2025-07-02,08_R_core_event_regime_gated_raw,,-63.0,-89.0,-63.0,-89.0,2025-10-15,58,3,0
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600011_20211129_0002,SH600011,train,2021-11-29,2021-12-24,2021-12-24,main_board,fast,True,captured,10,10,SH600011_20210816_risk_on_transition_union,2021-08-16,08_R_core_event_regime_gated_raw,,-68.0,-105.0,-68.0,-105.0,2021-12-15,35,4,48
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600019_20201215_0000,SH600019,train,2020-12-15,2021-03-15,2021-03-15,main_board,medium,True,captured,17,17,SH600019_20200911_risk_on_transition_union,2020-09-11,08_R_core_event_regime_gated_raw,,-61.0,-95.0,-61.0,-95.0,2021-03-15,11,9,63
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600019_20210618_0001,SH600019,train,2021-06-18,2021-09-13,2021-09-13,main_board,medium,True,captured,14,14,SH600019_20210222_risk_on_transition_union,2021-02-22,08_R_core_event_regime_gated_raw,,-79.0,-116.0,-79.0,-116.0,2021-09-09,24,6,53
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600025_20210531_0001,SH600025,train,2021-05-31,2021-10-08,2021-10-08,main_board,long,True,captured,19,19,SH600025_20210205_risk_on_transition_union,2021-02-05,08_R_core_event_regime_gated_raw,,-72.0,-115.0,-72.0,-115.0,2021-09-13,34,9,48
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600026_20210802_0002,SH600026,train,2021-08-02,2021-10-08,2021-10-08,main_board,medium,True,captured,6,6,SH600026_20210702_risk_on_transition_union,2021-07-02,08_R_core_event_regime_gated_raw,,-21.0,-31.0,-21.0,-31.0,2021-09-23,33,4,51
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600027_20211115_0002,SH600027,train,2021-11-15,2021-12-27,2021-12-27,main_board,fast,True,captured,11,11,SH600027_20210727_risk_on_transition_union,2021-07-27,08_R_core_event_regime_gated_raw,,-71.0,-111.0,-71.0,-111.0,2021-12-16,42,3,46
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600028_20250923_0001,SH600028,robustness,2025-09-23,2026-03-04,2026-03-04,main_board,long,True,captured,8,8,SH600028_20250611_risk_on_transition_union,2025-06-11,08_R_core_event_regime_gated_raw,,-74.0,-104.0,-74.0,-104.0,2025-11-26,71,3,0
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600030_20240415_0002,SH600030,robustness,2024-04-15,2024-10-09,2024-10-09,main_board,long,True,captured,3,3,SH600030_20240719_risk_on_transition_union,2024-07-19,08_R_core_event_regime_gated_raw,,65.0,95.0,65.0,95.0,2024-09-24,69,3,11
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600031_20200812_0000,SH600031,train,2020-08-12,2021-01-13,2021-01-13,main_board,long,True,captured,17,17,SH600031_20200717_risk_on_transition_union,2020-07-17,08_R_core_event_regime_gated_raw,,-18.0,-26.0,-18.0,-26.0,2021-01-05,3,14,59
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600048_20210802_0000,SH600048,train,2021-08-02,2022-01-11,2022-01-11,main_board,long,True,captured,15,15,SH600048_20210811_risk_on_transition_union,2021-08-11,08_R_core_event_regime_gated_raw,,7.0,9.0,7.0,9.0,2022-01-10,32,15,30
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600061_20240412_0000,SH600061,robustness,2024-04-12,2024-10-08,2024-10-08,main_board,long,True,captured,2,2,SH600061_20240731_risk_on_transition_union,2024-07-31,08_R_core_event_regime_gated_raw,,74.0,110.0,74.0,110.0,2024-09-24,10,2,9
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600085_20201225_0000,SH600085,train,2020-12-25,2021-05-28,2021-05-28,main_board,long,True,captured,11,11,SH600085_20200828_risk_on_transition_union,2020-08-28,08_R_core_event_regime_gated_raw,,-79.0,-119.0,-79.0,-119.0,2021-05-14,23,9,45
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600085_20210922_0001,SH600085,train,2021-09-22,2022-01-07,2022-01-07,main_board,medium,True,captured,12,12,SH600085_20210531_risk_on_transition_union,2021-05-31,08_R_core_event_regime_gated_raw,,-79.0,-114.0,-79.0,-114.0,2021-12-31,36,8,33
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,SH600085_20230106_0003,SH600085,validation,2023-01-06,2023-05-08,2023-05-08,main_board,medium,True,captured,6,6,SH600085_20230213_risk_on_transition_union,2023-02-13,08_R_core_event_regime_gated_raw,,21.0,38.0,21.0,38.0,2023-05-08,51,6,20
