scope_id,split,event_n,same_instrument_prior_c0_10d_rate,same_instrument_prior_c0_20d_rate,same_instrument_next_c0_20d_rate,overlap_with_other_c0_survival_window_mean,overlap_with_other_c0_survival_window_p95,selected_survival_candidate_label
all_c0,all,28691,0.07249660172179428,0.4026001185040605,0.4026001185040605,5.825450489700603,9.0,survival_U0.10_L0.20_H120
all_c0,train,14560,0.07348901098901099,0.4024725274725275,0.40824175824175823,5.903434065934066,10.0,survival_U0.10_L0.20_H120
all_c0,validation,6860,0.07026239067055394,0.39285714285714285,0.38979591836734695,5.840379008746356,9.0,survival_U0.10_L0.20_H120
all_c0,robustness,7271,0.07261724659606657,0.41204786136707466,0.40338330353458945,5.655205611332692,9.0,survival_U0.10_L0.20_H120
regime_risk_on,all,15113,0.07701978429166942,0.4306226427578906,0.39171574141467613,5.816449414411434,9.0,survival_U0.10_L0.20_H120
regime_risk_on,train,8303,0.08069372515958087,0.4280380585330603,0.4026255570275804,6.024569432735156,10.0,survival_U0.10_L0.20_H120
regime_risk_on,validation,2151,0.07112970711297072,0.4132961413296141,0.3695955369595537,5.734542073454207,9.0,survival_U0.10_L0.20_H120
regime_risk_on,robustness,4659,0.07319167203262503,0.4432281605494741,0.3824855119124276,5.483365529083494,9.0,survival_U0.10_L0.20_H120
regime_transition,all,7435,0.07276395427034298,0.39152656355077337,0.403093476798924,5.83752521856086,9.0,survival_U0.10_L0.20_H120
regime_transition,train,3324,0.06889290012033694,0.38868832731648617,0.44675090252707583,5.746991576413959,10.0,survival_U0.10_L0.20_H120
regime_transition,validation,2726,0.07373440939104915,0.4112252384446075,0.3598679383712399,5.797872340425532,9.0,survival_U0.10_L0.20_H120
regime_transition,robustness,1385,0.08014440433212996,0.3595667870036101,0.38339350180505416,6.132851985559567,9.0,survival_U0.10_L0.20_H120
regime_risk_off,all,6143,0.06104509197460524,0.34706169623962235,0.4287807260296272,5.83298062835748,9.0,survival_U0.10_L0.20_H120
regime_risk_off,train,2933,0.05830207978179339,0.3457211046709853,0.3804977838390726,5.73781111489942,9.0,survival_U0.10_L0.20_H120
regime_risk_off,validation,1983,0.06454866364094806,0.3454362077660111,0.4528492183560262,6.013615733736763,9.0,survival_U0.10_L0.20_H120
regime_risk_off,robustness,1227,0.06193969030154849,0.35289323553382235,0.5052974735126324,5.768541157294213,9.0,survival_U0.10_L0.20_H120
board_main_board,all,22797,0.07211475194104487,0.39557836557441767,0.39557836557441767,5.834539632407773,9.0,survival_U0.10_L0.20_H120
board_main_board,train,11531,0.07215332581736189,0.3932876593530483,0.39953169716416614,5.938860463099471,10.0,survival_U0.10_L0.20_H120
board_main_board,validation,5539,0.07167358729012457,0.39122585304206536,0.3876150929770717,5.8774146957934645,9.0,survival_U0.10_L0.20_H120
board_main_board,robustness,5727,0.07246376811594203,0.4044002095337873,0.3953204120831151,5.58302776322682,9.0,survival_U0.10_L0.20_H120
board_chinext,all,5894,0.07397353240583644,0.42975907702748556,0.42975907702748556,5.790295215473363,10.0,survival_U0.10_L0.20_H120
board_chinext,train,3029,0.07857378672829317,0.4374380983823044,0.44139980191482336,5.7685704853086825,10.0,survival_U0.10_L0.20_H120
board_chinext,validation,1321,0.0643451930355791,0.3996971990915973,0.39894019682059045,5.685087055261166,9.0,survival_U0.10_L0.20_H120
board_chinext,robustness,1544,0.07318652849740932,0.44041450777202074,0.4332901554404145,5.9229274611398965,9.0,survival_U0.10_L0.20_H120
primary_family_B1,all,4570,0.10175054704595186,0.4312910284463895,0.40787746170678335,6.039824945295405,9.0,survival_U0.10_L0.20_H120
primary_family_B1,train,2163,0.10679611650485436,0.44197873324086917,0.4165510864539991,6.11373092926491,10.0,survival_U0.10_L0.20_H120
primary_family_B1,validation,1112,0.09802158273381295,0.3947841726618705,0.4028776978417266,6.053956834532374,9.0,survival_U0.10_L0.20_H120
primary_family_B1,robustness,1295,0.09652509652509653,0.44478764478764476,0.39768339768339767,5.904247104247104,9.0,survival_U0.10_L0.20_H120
primary_family_B2,all,3143,0.026726057906458798,0.18230989500477252,0.4215717467387846,5.7623289850461346,9.0,survival_U0.10_L0.20_H120
primary_family_B2,train,1664,0.03064903846153846,0.16947115384615385,0.4411057692307692,5.945913461538462,9.0,survival_U0.10_L0.20_H120
primary_family_B2,validation,749,0.022696929238985315,0.2136181575433912,0.38317757009345793,5.619492656875835,9.0,survival_U0.10_L0.20_H120
primary_family_B2,robustness,730,0.021917808219178082,0.17945205479452056,0.41643835616438357,5.49041095890411,9.0,survival_U0.10_L0.20_H120
primary_family_B3,all,3508,0.03192702394526796,0.23175598631698974,0.5285062713797035,6.094070695553022,9.0,survival_U0.10_L0.20_H120
primary_family_B3,train,1772,0.0327313769751693,0.2262979683972912,0.5299097065462754,6.074492099322799,9.0,survival_U0.10_L0.20_H120
primary_family_B3,validation,946,0.03276955602536998,0.2536997885835095,0.5,6.075052854122622,9.0,survival_U0.10_L0.20_H120
primary_family_B3,robustness,790,0.02911392405063291,0.21772151898734177,0.5594936708860759,6.160759493670886,9.0,survival_U0.10_L0.20_H120
primary_family_B4,all,369,0.08943089430894309,0.6314363143631436,0.34688346883468835,5.91869918699187,10.0,survival_U0.10_L0.20_H120
primary_family_B4,train,175,0.12571428571428572,0.6285714285714286,0.38857142857142857,6.0285714285714285,10.0,survival_U0.10_L0.20_H120
primary_family_B4,validation,39,0.07692307692307693,0.6923076923076923,0.1794871794871795,5.6923076923076925,9.100000000000001,survival_U0.10_L0.20_H120
primary_family_B4,robustness,155,0.05161290322580645,0.6193548387096774,0.3419354838709677,5.851612903225806,10.0,survival_U0.10_L0.20_H120
primary_family_B5,all,10887,0.047487829521447596,0.3138605676494902,0.4088362266923854,5.604666115550657,9.0,survival_U0.10_L0.20_H120
primary_family_B5,train,5612,0.045438346400570206,0.3219885958660014,0.4137562366357805,5.708125445473985,10.0,survival_U0.10_L0.20_H120
primary_family_B5,validation,2551,0.04821638573108585,0.28851430811446493,0.4053312426499412,5.648373186985496,9.0,survival_U0.10_L0.20_H120
primary_family_B5,robustness,2724,0.05102790014684288,0.3208516886930984,0.40198237885462557,5.350587371512481,9.0,survival_U0.10_L0.20_H120
primary_family_B6,all,2443,0.12157183790421613,0.651657797789603,0.32009823986901353,6.092099877200163,10.0,survival_U0.10_L0.20_H120
primary_family_B6,train,1166,0.12864493996569468,0.6861063464837049,0.31475128644939965,6.253859348198971,10.0,survival_U0.10_L0.20_H120
primary_family_B6,validation,641,0.10452418096723869,0.6209048361934477,0.32761310452418096,6.062402496099844,9.0,survival_U0.10_L0.20_H120
primary_family_B6,robustness,636,0.12578616352201258,0.6194968553459119,0.3223270440251572,5.8254716981132075,9.0,survival_U0.10_L0.20_H120
primary_family_B8,all,3771,0.1516839034738796,0.7828162291169452,0.3041633518960488,5.8239193847785735,9.0,survival_U0.10_L0.20_H120
primary_family_B8,train,2008,0.1508964143426295,0.749003984063745,0.3052788844621514,5.822211155378486,10.0,survival_U0.10_L0.20_H120
primary_family_B8,validation,822,0.16058394160583941,0.8454987834549879,0.2615571776155718,5.912408759124087,9.0,survival_U0.10_L0.20_H120
primary_family_B8,robustness,941,0.14558979808714134,0.8002125398512221,0.3390010626992561,5.7502656748140275,9.0,survival_U0.10_L0.20_H120
