stage,model_id,seed,split,board_bucket,calendar_month,model_budget,random_denominator_n,random_selected_n,sample_weight_sum,random_rate,retention_rank_rule
stage_2,logistic_regression_l2,120600,robustness,chinext,2024-03,0.15789473684210525,20,3,20.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2024-04,0.5882352941176471,35,20,35.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2024-05,0.7222222222222222,19,13,19.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2024-09,0.5483870967741935,34,18,34.0,0.3333333333333333,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2024-10,0.5555555555555556,6,3,6.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2024-11,0.25,5,1,5.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2024-12,0.6666666666666666,6,4,6.0,0.25,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-02,0.64,21,13,21.0,0.07692307692307693,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-03,0.0,2,0,2.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-05,0.42105263157894735,23,9,23.0,0.6666666666666666,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-06,0.6935483870967742,60,41,60.0,0.2682926829268293,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-07,0.3333333333333333,62,20,62.0,0.6,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-08,0.4642857142857143,51,23,51.0,0.2608695652173913,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-09,0.16666666666666666,15,2,15.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-10,0.5,11,5,11.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,chinext,2025-11,0.5,4,2,4.0,0.5,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2024-03,0.3765432098765432,179,67,179.0,0.04477611940298507,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2024-04,0.4069767441860465,252,102,252.0,0.00980392156862745,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2024-05,0.4019607843137255,107,43,107.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2024-09,0.32142857142857145,71,22,71.0,0.045454545454545456,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2024-10,0.3939393939393939,114,44,114.0,0.11363636363636363,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2024-11,0.10101010101010101,126,12,126.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2024-12,0.2857142857142857,133,38,133.0,0.02631578947368421,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2025-02,0.5075757575757576,139,70,139.0,0.04285714285714286,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2025-03,0.26262626262626265,101,26,101.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2025-04,0.16666666666666666,7,1,7.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
