split,horizon_sessions_h2,upper_barrier_pct,lower_barrier_pct,stage_2_evaluable_n,continuation_rate,primary_target_flag
all,20,0.1,-0.08,9481,0.33825545828499104,False
train,20,0.1,-0.08,4827,0.3598508390304537,False
validation,20,0.1,-0.08,1420,0.2605633802816901,False
robustness,20,0.1,-0.08,3234,0.3401360544217687,False
all,20,0.1,-0.1,9481,0.3551313152621032,False
train,20,0.1,-0.1,4827,0.3809819763828465,False
validation,20,0.1,-0.1,1420,0.27253521126760566,False
robustness,20,0.1,-0.1,3234,0.3528138528138528,False
all,20,0.1,-0.12,9481,0.36346376964455224,False
train,20,0.1,-0.12,4827,0.39092604101926665,False
validation,20,0.1,-0.12,1420,0.2774647887323944,False
robustness,20,0.1,-0.12,3234,0.36023500309214596,False
all,20,0.15,-0.08,9481,0.20926062651619026,False
train,20,0.15,-0.08,4827,0.2289206546509219,False
validation,20,0.15,-0.08,1420,0.1415492957746479,False
robustness,20,0.15,-0.08,3234,0.20964749536178107,False
all,20,0.15,-0.1,9481,0.22001898533909925,False
train,20,0.15,-0.1,4827,0.24259374352599958,False
validation,20,0.15,-0.1,1420,0.14788732394366197,False
robustness,20,0.15,-0.1,3234,0.21799628942486085,False
all,20,0.15,-0.12,9481,0.2261364834933024,False
train,20,0.15,-0.12,4827,0.24963745597679718,False
validation,20,0.15,-0.12,1420,0.15211267605633802,False
robustness,20,0.15,-0.12,3234,0.22356215213358072,False
all,20,0.2,-0.08,9481,0.13078789157261891,False
train,20,0.2,-0.08,4827,0.14646778537393826,False
validation,20,0.2,-0.08,1420,0.08169014084507042,False
robustness,20,0.2,-0.08,3234,0.12894248608534323,False
all,20,0.2,-0.1,9481,0.13827655310621242,True
train,20,0.2,-0.1,4827,0.1559975139838409,True
validation,20,0.2,-0.1,1420,0.08661971830985915,True
robustness,20,0.2,-0.1,3234,0.1345083487940631,True
all,20,0.2,-0.12,9481,0.1419681468199557,False
train,20,0.2,-0.12,4827,0.16014087424901596,False
validation,20,0.2,-0.12,1420,0.08873239436619719,False
robustness,20,0.2,-0.12,3234,0.13821892393320964,False
all,20,0.3,-0.08,9481,0.06033118869317582,False
train,20,0.3,-0.08,4827,0.06795110834887093,False
validation,20,0.3,-0.08,1420,0.0323943661971831,False
robustness,20,0.3,-0.08,3234,0.061224489795918366,False
all,20,0.3,-0.1,9481,0.06370636008859824,False
train,20,0.3,-0.1,4827,0.07230163662730474,False
validation,20,0.3,-0.1,1420,0.03450704225352113,False
robustness,20,0.3,-0.1,3234,0.06369820655534941,False
all,20,0.3,-0.12,9481,0.0650775234679886,False
train,20,0.3,-0.12,4827,0.07354464470685726,False
validation,20,0.3,-0.12,1420,0.03450704225352113,False
robustness,20,0.3,-0.12,3234,0.06586270871985157,False
all,40,0.1,-0.08,9481,0.40596983440565343,False
train,40,0.1,-0.08,4827,0.4048062979076031,False
validation,40,0.1,-0.08,1420,0.34225352112676055,False
robustness,40,0.1,-0.08,3234,0.4356833642547928,False
all,40,0.1,-0.1,9481,0.43497521358506486,False
train,40,0.1,-0.1,4827,0.4387818520820385,False
validation,40,0.1,-0.1,1420,0.36901408450704226,False
robustness,40,0.1,-0.1,3234,0.4582560296846011,False
all,40,0.1,-0.12,9481,0.45174559645607004,False
train,40,0.1,-0.12,4827,0.45804847731510256,False
validation,40,0.1,-0.12,1420,0.3823943661971831,False
robustness,40,0.1,-0.12,3234,0.47278911564625853,False
all,40,0.15,-0.08,9481,0.2807720704567029,False
train,40,0.15,-0.08,4827,0.2823700020716801,False
validation,40,0.15,-0.08,1420,0.21901408450704227,False
robustness,40,0.15,-0.08,3234,0.30550401978973407,False
all,40,0.15,-0.1,9481,0.30207783989030695,False
train,40,0.15,-0.1,4827,0.3072301636627305,False
validation,40,0.15,-0.1,1420,0.23591549295774647,False
robustness,40,0.15,-0.1,3234,0.32343846629560913,False
all,40,0.15,-0.12,9481,0.314734732623141,False
train,40,0.15,-0.12,4827,0.32173192459084315,False
validation,40,0.15,-0.12,1420,0.24366197183098592,False
robustness,40,0.15,-0.12,3234,0.3354978354978355,False
all,40,0.2,-0.08,9481,0.19618183735892838,False
train,40,0.2,-0.08,4827,0.19867412471514398,False
validation,40,0.2,-0.08,1420,0.13943661971830987,False
robustness,40,0.2,-0.08,3234,0.21737786023500308,False
all,40,0.2,-0.1,9481,0.21295222022993354,False
train,40,0.2,-0.1,4827,0.21897659001450176,False
validation,40,0.2,-0.1,1420,0.14929577464788732,False
robustness,40,0.2,-0.1,3234,0.23191094619666047,False
all,40,0.2,-0.12,9481,0.22339415673452168,False
train,40,0.2,-0.12,4827,0.23057799875699192,False
validation,40,0.2,-0.12,1420,0.1556338028169014,False
robustness,40,0.2,-0.12,3234,0.24242424242424243,False
all,40,0.3,-0.08,9481,0.10737264001687585,False
train,40,0.3,-0.08,4827,0.11145639113320903,False
validation,40,0.3,-0.08,1420,0.05985915492957746,False
robustness,40,0.3,-0.08,3234,0.12213976499690786,False
all,40,0.3,-0.1,9481,0.11602151671764582,False
train,40,0.3,-0.1,4827,0.12119328775637042,False
validation,40,0.3,-0.1,1420,0.06619718309859154,False
robustness,40,0.3,-0.1,3234,0.13017934446505874,False
all,40,0.3,-0.12,9481,0.1211897479168864,False
train,40,0.3,-0.12,4827,0.126579656101098,False
validation,40,0.3,-0.12,1420,0.07042253521126761,False
robustness,40,0.3,-0.12,3234,0.13543599257884972,False
