stage,split,rank_method_id,history_policy_id,history_window_mode,trailing_history_window_sessions,stage1_gate_source,stage1_budget_X,stage2_budget_X,budget_tuple_role,selected_n,selected_positive_n,selected_budget_total,selected_budget_rank_evaluable,selected_rate,base_rate,delta_vs_base,lookahead_rank_upper_bar,not_allowed_for_decision,diagnostic_only_flag
stage_1,all,same_month_full_cohort_rank,same_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,7562,1939,0.5003639250975981,0.5003639250975981,0.25641364718328485,0.3726592999404486,-0.11624565275716375,True,True,True
stage_1,train,same_month_full_cohort_rank,same_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,4154,1261,0.5003010959894014,0.5003010959894014,0.303562831006259,0.418643863663736,-0.11508103265747699,True,True,True
stage_1,validation,same_month_full_cohort_rank,same_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,1078,243,0.5011622501162251,0.5011622501162251,0.22541743970315398,0.3398419339841934,-0.1144244942810394,True,True,True
stage_1,robustness,same_month_full_cohort_rank,same_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,2330,435,0.5001073191672033,0.5001073191672033,0.18669527896995708,0.30585962652929816,-0.11916434755934108,True,True,True
stage_1,all,board_month_full_cohort_rank,board_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,7548,2036,0.49943757030371205,0.49943757030371205,0.269740328563858,0.3726592999404486,-0.10291897137659062,True,True,True
stage_1,train,board_month_full_cohort_rank,board_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,4149,1288,0.4996989040105986,0.4996989040105986,0.3104362496987226,0.418643863663736,-0.10820761396501344,True,True,True
stage_1,validation,board_month_full_cohort_rank,board_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,1075,264,0.499767549976755,0.499767549976755,0.24558139534883722,0.3398419339841934,-0.09426053863535616,True,True,True
stage_1,robustness,board_month_full_cohort_rank,board_month_full_cohort_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,2324,484,0.49881948916076413,0.49881948916076413,0.2082616179001721,0.30585962652929816,-0.09759800862912604,True,True,True
stage_1,all,whole_split_rank,whole_split_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,7558,1680,0.5000992522993449,0.5000992522993449,0.22228102672664726,0.3726592999404486,-0.15037827321380134,True,True,True
stage_1,train,whole_split_rank,whole_split_rank,lookahead_full_cohort,,lookahead_diagnostic,0.5,,diagnostic_upper_bar,4152,1045,0.5000602191978802,0.5000602191978802,0.2516859344894027,0.418643863663736,-0.16695792917433333,True,True,True
