stage1_X,split,stage1_entry_n,stage1_anchor_role,stage1_rank_evaluable_n,stage1_selected_n,stage1_selected_budget_total,stage1_selected_budget_rank_evaluable,stage1_budget_abs_delta_rank_evaluable_vs_X,stage1_rank_not_evaluable_rate,stage1_fast_fail_positive_n,stage1_fast_fail_rate,stage1_base_fast_fail_rate,stage1_delta_vs_base_fast_fail,stage1_random_p05,stage1_random_p50,stage1_random_p95,stage1_delta_vs_random_p50,stage1_delta_vs_random_p50_ci95_low,stage1_delta_vs_random_p50_ci95_high,stage1_random_valid_seed_n,stage1_random_support_status
0.2,all,15113,frontier_candidate,14825,3064,0.2027393634619202,0.2066779089376054,0.006677908937605392,0.019056441474227487,497,0.16220626631853785,0.3726592999404486,-0.21045303362191076,0.2718505221932115,0.2868798955613577,0.2990372062663185,-0.12467362924281983,-0.13683093994778067,-0.10964425587467364,100,pass
0.2,train,8303,frontier_candidate,8050,1346,0.16211008069372515,0.1672049689440994,0.03279503105590062,0.030470914127423823,259,0.1924219910846954,0.418643863663736,-0.2262218725790406,0.31047548291233285,0.33469539375928675,0.35438335809806837,-0.14227340267459135,-0.16196136701337296,-0.11805349182763744,100,pass
0.2,validation,2151,frontier_candidate,2133,674,0.31334263133426316,0.31598687294889827,0.11598687294889826,0.008368200836820083,108,0.16023738872403562,0.3398419339841934,-0.17960454526015776,0.27002967359050445,0.29080118694362017,0.3176557863501484,-0.13056379821958455,-0.1574183976261128,-0.10979228486646883,100,pass
0.2,robustness,4659,frontier_candidate,4642,1044,0.2240824211204121,0.22490305902628177,0.02490305902628176,0.003648851684910925,130,0.12452107279693486,0.30585962652929816,-0.1813385537323633,0.20397509578544062,0.22126436781609196,0.23778735632183906,-0.0967432950191571,-0.1132662835249042,-0.07945402298850576,100,pass
0.3,all,15113,x030_reference,14825,4456,0.2948454972540197,0.3005733558178752,0.0005733558178752096,0.019056441474227487,840,0.18850987432675045,0.3726592999404486,-0.18414942561369815,0.2778164272890485,0.28882405745062834,0.29762118491921,-0.10031418312387788,-0.10911131059245957,-0.08930655296229803,100,pass
0.3,train,8303,x030_reference,8050,2023,0.24364687462363002,0.25130434782608696,0.04869565217391303,0.030470914127423823,441,0.2179930795847751,0.418643863663736,-0.20065078407896092,0.31631240731586757,0.33440434997528423,0.35254572417202173,-0.11641127039050914,-0.13455264458724664,-0.09831932773109248,100,pass
0.3,validation,2151,x030_reference,2133,957,0.44490934449093444,0.44866385372714485,0.14866385372714486,0.008368200836820083,188,0.19644723092998956,0.3398419339841934,-0.14339470305420382,0.2715778474399164,0.28787878787878785,0.3113897596656217,-0.09143155694879829,-0.11494252873563215,-0.07513061650992686,100,pass
0.3,robustness,4659,x030_reference,4642,1476,0.3168061815840309,0.3179663937957777,0.01796639379577769,0.003648851684910925,211,0.1429539295392954,0.30585962652929816,-0.16290569699000276,0.21124661246612467,0.22493224932249323,0.23983739837398374,-0.08197831978319783,-0.09688346883468835,-0.06829268292682927,100,pass
0.4,all,15113,frontier_candidate,14825,5907,0.39085555482035333,0.3984485666104553,0.0015514333895447208,0.019056441474227487,1267,0.21449128153038768,0.3726592999404486,-0.15816801841006092,0.28422210936177417,0.29380396140172677,0.3015066869815473,-0.07931267987133908,-0.08701540545115963,-0.06973082783138648,100,pass
0.4,train,8303,frontier_candidate,8050,2774,0.3340961098398169,0.3445962732919255,0.05540372670807453,0.030470914127423823,677,0.24405191059841383,0.418643863663736,-0.1745919530653222,0.32577505407354,0.33958183129055514,0.3532984859408796,-0.0955299206921413,-0.10924657534246576,-0.08172314347512619,100,pass
