label_family,readout_view,winner_barrier,split,c0_entry_n,c0_survivor_n,c0_denominator_n,c0_winner_positive_n,c0_winner_rate,control_entry_n,control_survivor_n,control_denominator_n,control_winner_positive_n,control_winner_rate,winner_rate_diff,winner_rate_ratio,matched_c0_entry_coverage,fast_fail_rate_c0,fast_fail_rate_control,fast_fail_rate_diff,winner_label_reproduction_status,winner_label_reconciliation_status,winner_rate_diff_ci95_low,winner_rate_diff_ci95_high,bootstrap_replicate_valid_n,barrier_enrichment_status
direct_entry,unconditional,direct_entry_win_up_10_h20,all,15113,9481,15113,5777,0.38225368887712563,15113,10102,15113,5355,0.3543307086614173,0.02792298021570833,1.0788048552754435,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.010734492280842736,0.04635200292724153,2000,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_10_h20,train,8303,4827,8303,3480,0.41912561724677827,8303,5133,8303,3289,0.3961218836565097,0.02300373359026858,1.0580723624201884,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,-0.00015668448059960577,0.046461362944641545,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_10_h20,validation,2151,1420,2151,594,0.27615062761506276,2151,1459,2151,514,0.2389586238958624,0.037192003719200374,1.1556420233463034,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,-0.013178129483500715,0.09861578620064088,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_10_h20,robustness,4659,3234,4659,1703,0.36552908349431207,4659,3510,4659,1552,0.3331186949989268,0.03241038849538528,1.0972938144329896,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,-4.930704991325814e-18,0.0628241303146101,2000,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,all,15113,9481,9481,5086,0.5364413036599515,15113,10102,10102,4818,0.47693526034448624,0.058199518610928265,1.124767548686764,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.033643802228648816,0.08535524355564879,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,train,8303,4827,4827,3001,0.6217112077895173,8303,5133,5133,2915,0.5678940190921489,0.050115130362539194,1.0947662537164982,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,0.01754062262525866,0.08819408192776602,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,validation,2151,1420,1420,543,0.3823943661971831,2151,1459,1459,471,0.32282385195339275,0.06343371182699045,1.1845294698125055,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,-0.005512222351622316,0.15829092903734732,2000,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,robustness,4659,3234,3234,1542,0.47680890538033394,4659,3510,3510,1432,0.407977207977208,0.06796946972452805,1.1687145655621314,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,0.026462870985717563,0.110878427682533,2000,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,all,15113,9481,15113,3696,0.2445576655859194,15113,10102,15113,3387,0.22411169192086283,0.020445973665056575,1.091231178033658,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.0041731760602836294,0.03572999971564761,2000,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,train,8303,4827,8303,2292,0.27604480308322293,8303,5133,8303,2198,0.2647235938817295,0.011321209201493439,1.042766151046406,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,-0.010857320351064879,0.03489025332959385,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,validation,2151,1420,2151,325,0.1510925151092515,2151,1459,2151,258,0.1199442119944212,0.03114830311483031,1.2596899224806202,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,0.0024607476286242196,0.05852773464391932,2000,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,robustness,4659,3234,4659,1079,0.23159476282464048,4659,3510,4659,931,0.1998282893324748,0.0317664734921657,1.158968850698174,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,0.0066253338508725015,0.056028379277494655,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,all,15113,9481,9481,3432,0.3619871321590549,15113,10102,10102,3191,0.3158780439516927,0.0447222739274279,1.145971171755178,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.02318801841113314,0.06711504018489695,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,train,8303,4827,4827,2111,0.4373316759892273,8303,5133,5133,2060,0.4013247613481395,0.03260072687744567,1.0897201421615066,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,-0.0012992746916938348,0.06954567681930669,2000,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,validation,2151,1420,1420,312,0.21971830985915494,2151,1459,1459,249,0.1706648389307745,0.05226097440259217,1.2874257593755305,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,0.011476989279149197,0.10077944906646401,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,robustness,4659,3234,3234,1009,0.31199752628324057,4659,3510,3510,882,0.2512820512820513,0.05950684153287195,1.2416228086782022,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,0.0257276027849493,0.09007667061940758,2000,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,all,15113,9481,15113,2494,0.16502348971084496,15113,10102,15113,2195,0.1452391980414213,0.019784291669423675,1.1362186788154898,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.007979264125227481,0.030970448439394213,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,train,8303,4827,8303,1601,0.19282187161267011,8303,5133,8303,1466,0.17656268818499338,0.016259183427676748,1.092087312414734,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,0.0005362265642647386,0.032967753583043574,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,validation,2151,1420,2151,170,0.07903300790330078,2151,1459,2151,153,0.07112970711297072,0.00790330079033008,1.111111111111111,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,-0.013756135134166875,0.029045283013141965,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,robustness,4659,3234,4659,723,0.15518351577591757,4659,3510,4659,576,0.12363168061815841,0.031551835157759174,1.2552083333333333,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,0.010894672807324486,0.05223655317866212,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,all,15113,9481,9481,2376,0.25060647611011494,15113,10102,10102,2113,0.20916650168283507,0.04070914204871009,1.1981195559225657,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.024764554531240896,0.05789274545388662,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,train,8303,4827,4827,1515,0.31385954008701056,8303,5133,5133,1414,0.27547243327488796,0.03582845194903441,1.1393500843469768,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,0.011387602061293427,0.0633397923006209,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,validation,2151,1420,1420,167,0.1176056338028169,2151,1459,1459,146,0.10006854009595613,0.020894693688755663,1.1752508199884237,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,-0.009856351064882,0.05580007565884591,2000,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,robustness,4659,3234,3234,694,0.21459492888064316,4659,3510,3510,553,0.15754985754985754,0.05668805155208358,1.3620763117017316,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,0.030361187956149727,0.08300685818719432,2000,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,all,15113,9481,15113,3690,0.24416065638853968,15113,10102,15113,3445,0.22794944749553364,0.01621120889300602,1.0711175616835995,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.0028413688420972174,0.030521317121436773,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,train,8303,4827,8303,2266,0.27291340479344817,8303,5133,8303,2203,0.26532578586053235,0.0075876189329158105,1.0285973672265094,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,-0.009940256498295013,0.025953936182406562,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,validation,2151,1420,2151,311,0.14458391445839144,2151,1459,2151,267,0.12412831241283125,0.020455602045560198,1.1647940074906367,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,-0.007881197478991596,0.04970430362107567,2000,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,robustness,4659,3234,4659,1113,0.23889246619446233,4659,3510,4659,975,0.20927237604636187,0.02962009014810045,1.1415384615384616,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,-5.455144979959513e-20,0.05972652592120573,2000,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,all,15113,9481,9481,3572,0.37675350701402804,15113,10102,10102,3363,0.33290437537121365,0.04311234315807218,1.1317168979648264,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,not_applicable,0.02296049185681717,0.06412956981253524,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,train,8303,4827,4827,2180,0.4516262689040812,8303,5133,5133,2151,0.4190531852717709,0.029619631161945312,1.0777301898115523,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,not_applicable,0.001919007815269096,0.05965138672954503,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,validation,2151,1420,1420,308,0.21690140845070421,2151,1459,1459,260,0.1782042494859493,0.04342402213407477,1.21715059588299,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,not_applicable,0.004754260003334195,0.09058539358562277,2000,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,robustness,4659,3234,3234,1084,0.33518862090290663,4659,3510,3510,952,0.2712250712250712,0.06311452260716206,1.2358319951357166,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,not_applicable,0.028737826015391633,0.09835958788389121,2000,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,all,15113,9481,9481,3367,0.3551313152621032,15113,10102,10102,3209,0.3176598693328054,0.03646158480485424,1.117960905820432,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,pass,0.017230641867525875,0.055603283907849334,2000,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,train,8303,4827,4827,1839,0.3809819763828465,8303,5133,5133,1836,0.35768556399766216,0.022027951800084298,1.0651309829919124,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,pass,-0.004515112240534608,0.04844030477311904,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,validation,2151,1420,1420,387,0.27253521126760566,2151,1459,1459,325,0.2227553118574366,0.05319821810080087,1.2234734561213436,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,pass,0.004180084952387162,0.10690271943089728,2000,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,robustness,4659,3234,3234,1141,0.3528138528138528,4659,3510,3510,1048,0.2985754985754986,0.05066129533889142,1.1816570833746405,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,pass,0.014066758368865772,0.0847166236902802,2000,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,all,15113,9481,9481,2086,0.22001898533909925,15113,10102,10102,1967,0.19471391803603247,0.025386457765877984,1.1299602388894665,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,pass,0.00879993375512794,0.0420819801138406,2000,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,train,8303,4827,4827,1171,0.24259374352599958,8303,5133,5133,1157,0.22540424702902787,0.016755801697282274,1.076260748071699,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,pass,-0.0027323377875893176,0.03735635935638794,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,validation,2151,1420,1420,210,0.14788732394366197,2151,1459,1459,176,0.12063056888279644,0.03085580638357165,1.225952304737516,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,pass,-0.010374283273496897,0.07594916165509781,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,robustness,4659,3234,3234,705,0.21799628942486085,4659,3510,3510,634,0.18062678062678061,0.035868576242873706,1.2068879745761225,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,pass,0.005821956106708052,0.0661983073927849,2000,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,all,15113,9481,9481,1311,0.13827655310621242,15113,10102,10102,1237,0.1224509998020194,0.015892180298724166,1.1292398864017446,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,pass,0.002639361927368678,0.029851936915377516,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,train,8303,4827,4827,753,0.1559975139838409,8303,5133,5133,755,0.14708747321254628,0.008892887954646546,1.0605764758662983,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,pass,-0.00998607610020845,0.028043566292613675,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,validation,2151,1420,1420,123,0.08661971830985915,2151,1459,1459,98,0.06716929403701165,0.021498770350180916,1.289573153204944,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,pass,-0.010810520233178049,0.05949400234198917,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,robustness,4659,3234,3234,435,0.1345083487940631,4659,3510,3510,384,0.1094017094017094,0.02387914160418042,1.229490375695733,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,pass,0.0002953953535816869,0.0475002974442655,2000,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,all,15113,9481,9481,2019,0.21295222022993354,15113,10102,10102,2014,0.1993664620867155,0.013486586367477701,1.0681446518186637,1.0,0.3726592999404486,0.3315688480116456,0.04109045192880301,pass,pass,-0.003960434012112507,0.030654031391913528,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,train,8303,4827,4827,1057,0.21897659001450176,8303,5133,5133,1088,0.21196181570231834,0.007486535844107033,1.033094518882755,1.0,0.418643863663736,0.381789714561002,0.03685414910273399,pass,pass,-0.014610159990728223,0.029186811886919486,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,validation,2151,1420,1420,212,0.14929577464788732,2151,1459,1459,223,0.15284441398217957,-0.0009013737182753534,0.9767826691088234,1.0,0.3398419339841934,0.3217108321710832,0.018131101813110173,pass,pass,-0.03955305469130211,0.04761810179376903,2000,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,robustness,4659,3234,3234,750,0.23191094619666047,4659,3510,3510,703,0.20028490028490029,0.02875521940334468,1.157905293243639,1.0,0.30585962652929816,0.24661944623309723,0.05924018029620093,pass,pass,-0.0009242980835114713,0.058124265765034565,2000,uncertain_for_barrier
