label_id,label_type,vol_reference_id,horizon_sessions,train_denominator_n,train_horizon_complete_n,train_horizon_complete_rate,train_winner_positive_n,train_winner_base_rate,train_same_bar_conflict_rate,label_base_rate_dispersion,label_stability_score,label_eligibility_status
vol20d_kup1p0_kdn0p75_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,78565,0.3377106258596974,0.00018483493810178816,0.1431275895090203,0.6689769496931804,ineligible
vol20d_kup1p0_kdn1p0_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,83282,0.35798658872077027,0.00012465612104539203,0.15016661112174776,0.6417221440364366,ineligible
vol20d_kup1p0_kdn1p25_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,85306,0.36668672627235216,8.59697386519945e-05,0.15265556854910606,0.6305717354398896,ineligible
vol20d_kup1p5_kdn0p75_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,50271,0.21608923658872076,3.0089408528198073e-05,0.12455069672516307,0.8093299772775879,ineligible
vol20d_kup1p5_kdn1p0_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,53095,0.2282281636863824,1.2895460797799175e-05,0.1286456364488302,0.7931133044039896,ineligible
vol20d_kup1p5_kdn1p25_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,54347,0.23360986932599725,1.2895460797799175e-05,0.13076901808885236,0.7856082171243527,ineligible
vol20d_kup2p0_kdn0p75_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,32904,0.14143741403026136,0.0,0.09470082916110344,0.896736584869158,eligible
vol20d_kup2p0_kdn1p0_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,34621,0.14881791609353506,0.0,0.0985175393498226,0.9003003767437125,eligible
vol20d_kup2p0_kdn1p25_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,35387,0.15211055708390647,0.0,0.10058830884034675,0.8973011340757467,ineligible
vol20d_kup2p5_kdn0p75_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,22400,0.09628610729023383,0.0,0.07083045104341579,0.8754556562468181,eligible
vol20d_kup2p5_kdn1p0_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,23515,0.10107892022008252,0.0,0.07399410197346812,0.8770848182466144,eligible
vol20d_kup2p5_kdn1p25_H20,vol_scaled,volatility_20d,20,232640,232640,1.0,24022,0.10325825309491059,0.0,0.07546067647338528,0.8777975766215254,eligible
vol60d_kup1p0_kdn0p75_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,77691,0.3339537482806052,0.00012895460797799173,0.1498584423036171,0.6660588548077997,ineligible
vol60d_kup1p0_kdn1p0_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,81582,0.35067916093535073,0.0001031636863823934,0.15772528658446996,0.6414923887937969,ineligible
vol60d_kup1p0_kdn1p25_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,83107,0.3572343535075653,7.737276478679505e-05,0.16000392890721912,0.6326843448204287,ineligible
vol60d_kup1p5_kdn0p75_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,48321,0.20770718707015132,3.43878954607978e-05,0.12563815133040995,0.8166202737039778,ineligible
vol60d_kup1p5_kdn1p0_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,50515,0.2171380674002751,3.0089408528198073e-05,0.1319125302859283,0.8009193129052683,ineligible
vol60d_kup1p5_kdn1p25_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,51407,0.22097231774415405,2.579092159559835e-05,0.13432126387998544,0.7946806274542649,ineligible
vol60d_kup2p0_kdn0p75_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,31232,0.1342503438789546,0.0,0.0954559237588039,0.8887944201201506,eligible
vol60d_kup2p0_kdn1p0_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,32471,0.13957616918844568,0.0,0.09976352281842225,0.8898126463700234,eligible
vol60d_kup2p0_kdn1p25_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,32976,0.14174690508940851,0.0,0.10111967771948692,0.8906272273699216,ineligible
vol60d_kup2p5_kdn0p75_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,20684,0.08890990371389271,0.0,0.06823991084147646,0.8706699928724163,eligible
vol60d_kup2p5_kdn1p0_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,21399,0.09198332187070152,0.0,0.07090603849833618,0.8710772833723653,eligible
vol60d_kup2p5_kdn1p25_H20,vol_scaled,volatility_60d,20,232640,232640,1.0,21728,0.09339752407152682,0.0,0.07221841807417421,0.8711791059973526,eligible
fixed_U15_L10_H20,fixed_anchor,,20,232640,232640,1.0,55913,0.24034129986244843,0.0,0.17222196374596332,0.7374367363915882,ineligible
fixed_U20_L10_H20,fixed_anchor,,20,232640,232640,1.0,37039,0.15921165749656122,0.0,0.12611930437569777,0.8646690381277411,ineligible
vol20d_kup1p0_kdn0p75_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,79107,0.34004040577716643,2.1492434662998625e-05,0.2076709932937126,0.602267108494458,ineligible
vol20d_kup1p0_kdn1p0_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,83946,0.3608407840440165,1.71939477303989e-05,0.21034694431282822,0.5787950776954249,ineligible
