lineage_check_id,observed_value,expected_value,lineage_status,artifact_path,sha256
input_gate_status,pass,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99
upstream_lineage_gate_status,pass,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99
native_universe_gate_status,pass,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99
label_portability_gate_status,pass,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99
selected_token_id,volatility_20d__bottom_20pct,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99
selected_token_family_id,volatility_range,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99
sequence_mining_authorized,False,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99
dictionary_primitive_id,volatility_20d,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_dictionary.csv,b323a3fd0fcba8e5fecaaacfd0a256494ff5f91750888c9e4c187137764bb3ae
dictionary_threshold_rule,bottom_20pct,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_dictionary.csv,b323a3fd0fcba8e5fecaaacfd0a256494ff5f91750888c9e4c187137764bb3ae
dictionary_threshold_split,train,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_dictionary.csv,b323a3fd0fcba8e5fecaaacfd0a256494ff5f91750888c9e4c187137764bb3ae
dictionary_available_at,reference_date_close,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_dictionary.csv,b323a3fd0fcba8e5fecaaacfd0a256494ff5f91750888c9e4c187137764bb3ae
dictionary_future_data_used,False,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_dictionary.csv,b323a3fd0fcba8e5fecaaacfd0a256494ff5f91750888c9e4c187137764bb3ae
dictionary_comparator,le,contract,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_dictionary.csv,b323a3fd0fcba8e5fecaaacfd0a256494ff5f91750888c9e4c187137764bb3ae
cost_buffer_return,0.01,same_value_for_base_and_treated,pass,upstream_13a_badside_cost_buffer_return,
