field_name,field_type,compared_row_n,mismatch_n,mismatch_rate,tolerance_abs,mismatch_status,cache_used,selected_label_id
upper_first,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
lower_first,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
neutral,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
censored,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
same_bar_conflict,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
horizon_complete,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
upper_touch_anytime,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
lower_touch_anytime,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
winner_positive,boolean,431239,0,0.0,0.0,pass,True,vol20d_kup2p0_kdn1p0_H20
upper_barrier,float,431239,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
lower_barrier,float,431239,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
time_to_upper,float,431239,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
time_to_lower,float,431239,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
max_high_return,float,431239,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
min_low_return,float,431239,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
horizon_close_return,float,431239,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
__overall__,overall,6899824,0,0.0,1e-10,pass,True,vol20d_kup2p0_kdn1p0_H20
