raw_event_arm_id,cohort_arm_id,stress_dimension,stress_bucket,split_bucket,event_n,finite_rank_n,rank_ic_winner,rank_ic_fast_fail,rank_ic_lower_first,rank_ic_utility_50bps,top_bottom_winner_delta,top_bottom_fast_fail_delta,top_bottom_lower_first_delta,top_bottom_utility_delta_50bps,stress_bucket_status,readout_role
F4_board_relative_strength_rank_jump__ret60_jump3,C3,market_regime_bucket,risk_on,validation,553,553,-0.11222463440994314,-0.0408670610877597,-0.0408670610877597,-0.0153968004316415,-0.12229102167182664,-0.07043343653250775,-0.07043343653250775,-0.00449751625938764,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,board_bucket,chinext,validation,109,109,-0.15191800239692965,-0.015908776857869192,-0.015908776857869192,0.03612749572597268,-0.10714285714285714,-0.07142857142857145,-0.07142857142857145,-0.019236541545522005,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,board_bucket,main_board,validation,444,444,-0.10414414547259422,-0.05102077696678236,-0.05102077696678236,-0.020186905675946214,-0.12634408602150538,-0.06810035842293907,-0.06810035842293907,-0.0013579076740195452,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,volatility_bucket,high,validation,315,315,-0.021107722276521492,-0.09685944273990087,-0.09685944273990087,0.050646142553920644,-0.02251082251082251,-0.1108225108225108,-0.1108225108225108,0.008008977270035633,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,volatility_bucket,low,validation,101,101,-0.17640400224013278,0.06144475979979073,0.06144475979979073,-0.11491688896398672,-0.2745098039215686,-0.047058823529411764,-0.047058823529411764,-0.009784876341113356,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,volatility_bucket,mid,validation,137,137,-0.12739533447326315,0.04506306127123285,0.04506306127123285,-0.011067966602537149,-0.16666666666666669,0.11666666666666664,0.11666666666666664,-0.015248687091528957,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,liquidity_bucket,high,validation,223,223,-0.11925284554841555,-0.15562027532974468,-0.15562027532974468,0.016235207611655315,-0.06904761904761904,-0.24523809523809526,-0.24523809523809526,0.008725835507743352,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,liquidity_bucket,low,validation,158,158,-0.1263982814248409,-0.04780463104861867,-0.04780463104861867,-0.020545913407878078,-0.1610644257703081,-0.12745098039215685,-0.12745098039215685,-0.02486253894310087,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,liquidity_bucket,mid,validation,172,172,-0.07593394702481003,0.11862193142323281,0.11862193142323281,-0.015312938879400537,-0.13405797101449274,0.18206521739130435,0.18206521739130435,0.008062041387916023,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,calendar_year,2022,validation,267,267,-0.12243096071340923,-0.040551920559640416,-0.040551920559640416,-0.047156259390506466,-0.07701149425287357,-0.09425287356321838,-0.09425287356321838,0.0031423757919524994,pass,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C3,calendar_year,2023,validation,286,286,-0.1052769556993651,-0.011374713153950946,-0.011374713153950946,-0.001357952685952548,-0.14898785425101213,-0.023481781376518185,-0.023481781376518185,-0.00957570348183379,pass,diagnostic_secondary_not_for_selection
