instrument,anchor_row_n,qfq_row_n,missing_qfq_file_flag,missing_reference_pos_n,missing_entry_pos_n,missing_entry_price_n,min_available_forward_sessions,median_available_forward_sessions,max_available_forward_sessions,price_path_status,blocking_reason
SH600000,277,2281,False,0,0,0,125.0,296.0,613.0,pass,
SH600004,549,2281,False,0,0,0,675.0,1343.0,2030.0,pass,
SH600007,7,2281,False,0,0,0,399.0,1214.0,1218.0,pass,
SH600008,246,2265,False,0,0,0,1115.0,1514.5,2024.0,pass,
SH600009,804,2270,False,0,0,0,125.0,1143.5,2019.0,pass,
SH600010,866,2272,False,0,0,0,125.0,1097.5,2021.0,pass,
SH600011,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600012,28,2271,False,0,0,0,222.0,236.5,401.0,pass,
SH600015,752,2281,False,0,0,0,125.0,942.5,2030.0,pass,
SH600016,704,2281,False,0,0,0,125.0,1022.5,2030.0,pass,
SH600018,856,2278,False,0,0,0,125.0,1114.5,2030.0,pass,
SH600019,789,2262,False,0,0,0,125.0,945.0,1628.0,pass,
SH600020,3,2281,False,0,0,0,1736.0,1739.0,1740.0,pass,
SH600021,321,2275,False,0,0,0,125.0,854.0,1771.0,pass,
SH600022,146,2184,False,0,0,0,1129.0,1695.0,1933.0,pass,
SH600023,760,2281,False,0,0,0,125.0,947.0,2027.0,pass,
SH600025,835,2048,False,0,0,0,125.0,1112.0,1953.0,pass,
SH600026,858,2276,False,0,0,0,125.0,1099.5,2028.0,pass,
SH600027,865,2270,False,0,0,0,125.0,1087.0,2018.0,pass,
SH600028,796,2281,False,0,0,0,125.0,1087.5,2030.0,pass,
SH600029,218,2278,False,0,0,0,125.0,234.5,401.0,pass,
SH600030,869,2264,False,0,0,0,125.0,1093.0,2013.0,pass,
SH600031,648,2281,False,0,0,0,125.0,794.5,1420.0,pass,
SH600032,97,1215,False,0,0,0,680.0,1067.0,1146.0,pass,
SH600036,866,2281,False,0,0,0,125.0,1113.5,2030.0,pass,
SH600037,113,2275,False,0,0,0,1390.0,1731.0,2024.0,pass,
SH600038,743,2271,False,0,0,0,187.0,1188.0,2020.0,pass,
SH600039,396,2269,False,0,0,0,125.0,377.5,948.0,pass,
SH600048,864,2281,False,0,0,0,125.0,1114.5,2030.0,pass,
SH600050,766,2186,False,0,0,0,135.0,1136.5,1753.0,pass,
SH600056,111,2281,False,0,0,0,832.0,1736.0,2030.0,pass,
SH600060,206,2280,False,0,0,0,198.0,517.5,2030.0,pass,
SH600061,301,2281,False,0,0,0,125.0,308.0,762.0,pass,
SH600062,44,2281,False,0,0,0,929.0,1769.5,2030.0,pass,
SH600064,9,2280,False,0,0,0,1739.0,1743.0,1747.0,pass,
SH600066,724,2280,False,0,0,0,125.0,1206.5,2029.0,pass,
SH600085,849,2281,False,0,0,0,125.0,1133.0,2030.0,pass,
SH600089,858,2275,False,0,0,0,125.0,1112.5,2030.0,pass,
SH600095,374,2261,False,0,0,0,130.0,1154.5,1436.0,pass,
SH600096,501,2279,False,0,0,0,125.0,521.0,1202.0,pass,
SH600098,42,2281,False,0,0,0,1061.0,1732.5,1753.0,pass,
SH600100,282,2175,False,0,0,0,303.0,1543.5,2030.0,pass,
SH600104,864,2281,False,0,0,0,125.0,1114.5,2030.0,pass,
SH600110,52,2265,False,0,0,0,1066.0,1104.5,1149.0,pass,
SH600111,866,2281,False,0,0,0,125.0,1097.5,2030.0,pass,
SH600116,1,2269,False,0,0,0,1423.0,1423.0,1423.0,pass,
SH600118,853,2281,False,0,0,0,125.0,1130.0,2030.0,pass,
