split_bucket,path_type,episode_cluster_n,winner_anchor_n
robustness,stair_step_winner,254,45352
robustness,unclassified_mixed_path,263,36639
train,smooth_trend_winner,163,7977
train,stair_step_winner,467,85271
train,unclassified_mixed_path,488,69315
validation,slow_grind_winner,41,11870
train,slow_grind_winner,81,21609
train,late_rescue_winner,667,75186
validation,stair_step_winner,49,14168
validation,late_rescue_winner,92,23454
validation,unclassified_mixed_path,82,15807
train,jump_repricing_winner,56,2572
train,unclassified_short_path,10,45
robustness,smooth_trend_winner,48,2753
validation,smooth_trend_winner,21,688
robustness,choppy_reversal_winner,3,89
robustness,jump_repricing_winner,41,2266
train,choppy_reversal_winner,15,1127
validation,jump_repricing_winner,12,920
validation,choppy_reversal_winner,2,9
validation,unclassified_short_path,1,2
robustness,unclassified_short_path,11,12
