threshold_id,episode_cluster_id,cluster_anchor_n,earliest_anchor_row_id,shortest_duration_anchor_row_id,medoid_anchor_row_id,earliest_source_row_key,shortest_source_row_key,medoid_source_row_key,medoid_distance,representative_taxonomy_disagreement,earliest_anchor_path_type,shortest_duration_anchor_path_type,medoid_anchor_path_type,cluster_distinct_path_type_n,cluster_internal_path_type_entropy,cluster_dominant_path_type,cluster_dominant_path_type_share
up100pct,up100pct::SH600000::000000,43,833000,887500,884500,SH600000|2023-11-14|833000|up100pct,SH600000|2024-04-26|887500|up100pct,SH600000|2024-04-18|884500|up100pct,0.07608071221746093,True,slow_grind_winner,smooth_trend_winner,slow_grind_winner,2,0.9522656254366643,slow_grind_winner,0.627906976744186
up50pct,up50pct::SH600000::000000,90,833000,888000,963000,SH600000|2023-11-14|833000|up50pct,SH600000|2024-04-29|888000|up50pct,SH600000|2024-12-10|963000|up50pct,0.0533065956890803,True,slow_grind_winner,stair_step_winner,slow_grind_winner,3,0.9856276319290487,slow_grind_winner,0.4111111111111111
up100pct,up100pct::SH600004::000000,1,254000,254000,254000,SH600004|2019-02-01|254000|up100pct,SH600004|2019-02-01|254000|up100pct,SH600004|2019-02-01|254000|up100pct,0.0,False,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,1,-0.0,smooth_trend_winner,1.0
up50pct,up50pct::SH600004::000000,69,124500,261000,274000,SH600004|2018-01-10|124500|up50pct,SH600004|2019-02-28|261000|up50pct,SH600004|2019-04-08|274000|up50pct,0.06348634511864941,True,unclassified_mixed_path,smooth_trend_winner,smooth_trend_winner,4,0.79966092391414,smooth_trend_winner,0.4927536231884058
up50pct,up50pct::SH600004::000001,34,497000,595500,546000,SH600004|2021-02-02|497000|up50pct,SH600004|2021-11-29|595500|up50pct,SH600004|2021-07-02|546000|up50pct,0.06726390754557289,True,late_rescue_winner,unclassified_mixed_path,stair_step_winner,4,0.6371322957465732,stair_step_winner,0.7058823529411765
up100pct,up100pct::SH600009::000000,5,124503,125503,124503,SH600009|2018-01-10|124503|up100pct,SH600009|2018-01-12|125503|up100pct,SH600009|2018-01-10|124503|up100pct,0.04831347091042564,False,stair_step_winner,stair_step_winner,stair_step_winner,1,-0.0,stair_step_winner,1.0
up50pct,up50pct::SH600009::000000,54,124503,270503,258503,SH600009|2018-01-10|124503|up50pct,SH600009|2019-03-27|270503|up50pct,SH600009|2019-02-21|258503|up50pct,0.05817270603857232,True,unclassified_mixed_path,smooth_trend_winner,smooth_trend_winner,3,0.8517659980650433,smooth_trend_winner,0.48148148148148145
up50pct,up50pct::SH600009::000001,15,556501,564500,559500,SH600009|2021-08-02|556501|up50pct,SH600009|2021-08-24|564500|up50pct,SH600009|2021-08-10|559500|up50pct,0.037016313805527425,True,stair_step_winner,unclassified_mixed_path,stair_step_winner,2,0.9182958340544894,stair_step_winner,0.6666666666666666
up100pct,up100pct::SH600010::000000,370,163004,548002,427002,SH600010|2018-05-10|163004|up100pct,SH600010|2021-07-08|548002|up100pct,SH600010|2020-07-10|427002|up100pct,0.3151312811775092,True,late_rescue_winner,smooth_trend_winner,stair_step_winner,4,0.9103654205630436,stair_step_winner,0.44054054054054054
up100pct,up100pct::SH600010::000001,72,833002,948502,894002,SH600010|2023-11-14|833002|up100pct,SH600010|2024-10-30|948502|up100pct,SH600010|2024-05-20|894002|up100pct,0.05353122679840664,True,late_rescue_winner,slow_grind_winner,slow_grind_winner,2,0.46012788614713496,slow_grind_winner,0.9027777777777778
up150pct,up150pct::SH600010::000000,305,254004,547002,429502,SH600010|2019-02-01|254004|up150pct,SH600010|2021-07-06|547002|up150pct,SH600010|2020-07-17|429502|up150pct,0.09114490400142829,True,late_rescue_winner,smooth_trend_winner,stair_step_winner,4,0.5654385231526656,stair_step_winner,0.7639344262295082
up50pct,up50pct::SH600010::000000,403,124504,503002,421002,SH600010|2018-01-10|124504|up50pct,SH600010|2021-02-25|503002|up50pct,SH600010|2020-06-22|421002|up50pct,0.1581704741089015,True,late_rescue_winner,unclassified_short_path,unclassified_mixed_path,6,0.762941003466409,unclassified_mixed_path,0.4640198511166253
up50pct,up50pct::SH600010::000001,311,673002,1032502,885002,SH600010|2022-07-20|673002|up50pct,SH600010|2025-07-09|1032502|up50pct,SH600010|2024-04-19|885002|up50pct,0.47353843672295176,True,late_rescue_winner,smooth_trend_winner,slow_grind_winner,5,0.8201116275658156,late_rescue_winner,0.4115755627009646
up100pct,up100pct::SH600011::000000,268,349505,561002,457504,SH600011|2019-11-19|349505|up100pct,SH600011|2021-08-13|561002|up100pct,SH600011|2020-10-13|457504|up100pct,0.26143815980399576,True,late_rescue_winner,smooth_trend_winner,unclassified_mixed_path,5,0.6819738604476461,unclassified_mixed_path,0.6231343283582089
up150pct,up150pct::SH600011::000000,127,404504,561002,500003,SH600011|2020-05-06|404504|up150pct,SH600011|2021-08-13|561002|up150pct,SH600011|2021-02-10|500003|up150pct,0.08082069394076932,True,unclassified_mixed_path,unclassified_mixed_path,stair_step_winner,3,0.7149147562825237,stair_step_winner,0.5275590551181102
up50pct,up50pct::SH600011::000000,464,124505,566003,441003,SH600011|2018-01-10|124505|up50pct,SH600011|2021-08-27|566003|up50pct,SH600011|2020-08-19|441003|up50pct,0.31497821509941476,True,late_rescue_winner,unclassified_short_path,unclassified_mixed_path,6,0.6639035718656209,unclassified_mixed_path,0.5625
up100pct,up100pct::SH600015::000000,61,556504,739004,682004,SH600015|2021-08-02|556504|up100pct,SH600015|2023-02-07|739004|up100pct,SH600015|2022-08-15|682004|up100pct,0.013526702070522579,False,slow_grind_winner,slow_grind_winner,slow_grind_winner,1,-0.0,slow_grind_winner,1.0
up50pct,up50pct::SH600015::000000,449,163007,836504,486504,SH600015|2018-05-10|163007|up50pct,SH600015|2023-11-23|836504|up50pct,SH600015|2021-01-04|486504|up50pct,0.04990762045080362,True,late_rescue_winner,slow_grind_winner,slow_grind_winner,2,0.8848013775029382,slow_grind_winner,0.6971046770601337
up100pct,up100pct::SH600018::000000,18,406007,422506,408507,SH600018|2020-05-11|406007|up100pct,SH600018|2020-06-29|422506|up100pct,SH600018|2020-05-18|408507|up100pct,0.010094418585103529,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,2,0.8524051786494784,late_rescue_winner,0.7222222222222222
up50pct,up50pct::SH600018::000000,13,256008,259008,257508,SH600018|2019-02-14|256008|up50pct,SH600018|2019-02-22|259008|up50pct,SH600018|2019-02-19|257508|up50pct,0.20504927310370855,False,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,1,-0.0,smooth_trend_winner,1.0
up50pct,up50pct::SH600018::000001,273,370508,499006,439506,SH600018|2020-01-17|370508|up50pct,SH600018|2021-02-08|499006|up50pct,SH600018|2020-08-14|439506|up50pct,0.2235476319507299,True,late_rescue_winner,unclassified_mixed_path,late_rescue_winner,4,0.5750495959395228,late_rescue_winner,0.6593406593406593
up100pct,up100pct::SH600019::000000,216,325509,491508,430508,SH600019|2019-09-04|325509|up100pct,SH600019|2021-01-18|491508|up100pct,SH600019|2020-07-21|430508|up100pct,0.05083038130378172,True,stair_step_winner,unclassified_mixed_path,stair_step_winner,3,0.4857589610758933,stair_step_winner,0.8240740740740741
up150pct,up150pct::SH600019::000000,90,372509,458008,413508,SH600019|2020-01-23|372509|up150pct,SH600019|2020-10-14|458008|up150pct,SH600019|2020-06-01|413508|up150pct,0.04134708170616705,False,stair_step_winner,stair_step_winner,stair_step_winner,1,-0.0,stair_step_winner,1.0
up50pct,up50pct::SH600019::000000,317,325509,560006,419008,SH600019|2019-09-04|325509|up50pct,SH600019|2021-08-11|560006|up50pct,SH600019|2020-06-16|419008|up50pct,0.1812356502790392,True,unclassified_mixed_path,smooth_trend_winner,stair_step_winner,4,0.806516836988005,unclassified_mixed_path,0.38801261829652994
up50pct,up50pct::SH600019::000001,42,591007,685007,674507,SH600019|2021-11-16|591007|up50pct,SH600019|2022-08-23|685007|up50pct,SH600019|2022-07-25|674507|up50pct,0.016260683078477764,True,late_rescue_winner,slow_grind_winner,slow_grind_winner,2,0.5266170655714282,slow_grind_winner,0.8809523809523809
up100pct,up100pct::SH600021::000000,269,254009,1049508,747508,SH600021|2019-02-01|254009|up100pct,SH600021|2025-08-26|1049508|up100pct,SH600021|2023-03-02|747508|up100pct,0.07649619099492883,True,late_rescue_winner,jump_repricing_winner,late_rescue_winner,3,0.7306761745525804,late_rescue_winner,0.587360594795539
up150pct,up150pct::SH600021::000000,248,254009,939010,717008,SH600021|2019-02-01|254009|up150pct,SH600021|2024-09-26|939010|up150pct,SH600021|2022-11-29|717008|up150pct,0.4573526156862095,True,late_rescue_winner,unclassified_mixed_path,late_rescue_winner,2,0.9450667261866617,late_rescue_winner,0.6370967741935484
up50pct,up50pct::SH600021::000000,285,254009,1050508,279008,SH600021|2019-02-01|254009|up50pct,SH600021|2025-08-28|1050508|up50pct,SH600021|2019-04-22|279008|up50pct,0.1565425893305565,True,late_rescue_winner,unclassified_short_path,late_rescue_winner,5,0.5450354232956129,late_rescue_winner,0.6947368421052632
up100pct,up100pct::SH600023::000000,400,255511,760009,477509,SH600023|2019-02-13|255511|up100pct,SH600023|2023-04-07|760009|up100pct,SH600023|2020-12-08|477509|up100pct,0.08115508260596178,True,late_rescue_winner,slow_grind_winner,slow_grind_winner,2,0.12716372266963571,slow_grind_winner,0.9825
up150pct,up150pct::SH600023::000000,34,372511,423509,417010,SH600023|2020-01-23|372511|up150pct,SH600023|2020-07-01|423509|up150pct,SH600023|2020-06-10|417010|up150pct,0.06934566191263783,False,slow_grind_winner,slow_grind_winner,slow_grind_winner,1,-0.0,slow_grind_winner,1.0
up50pct,up50pct::SH600023::000000,505,126012,735009,474509,SH600023|2018-01-15|126012|up50pct,SH600023|2023-01-19|735009|up50pct,SH600023|2020-11-30|474509|up50pct,0.14105429417369464,True,late_rescue_winner,smooth_trend_winner,unclassified_mixed_path,5,0.823622527043757,late_rescue_winner,0.3900990099009901
up100pct,up100pct::SH600025::000000,442,163012,505009,360513,SH600025|2018-05-10|163012|up100pct,SH600025|2021-03-03|505009|up100pct,SH600025|2019-12-19|360513|up100pct,0.16690054320168327,True,slow_grind_winner,unclassified_mixed_path,stair_step_winner,5,0.6967789233611047,stair_step_winner,0.5090497737556561
