instrument,threshold_id,episode_cluster_id,cluster_split_bucket,cluster_member_split_bucket_set,cluster_calendar_span_split_bucket_set,cluster_start_date,cluster_end_date,cluster_start_pos,cluster_end_pos,touches_multiple_split_buckets,touches_multiple_calendar_split_buckets,train_validation_boundary_overlap,validation_robustness_boundary_overlap,split_overlap_status,blocking_reason
SH600000,up100pct,up100pct::SH600000::000000,cross_split,robustness;validation,robustness;validation,2023-11-15,2025-07-04,1668,2063,True,True,False,True,pass,
SH600004,up100pct,up100pct::SH600004::000000,train,train,train,2019-02-11,2019-09-24,510,665,False,False,False,False,pass,
SH600009,up100pct,up100pct::SH600009::000000,train,train,train,2018-01-11,2019-08-27,251,646,False,False,False,False,pass,
SH600010,up100pct,up100pct::SH600010::000000,train,train,train,2018-05-11,2021-09-01,319,1127,False,False,False,False,pass,
SH600010,up100pct,up100pct::SH600010::000001,cross_split,robustness;validation,robustness;validation,2023-11-15,2026-03-02,1659,2211,True,True,False,True,pass,
SH600011,up100pct,up100pct::SH600011::000000,cross_split,train,train;validation,2019-11-20,2023-05-31,701,1556,False,True,True,False,pass,
SH600015,up100pct,up100pct::SH600015::000000,cross_split,train;validation,robustness;train;validation,2021-08-03,2025-07-10,1115,2067,True,True,True,True,pass,
SH600018,up100pct,up100pct::SH600018::000000,cross_split,train,robustness;train;validation,2020-05-12,2024-10-08,811,1879,False,True,True,True,pass,
SH600019,up100pct,up100pct::SH600019::000000,train,train,train,2019-09-05,2021-09-13,634,1125,False,False,False,False,pass,
SH600021,up100pct,up100pct::SH600021::000000,cross_split,robustness;train;validation,robustness;train;validation,2019-02-11,2025-10-30,504,2135,True,True,True,True,pass,
SH600023,up100pct,up100pct::SH600023::000000,cross_split,train;validation,robustness;train;validation,2019-02-14,2024-07-10,513,1825,True,True,True,True,pass,
SH600025,up100pct,up100pct::SH600025::000000,cross_split,train;validation,robustness;train;validation,2018-05-11,2024-10-08,95,1649,True,True,True,True,pass,
SH600026,up100pct,up100pct::SH600026::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-25,248,2232,True,True,True,True,pass,
SH600027,up100pct,up100pct::SH600027::000000,cross_split,train;validation,robustness;train;validation,2018-01-12,2024-04-12,252,1765,True,True,True,True,pass,
SH600028,up100pct,up100pct::SH600028::000000,cross_split,train;validation,robustness;train;validation,2018-03-13,2026-03-04,289,2222,True,True,True,True,pass,
SH600030,up100pct,up100pct::SH600030::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2024-11-08,251,1888,True,True,True,True,pass,
SH600031,up100pct,up100pct::SH600031::000000,train,train,train,2020-07-20,2021-01-13,861,981,False,False,False,False,pass,
SH600036,up100pct,up100pct::SH600036::000000,train,train,train,2018-01-11,2021-06-04,251,1074,False,False,False,False,pass,
SH600037,up100pct,up100pct::SH600037::000000,train,train,train,2019-02-11,2020-07-10,508,849,False,False,False,False,pass,
SH600038,up100pct,up100pct::SH600038::000000,train,train,train,2018-01-16,2021-12-31,254,1216,False,False,False,False,pass,
SH600048,up100pct,up100pct::SH600048::000000,cross_split,train,train;validation,2021-08-03,2022-04-15,1115,1283,False,True,True,False,pass,
SH600050,up100pct,up100pct::SH600050::000000,cross_split,validation,robustness;validation,2022-06-29,2025-02-21,1237,1878,False,True,False,True,pass,
SH600056,up100pct,up100pct::SH600056::000000,train,train,train,2018-01-15,2022-03-31,253,1274,False,False,False,False,pass,
SH600060,up100pct,up100pct::SH600060::000000,cross_split,train,robustness;train;validation,2018-01-11,2024-05-13,250,1783,False,True,True,True,pass,
SH600062,up100pct,up100pct::SH600062::000000,train,train,train,2018-01-16,2022-05-12,254,1299,False,False,False,False,pass,
SH600066,up100pct,up100pct::SH600066::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-04-02,251,2242,True,True,True,True,pass,
SH600085,up100pct,up100pct::SH600085::000000,cross_split,train,train;validation,2018-01-11,2023-05-08,251,1539,False,True,True,False,pass,
SH600089,up100pct,up100pct::SH600089::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-20,245,2191,True,True,True,True,pass,
SH600095,up100pct,up100pct::SH600095::000000,train,train,train,2020-06-12,2020-08-19,826,872,False,False,False,False,pass,
SH600096,up100pct,up100pct::SH600096::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-06-11,2026-02-27,1077,2217,True,True,True,True,pass,
SH600111,up100pct,up100pct::SH600111::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-02,251,2220,True,True,True,True,pass,
SH600118,up100pct,up100pct::SH600118::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2025-12-30,251,2184,True,True,True,True,pass,
SH600120,up100pct,up100pct::SH600120::000000,cross_split,train,robustness;train,2018-03-13,2025-02-13,289,1967,False,True,False,False,pass,
SH600126,up100pct,up100pct::SH600126::000000,cross_split,train,robustness;train,2019-03-08,2025-02-27,529,1970,False,True,False,False,pass,
SH600132,up100pct,up100pct::SH600132::000000,train,train,train,2018-05-11,2021-07-22,328,1107,False,False,False,False,pass,
SH600141,up100pct,up100pct::SH600141::000000,cross_split,validation,robustness,2023-07-31,2026-02-25,1596,2216,False,False,False,False,pass,
SH600143,up100pct,up100pct::SH600143::000000,train,train,train,2018-01-11,2021-02-03,170,915,False,False,False,False,pass,
SH600143,up100pct,up100pct::SH600143::000001,cross_split,robustness;train;validation,robustness;train;validation,2021-10-26,2025-09-18,1087,2036,True,True,True,True,pass,
SH600153,up100pct,up100pct::SH600153::000000,cross_split,train,train;validation,2019-02-11,2022-11-30,510,1436,False,True,True,False,pass,
SH600160,up100pct,up100pct::SH600160::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-03-02,251,2210,True,True,True,True,pass,
SH600161,up100pct,up100pct::SH600161::000000,train,train,train,2018-01-11,2020-08-04,156,777,False,False,False,False,pass,
SH600166,up100pct,up100pct::SH600166::000000,train,train,train,2018-05-11,2021-09-03,328,1138,False,False,False,False,pass,
SH600171,up100pct,up100pct::SH600171::000000,cross_split,train,robustness;train,2020-02-18,2024-10-25,725,1862,False,True,False,False,pass,
SH600176,up100pct,up100pct::SH600176::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-05-28,249,2267,True,True,True,True,pass,
SH600177,up100pct,up100pct::SH600177::000000,cross_split,train,robustness;train;validation,2018-01-11,2024-12-17,251,1932,False,True,True,True,pass,
SH600183,up100pct,up100pct::SH600183::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-10-20,2026-05-27,1164,2278,True,True,True,True,pass,
SH600185,up100pct,up100pct::SH600185::000000,train,train,train,2018-01-18,2020-06-04,256,821,False,False,False,False,pass,
SH600188,up100pct,up100pct::SH600188::000000,cross_split,robustness;train;validation,robustness;train;validation,2021-02-24,2026-04-29,1006,2261,True,True,True,True,pass,
SH600196,up100pct,up100pct::SH600196::000000,train,train,train,2018-01-11,2021-08-05,251,1117,False,False,False,False,pass,
SH600201,up100pct,up100pct::SH600201::000000,train,train,train,2019-02-11,2020-08-10,508,874,False,False,False,False,pass,
SH600208,up100pct,up100pct::SH600208::000000,cross_split,train,robustness;train,2019-02-11,2025-08-18,507,2080,False,True,False,False,pass,
SH600211,up100pct,up100pct::SH600211::000000,train,train,train,2020-07-17,2020-07-31,860,870,False,False,False,False,pass,
SH600219,up100pct,up100pct::SH600219::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-01-29,251,2198,True,True,True,True,pass,
SH600221,up100pct,up100pct::SH600221::000000,train,train,train,2021-02-03,2021-09-08,869,1013,False,False,False,False,pass,
