threshold_id,cluster_split_bucket,episode_cluster_id,cluster_anchor_n,cluster_mean_membership_vector,cluster_top1_prototype,cluster_top2_prototype,cluster_membership_entropy,cluster_within_membership_dispersion,cluster_sharp_anchor_share,cluster_out_of_prototype_residual_share
up100pct,train,up100pct::SH600004::000000,1,"{""choppy_reversal_winner"": 0.12285866582688162, ""jump_repricing_winner"": 0.11217668029481705, ""late_rescue_winner"": 0.07071345920398706, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.10992451783649809, ""stair_step_winner"": 0.5843266768378163}",stair_step_winner,choppy_reversal_winner,0.6959641314545286,0.0,0.0,0.0
up100pct,train,up100pct::SH600009::000000,5,"{""choppy_reversal_winner"": 0.3329080565947848, ""jump_repricing_winner"": 0.03462938644581447, ""late_rescue_winner"": 0.24776716210382227, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.026095832658026896, ""stair_step_winner"": 0.3585995621975516}",stair_step_winner,choppy_reversal_winner,0.7206489993198081,0.0015200898230114245,0.0,1.0
up100pct,train,up100pct::SH600010::000000,370,"{""choppy_reversal_winner"": 0.2708553173779607, ""jump_repricing_winner"": 0.08451560134442088, ""late_rescue_winner"": 0.19518089256261117, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.07820814493611598, ""stair_step_winner"": 0.3712400437788912}",stair_step_winner,choppy_reversal_winner,0.8085161212930917,0.10125748336296973,0.0,0.024324324324324326
up100pct,train,up100pct::SH600019::000000,216,"{""choppy_reversal_winner"": 0.25175851308212593, ""jump_repricing_winner"": 0.049435768787179445, ""late_rescue_winner"": 0.1722111373903685, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.0398909466401362, ""stair_step_winner"": 0.4867036341001899}",stair_step_winner,choppy_reversal_winner,0.7131635141270055,0.03615311744071715,0.0,0.49074074074074076
up100pct,train,up100pct::SH600031::000000,39,"{""choppy_reversal_winner"": 0.05594660723218219, ""jump_repricing_winner"": 0.28492040438624155, ""late_rescue_winner"": 0.03385054178610027, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.38865485495580554, ""stair_step_winner"": 0.23662759163967031}",smooth_trend_winner,jump_repricing_winner,0.7489861425502031,0.027331242041696374,0.0,0.0
up100pct,train,up100pct::SH600036::000000,28,"{""choppy_reversal_winner"": 0.3328942208365036, ""jump_repricing_winner"": 0.026363826292816122, ""late_rescue_winner"": 0.2471736497216091, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.019648019854810135, ""stair_step_winner"": 0.373920283294261}",stair_step_winner,choppy_reversal_winner,0.6990454738821037,0.01144563974829096,0.0,0.4642857142857143
up100pct,train,up100pct::SH600037::000000,1,"{""choppy_reversal_winner"": 0.5075400586980405, ""jump_repricing_winner"": 0.016921045191673107, ""late_rescue_winner"": 0.2638875429386526, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.009562227758790018, ""stair_step_winner"": 0.20208912541284385}",choppy_reversal_winner,late_rescue_winner,0.6320048863451027,0.0,0.0,0.0
up100pct,train,up100pct::SH600038::000000,61,"{""choppy_reversal_winner"": 0.361538925049812, ""jump_repricing_winner"": 0.023537479747671404, ""late_rescue_winner"": 0.3119000814610714, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.01688531467054515, ""stair_step_winner"": 0.2861381990709}",choppy_reversal_winner,late_rescue_winner,0.695634553297857,0.009081726018172552,0.0,0.7049180327868853
up100pct,train,up100pct::SH600056::000000,106,"{""choppy_reversal_winner"": 0.35175840256637664, ""jump_repricing_winner"": 0.02894897715150065, ""late_rescue_winner"": 0.4108161945851973, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.023561136606619428, ""stair_step_winner"": 0.18491528909030608}",late_rescue_winner,choppy_reversal_winner,0.6897979560993455,0.04250953324392597,0.12264150943396226,0.1320754716981132
up100pct,train,up100pct::SH600062::000000,22,"{""choppy_reversal_winner"": 0.3517050530581389, ""jump_repricing_winner"": 0.019681236403486287, ""late_rescue_winner"": 0.409943956766161, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.01355263072710448, ""stair_step_winner"": 0.2051171230451092}",late_rescue_winner,choppy_reversal_winner,0.6661736677446756,0.034856164624993115,0.0,0.045454545454545456
