threshold_id,cluster_split_bucket,horizon_sessions,episode_cluster_n,anchor_n,step_n_overlap,average_uniqueness,average_uniqueness_nonoverlap,full_horizon_nonoverlap_step_n,effective_sample_size_overlap,effective_sample_size_nonoverlap,effective_sample_size_episode_cluster_blocked,partial_tail_step_n,effective_to_anchor_ratio,episode_cluster_to_anchor_ratio,time_block_to_anchor_ratio,effective_sample_status
up100pct,train,5,383,29639,277503,0.20110413220757975,1.0,55652,55807.0,55652.0,383.0,314,1.8776611896487736,0.012922163365835555,1.8776611896487736,pass
up100pct,train,8,383,29639,276354,0.12621266563899924,1.0,34712,34879.375,34712.0,383.0,337,1.1711596207699315,0.012922163365835555,1.1711596207699315,pass
up100pct,train,13,383,29639,274440,0.07820456762301975,1.0,21282,21462.46153846154,21282.0,383.0,348,0.7180404197172644,0.012922163365835555,0.7180404197172644,pass
up100pct,train,15,383,29639,273678,0.06796259351013478,1.0,18426,18599.86666666667,18426.0,383.0,360,0.6216808934174567,0.012922163365835555,0.6216808934174567,pass
up100pct,train,20,383,29639,271778,0.05132129900139084,1.0,13774,13948.0,13774.0,383.0,362,0.4647255305509633,0.012922163365835555,0.4647255305509633,pass
up100pct,robustness,5,87,5642,27467,0.20253394983070594,1.0,5530,5563.0,5530.0,87.0,66,0.9801488833746899,0.015420063807160581,0.9801488833746899,pass
up100pct,robustness,8,87,5642,27206,0.12779809600823347,1.0,3440,3476.875,3440.0,87.0,73,0.6097128677773839,0.015420063807160581,0.6097128677773839,pass
up100pct,robustness,13,87,5642,26771,0.07992287866031846,1.0,2102,2139.615384615385,2102.0,87.0,75,0.37256292095001775,0.015420063807160581,0.37256292095001775,pass
up100pct,robustness,15,87,5642,26597,0.06971964256620422,1.0,1811,1854.3333333333335,1811.0,87.0,78,0.3209854661467565,0.015420063807160581,0.3209854661467565,pass
up100pct,robustness,20,87,5642,26162,0.05315916214356701,1.0,1355,1390.75,1355.0,87.0,80,0.2401630627437079,0.015420063807160581,0.2401630627437079,pass
up100pct,validation,5,9,253,2651,0.20271595624292724,1.0,533,537.4000000000001,533.0,9.0,9,2.1067193675889326,0.03557312252964427,2.1067193675889326,pass
up100pct,validation,8,9,253,2624,0.12800114329268292,1.0,332,335.875,332.0,9.0,9,1.3122529644268774,0.03557312252964427,1.3122529644268774,pass
up100pct,validation,13,9,253,2579,0.08014436126107315,1.0,202,206.69230769230765,202.0,9.0,8,0.7984189723320159,0.03557312252964427,0.7984189723320159,pass
up100pct,validation,15,9,253,2561,0.06994663542886893,1.0,174,179.13333333333333,174.0,9.0,9,0.6877470355731226,0.03557312252964427,0.6877470355731226,pass
up100pct,validation,20,9,253,2518,0.05301826846703733,1.0,129,133.5,129.0,9.0,9,0.5098814229249012,0.03557312252964427,0.5098814229249012,pass
up150pct,train,5,234,16461,173166,0.20108104362288207,1.0,34725,34820.399999999994,34725.0,234.0,185,2.109531620193184,0.014215418261344996,2.109531620193184,pass
up150pct,train,8,234,16461,172464,0.12618720428611188,1.0,21667,21762.75,21667.0,234.0,199,1.3162626814895815,0.014215418261344996,1.3162626814895815,pass
up150pct,train,13,234,16461,171294,0.07818406680013042,1.0,13278,13392.461538461539,13278.0,234.0,215,0.8066338618552943,0.014215418261344996,0.8066338618552943,pass
up150pct,train,15,234,16461,170826,0.06794516057274654,1.0,11502,11606.8,11502.0,234.0,216,0.6987424822307272,0.014215418261344996,0.6987424822307272,pass
up150pct,train,20,234,16461,169656,0.05130469892016787,1.0,8597,8704.15,8597.0,234.0,217,0.5222647469777049,0.014215418261344996,0.5222647469777049,pass
up150pct,robustness,5,54,3646,18318,0.20235833606288894,1.0,3689,3706.7999999999997,3689.0,54.0,36,1.0117937465715854,0.014810751508502468,1.0117937465715854,pass
up150pct,robustness,8,54,3646,18156,0.12760244547257105,1.0,2292,2316.75,2292.0,54.0,47,0.6286341195831048,0.014810751508502468,0.6286341195831048,pass
up150pct,robustness,13,54,3646,17886,0.07970995793874022,1.0,1404,1425.6923076923076,1404.0,54.0,44,0.3850795392210642,0.014810751508502468,0.3850795392210642,pass
up150pct,robustness,15,54,3646,17778,0.06950163122960963,1.0,1210,1235.6000000000001,1210.0,54.0,47,0.33187054306088865,0.014810751508502468,0.33187054306088865,pass
up150pct,robustness,20,54,3646,17508,0.05293008910212474,1.0,906,926.6999999999999,906.0,54.0,47,0.24849149753154143,0.014810751508502468,0.24849149753154143,pass
up150pct,validation,5,5,155,1675,0.20238805970149254,1.0,336,339.0,336.0,5.0,5,2.167741935483871,0.03225806451612903,2.167741935483871,pass
up150pct,validation,8,5,155,1660,0.1276355421686747,1.0,210,211.875,210.0,5.0,4,1.3548387096774193,0.03225806451612903,1.3548387096774193,pass
up150pct,validation,13,5,155,1635,0.07974594213126322,1.0,128,130.38461538461536,128.0,5.0,5,0.8258064516129032,0.03225806451612903,0.8258064516129032,pass
up150pct,validation,15,5,155,1625,0.06953846153846154,1.0,110,113.0,110.0,5.0,5,0.7096774193548387,0.03225806451612903,0.7096774193548387,pass
