artifact_role,artifact_path,resolved_path,required_flag,lineage_role,read_status,row_count,column_count,sha256,schema_status,required_column_missing_list,input_gate_status
requirement,requirement_16a_sequential_sampling_geometry_preflight.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/requirement_16a_sequential_sampling_geometry_preflight.md,True,run_config_input,pass,,,88fd2a22084ec652fc06423aa3a7e4359fdac62824a083a419de689f2c91b538,not_checked,,pass
source_plan,research_plan.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/research_plan.md,True,episode_16_research_plan,pass,,,e7e5dfb5953d8e0440287980583054d73190a69ef659f99ce147b8389197910c,not_checked,,pass
upstream_requirement_15a,SOURCE_EP15_ROOT/requirement_15a_winner_episode_label_censoring_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15a_winner_episode_label_censoring_diagnostic.md,True,upstream_requirement_context,pass,,,75d82119e6484a8f03f8c28008443884a42d9fca0b33f33e972a6da6dc2df47c,not_checked,,pass
upstream_requirement_15b,SOURCE_EP15_ROOT/requirement_15b_winner_path_shape_taxonomy_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15b_winner_path_shape_taxonomy_diagnostic.md,True,upstream_requirement_context,pass,,,9d4be4b3318f8fbdd8629f4065dfe2c3bced17d88e061826291ce007ddf19cbf,not_checked,,pass
upstream_requirement_15c,SOURCE_EP15_ROOT/requirement_15c_winner_entry_phase_and_mixture_taxonomy_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15c_winner_entry_phase_and_mixture_taxonomy_diagnostic.md,True,upstream_requirement_context,pass,,,1a4ed8492ff821f4115d1d7849efe0e7672dd19feb0885a64070afbd0de12001,not_checked,,pass
upstream_requirement_15c2,SOURCE_EP15_ROOT/requirement_15c2_winner_shape_membership_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15c2_winner_shape_membership_diagnostic.md,True,upstream_requirement_context,pass,,,2de77ead096dd4735f6b22efe03c9702969230f76e12e92aa7104ff44f9eece4,not_checked,,pass
upstream_15b_membership_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_membership_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_membership_audit.csv,True,upstream_15b_cluster_lineage,pass,417131.0,58.0,5a71dea1f987b59ce09d5c3923f5ab0596def4bb6ac0463192ab8954873a5267,pass,,pass
upstream_15b_split_overlap_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/split_overlap_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/split_overlap_audit.csv,True,upstream_15b_cluster_lineage,pass,2867.0,16.0,2c4cf4b8b55295125069e3bbcc0cc64de69cfb4855a41e39039f6ced49aa3b93,pass,,pass
upstream_15a_price_path_completeness_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/price_path_completeness_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/price_path_completeness_audit.csv,True,upstream_15a_lineage,pass,1449.0,12.0,4561a18e37b447b9d135c6af08dabdf0608986b96cc10fc428cbe1203b8d26eb,pass,,pass
upstream_15b_price_path_completeness_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/price_path_completeness_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/price_path_completeness_audit.csv,True,upstream_15b_cluster_lineage,pass,1449.0,9.0,8bc7b1d30a67318c5b445385ea00ee4e4981b639388917c8d72bd121fd19e783,pass,,pass
upstream_15b_config,SOURCE_EP15_ROOT/configs/config_15b_winner_path_shape_taxonomy_diagnostic.yaml,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/configs/config_15b_winner_path_shape_taxonomy_diagnostic.yaml,True,upstream_15b_cluster_lineage,pass,,,1eb70d0a38458c0882ef49897d8ced454e1b22e81001ff044084d7ce692b4240,not_checked,,pass
upstream_15c2_decision,SOURCE_EP15_ROOT/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/winner_soft_shape_membership_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/winner_soft_shape_membership_decision.csv,True,upstream_15c2_override_guard,pass,1.0,22.0,dc280e692495380ec74b1d022d01fd6484baca57dec34f602dbaeecc1e5ca6be,pass,,pass
upstream_15c2_membership_vs_random_baseline,SOURCE_EP15_ROOT/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/membership_vs_random_baseline_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/membership_vs_random_baseline_readout.csv,True,upstream_15c2_override_guard,pass,3.0,11.0,c9a25e302e831422891c68f52a0f5d91002ae8276a5aad10e2a211cdfc69a99f,pass,,pass
upstream_15a_path_defined_label_cache,SOURCE_EP15_ROOT/outputs/local_cache/15A_winner_episode_label_censoring_diagnostic/path_defined_label_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15A_winner_episode_label_censoring_diagnostic/path_defined_label_panel.parquet,False,upstream_15a_lineage,pass,1226145.0,48.0,9c5887346f6f052dfc3c9a49355413a8a68406e4ae8c16ca0693c3aa61022ba8,pass,,pass
upstream_15b_winner_episode_cluster_cache,SOURCE_EP15_ROOT/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_panel.parquet,False,upstream_15b_cluster_lineage,pass,2867.0,18.0,35edfa714c6b7a516623a9757e7a27b601cfb16e30697b07eb927d5722db1c49,pass,,pass
