threshold_id,cluster_split_bucket,horizon_sessions,source_episode_cluster_n,materialized_step_n,expected_labelable_step_n_from_16a,step_count_delta_vs_16a,duplicate_step_id_n,bad_step_bounds_n,partial_tail_materialized_n,cluster_count_mismatch_n,adapter_status,materialization_status,blocking_reason
up100pct,train,5,383,55652,55652,0,0,0,0,0,pass,pass,
up100pct,train,8,383,34712,34712,0,0,0,0,0,pass,pass,
up100pct,train,13,381,21282,21282,0,0,0,0,0,pass,pass,
up100pct,train,15,380,18426,18426,0,0,0,0,0,pass,pass,
up100pct,train,20,378,13774,13774,0,0,0,0,0,pass,pass,
up100pct,robustness,5,87,5530,5530,0,0,0,0,0,pass,pass,
up100pct,robustness,8,87,3440,3440,0,0,0,0,0,pass,pass,
up100pct,robustness,13,87,2102,2102,0,0,0,0,0,pass,pass,
up100pct,robustness,15,87,1811,1811,0,0,0,0,0,pass,pass,
up100pct,robustness,20,87,1355,1355,0,0,0,0,0,pass,pass,
up100pct,validation,5,9,533,533,0,0,0,0,0,pass,pass,
up100pct,validation,8,9,332,332,0,0,0,0,0,pass,pass,
up100pct,validation,13,9,202,202,0,0,0,0,0,pass,pass,
up100pct,validation,15,9,174,174,0,0,0,0,0,pass,pass,
up100pct,validation,20,8,129,129,0,0,0,0,0,pass,pass,
up150pct,train,5,234,34725,34725,0,0,0,0,0,pass,pass,
up150pct,train,8,234,21667,21667,0,0,0,0,0,pass,pass,
up150pct,train,13,234,13278,13278,0,0,0,0,0,pass,pass,
up150pct,train,15,234,11502,11502,0,0,0,0,0,pass,pass,
up150pct,train,20,233,8597,8597,0,0,0,0,0,pass,pass,
up150pct,robustness,5,54,3689,3689,0,0,0,0,0,pass,pass,
up150pct,robustness,8,54,2292,2292,0,0,0,0,0,pass,pass,
up150pct,robustness,13,54,1404,1404,0,0,0,0,0,pass,pass,
up150pct,robustness,15,54,1210,1210,0,0,0,0,0,pass,pass,
up150pct,robustness,20,54,906,906,0,0,0,0,0,pass,pass,
up150pct,validation,5,5,336,336,0,0,0,0,0,pass,pass,
up150pct,validation,8,5,210,210,0,0,0,0,0,pass,pass,
up150pct,validation,13,5,128,128,0,0,0,0,0,pass,pass,
up150pct,validation,15,5,110,110,0,0,0,0,0,pass,pass,
up150pct,validation,20,5,82,82,0,0,0,0,0,pass,pass,
up50pct,train,5,667,81906,81906,0,0,0,0,0,pass,pass,
up50pct,train,8,667,51062,51062,0,0,0,0,0,pass,pass,
up50pct,train,13,660,31281,31281,0,0,0,0,0,pass,pass,
up50pct,train,15,659,27078,27078,0,0,0,0,0,pass,pass,
up50pct,train,20,652,20245,20245,0,0,0,0,0,pass,pass,
up50pct,robustness,5,209,10280,10280,0,0,0,0,0,pass,pass,
up50pct,robustness,8,208,6385,6385,0,0,0,0,0,pass,pass,
up50pct,robustness,13,206,3881,3881,0,0,0,0,0,pass,pass,
up50pct,robustness,15,206,3354,3354,0,0,0,0,0,pass,pass,
up50pct,robustness,20,204,2496,2496,0,0,0,0,0,pass,pass,
up50pct,validation,5,45,2729,2729,0,0,0,0,0,pass,pass,
up50pct,validation,8,45,1698,1698,0,0,0,0,0,pass,pass,
up50pct,validation,13,45,1036,1036,0,0,0,0,0,pass,pass,
up50pct,validation,15,45,895,895,0,0,0,0,0,pass,pass,
up50pct,validation,20,41,664,664,0,0,0,0,0,pass,pass,
