split_bucket,context_stratum,model_id,binary_step_n,positive_n,negative_n,episode_cluster_n,roc_auc,average_precision,binary_positive_rate,pr_auc_lift_vs_binary_base,rank_ic_spearman,valid_stratum_power,context_independence_status
train,all_steps,ridge_logistic_bar_state_v1,14962,10078,4884,652,0.6802636405732257,0.8006621307192827,0.673573051731052,0.12708907898823074,0.29280879408795735,True,readout
train,late_rescue_context,ridge_logistic_bar_state_v1,7603,5066,2537,164,0.6823382669223483,0.7949630827772004,0.6663159279231882,0.12864715485401224,0.2978353791358339,True,readout
train,non_late_rescue_context,ridge_logistic_bar_state_v1,7359,5012,2347,488,0.6785496657191891,0.8072877438696155,0.6810707976627259,0.1262169462068896,0.28826568117636797,True,readout
train,known_failed_context_any,ridge_logistic_bar_state_v1,11197,7410,3787,402,0.6826265151004911,0.795594522436035,0.6617844065374654,0.13381011589856961,0.29930194220405204,True,readout
train,non_known_failed_context,ridge_logistic_bar_state_v1,3765,2668,1097,250,0.6756336963696821,0.8194252442369634,0.7086321381142098,0.11079310612275362,0.27645835896865883,True,pass
robustness,all_steps,ridge_logistic_bar_state_v1,1872,1346,526,204,0.6722198995474551,0.8181998121824747,0.719017094017094,0.09918271816538071,0.2681535644249009,True,readout
robustness,late_rescue_context,ridge_logistic_bar_state_v1,319,214,105,20,0.6425901201602137,0.7575019062351587,0.670846394984326,0.0866555112508327,0.23210956896244017,True,readout
robustness,non_late_rescue_context,ridge_logistic_bar_state_v1,1553,1132,421,184,0.6768001477216453,0.8298071446461628,0.7289117836445589,0.1008953610016039,0.272248905339719,True,readout
robustness,known_failed_context_any,ridge_logistic_bar_state_v1,965,663,302,107,0.6510393255621149,0.782315762768899,0.6870466321243524,0.09526913064454667,0.242612859316659,True,readout
robustness,non_known_failed_context,ridge_logistic_bar_state_v1,907,683,224,97,0.6887680401589626,0.8496044650444999,0.75303197353914,0.09657249150535996,0.2819982594759166,True,pass
validation,all_steps,ridge_logistic_bar_state_v1,505,325,180,40,0.6106324786324786,0.7122125403006181,0.6435643564356436,0.06864818386497451,0.1835526555072175,True,readout
validation,late_rescue_context,ridge_logistic_bar_state_v1,368,222,146,13,0.5941318030359126,0.6484759724931957,0.6032608695652174,0.04521510292797826,0.15952681715971068,True,readout
validation,non_late_rescue_context,ridge_logistic_bar_state_v1,137,103,34,27,0.6424900057110222,0.8413588802642149,0.7518248175182481,0.08953406274596676,0.213218115407026,True,readout
validation,known_failed_context_any,ridge_logistic_bar_state_v1,452,280,172,29,0.6007475083056478,0.6844765672101496,0.6194690265486725,0.06500754066147707,0.1694457982687007,True,readout
validation,non_known_failed_context,ridge_logistic_bar_state_v1,53,45,8,11,0.6666666666666667,0.899335421143591,0.8490566037735849,0.05027881737000606,0.20672455764868075,False,pass
