feature_name,feature_family,binning,train_frozen_bin_positive_minus_negative_rate_spread,univariate_status
intraday_range_20d_mean,qfq_rolling_market_state,train_deciles,0.3881095524382097,pass
turnover_rate_20d_mean,qfq_rolling_market_state,train_deciles,0.3774215096860387,pass
volatility_60d,qfq_rolling_market_state,train_deciles,0.35270541082164325,pass
volatility_20d,qfq_rolling_market_state,train_deciles,0.3373413493653975,pass
distance_to_60d_low,qfq_rolling_market_state,train_deciles,0.3318423835192667,pass
turnover_rate_60d_mean,qfq_rolling_market_state,train_deciles,0.32865731462925846,pass
ret_60d,qfq_rolling_market_state,train_deciles,0.3231507578436731,pass
ma_20_60_spread,qfq_rolling_market_state,train_deciles,0.24965974730209078,pass
distance_to_20d_low,qfq_rolling_market_state,train_deciles,0.24515698062792257,pass
ret_20d,qfq_rolling_market_state,train_deciles,0.21692002543411237,pass
ret_5d,qfq_rolling_market_state,train_deciles,0.21224132757493597,pass
ret_10d,qfq_rolling_market_state,train_deciles,0.21042084168336683,pass
ma_5_20_spread,qfq_rolling_market_state,train_deciles,0.1848514319190966,pass
log_total_market_cap_cny,pit_membership_context,train_deciles,0.14857076005844128,pass
history_observed_sessions_before_usable_date,pit_membership_context,train_deciles,0.14812155505306512,pass
board_bucket_main_board,pit_membership_context,train_deciles,0.1470588235294118,pass
board_bucket_chinext,pit_membership_context,train_deciles,0.13703208556149737,pass
history_ready_240d_flag,pit_membership_context,train_deciles,0.13302139037433147,pass
max_drawdown_20d,qfq_rolling_market_state,train_deciles,0.11915229746480482,pass
board_bucket_unknown_train_unseen,pit_membership_context,train_deciles,0.11631016042780751,pass
max_drawdown_60d,qfq_rolling_market_state,train_deciles,0.09734084925644515,pass
board_rank_pct,pit_membership_context,train_deciles,0.08890374331550799,pass
money_20d_zscore,qfq_rolling_market_state,train_deciles,0.083305202204766,pass
distance_to_60d_high,qfq_rolling_market_state,train_deciles,0.06660156319769661,pass
turnover_rate_20d_zscore,qfq_rolling_market_state,train_deciles,0.06125664876991055,pass
volume_20d_zscore,qfq_rolling_market_state,train_deciles,0.05791574235815655,pass
distance_to_20d_high,qfq_rolling_market_state,train_deciles,0.03897724147046311,pass
