policy_id,split_bucket,context_stratum,binary_step_n,positive_n,negative_n,neutral_step_n,defended_binary_step_n,continued_binary_step_n,defended_positive_n,defended_negative_n,continued_positive_n,continued_negative_n,neutral_defended_n,neutral_continued_n,binary_negative_base_rate,defense_rate,defense_negative_capture_rate,positive_sacrifice_rate,defense_precision,defense_precision_lift_vs_binary_negative_base,continue_positive_precision,continue_negative_leakage_rate,neutral_defense_rate,policy_confusion_status
defense_bottom_10pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,1497,13465,556,941,9522,3943,237,5046,0.326426948268948,0.10005346878759525,0.19266994266994267,0.055169676523119666,0.6285905143620575,0.30216356609310946,0.7071667285555143,0.8073300573300574,0.044860874503123226,pass
defense_bottom_10pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,199,1673,81,118,1265,408,30,594,0.280982905982906,0.1063034188034188,0.22433460076045628,0.060178306092124816,0.592964824120603,0.31198191813769705,0.7561267184698147,0.7756653992395437,0.04807692307692308,pass
defense_bottom_10pct_continuation_score_v1,validation,all_steps,505,325,180,159,63,442,26,37,299,143,12,147,0.3564356435643564,0.12475247524752475,0.20555555555555555,0.08,0.5873015873015873,0.2308659437372309,0.6764705882352942,0.7944444444444444,0.07547169811320754,pass
defense_bottom_20pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,2993,11969,1338,1655,8740,3229,639,4644,0.326426948268948,0.20004010159069643,0.33886158886158885,0.1327644373883707,0.552956899432008,0.22652995116305996,0.7302197343136436,0.6611384111384111,0.12095400340715502,pass
defense_bottom_20pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,303,1569,137,166,1209,360,61,563,0.280982905982906,0.16185897435897437,0.3155893536121673,0.10178306092124814,0.5478547854785478,0.26687187949564184,0.7705544933078394,0.6844106463878327,0.09775641025641026,pass
defense_bottom_20pct_continuation_score_v1,validation,all_steps,505,325,180,159,131,374,64,67,261,113,18,141,0.3564356435643564,0.2594059405940594,0.37222222222222223,0.19692307692307692,0.5114503816793893,0.15501473811503286,0.6978609625668449,0.6277777777777778,0.11320754716981132,pass
defense_bottom_30pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,4489,10473,2190,2299,7888,2585,1095,4188,0.326426948268948,0.3000267343937976,0.47072072072072074,0.21730502083746775,0.5121407885943418,0.18571384032539373,0.7531748305165664,0.5292792792792793,0.2072685973878478,pass
defense_bottom_30pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,397,1475,201,196,1145,330,89,535,0.280982905982906,0.21207264957264957,0.3726235741444867,0.14933135215453194,0.49370277078085645,0.21271986479795046,0.7762711864406779,0.6273764258555133,0.14262820512820512,pass
defense_bottom_30pct_continuation_score_v1,validation,all_steps,505,325,180,159,158,347,77,81,248,99,25,134,0.3564356435643564,0.31287128712871287,0.45,0.23692307692307693,0.5126582278481012,0.1562225842837448,0.7146974063400576,0.55,0.15723270440251572,pass
defense_bottom_40pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,5985,8977,3185,2800,6893,2084,1556,3727,0.326426948268948,0.4000133671968988,0.5733005733005733,0.3160349275649931,0.4678362573099415,0.14140930904099347,0.7678511752255764,0.4266994266994267,0.2945296233200833,pass
defense_bottom_40pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,484,1388,257,227,1089,299,113,511,0.280982905982906,0.25854700854700857,0.43155893536121676,0.19093610698365526,0.4690082644628099,0.18802535847990393,0.7845821325648416,0.5684410646387833,0.18108974358974358,pass
defense_bottom_40pct_continuation_score_v1,validation,all_steps,505,325,180,159,194,311,99,95,226,85,34,125,0.3564356435643564,0.38415841584158417,0.5277777777777778,0.3046153846153846,0.4896907216494845,0.1332550780851281,0.7266881028938906,0.4722222222222222,0.2138364779874214,pass
