replay_key,split_bucket,cost_bps,source_table,source_value_column,panel_groupby_columns,panel_value_column,source_value,panel_replay_value,abs_diff,tolerance,replay_status,blocking_reason
split_incremental_sum:train:0,train,0,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-18.972550473018977,-18.97255047301898,3.552713678800501e-15,1e-09,pass,
split_incremental_sum:robustness:0,robustness,0,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-11.370725397673018,-11.370725397673018,0.0,1e-09,pass,
split_incremental_sum:validation:0,validation,0,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-2.94396953141098,-2.94396953141098,0.0,1e-09,pass,
split_incremental_sum:train:25,train,25,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-32.93255047301898,-32.932550473018985,7.105427357601002e-15,1e-09,pass,
split_incremental_sum:robustness:25,robustness,25,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-12.585725397673016,-12.585725397673018,1.7763568394002505e-15,1e-09,pass,
split_incremental_sum:validation:25,validation,25,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-3.40146953141098,-3.4014695314109806,4.440892098500626e-16,1e-09,pass,
split_incremental_sum:train:50,train,50,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-46.892550473019,-46.892550473019,0.0,1e-09,pass,
split_incremental_sum:robustness:50,robustness,50,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-13.800725397673018,-13.80072539767302,1.7763568394002505e-15,1e-09,pass,
split_incremental_sum:validation:50,validation,50,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-3.85896953141098,-3.858969531410981,8.881784197001252e-16,1e-09,pass,
split_incremental_sum:train:100,train,100,utility_by_split_readout.csv,full_denominator_sum_incremental_return,"split_bucket,cost_bps",incremental_net_return_h20,-74.81255047301902,-74.81255047301899,2.842170943040401e-14,1e-09,pass,
