column_name,column_role,feature_family_id,source_artifact,source_column,dtype,model_ready_feature,raw_feature,target_column,metadata_column,forbidden_as_model_feature,preprocessing_id,lineage_status,feature_matrix_schema_gate,blocking_reason
step_id,row_key,,t0_feature_panel.parquet,step_id,object,False,False,False,True,True,,pass,pass,
label_id,row_key,,t0_feature_panel.parquet,label_id,object,False,False,False,True,True,,pass,pass,
threshold_id,row_key,,t0_feature_panel.parquet,threshold_id,object,False,False,False,True,True,,pass,pass,
horizon_sessions,row_key,,t0_feature_panel.parquet,horizon_sessions,Int64,False,False,False,True,True,,pass,pass,
instrument,row_key,,t0_feature_panel.parquet,instrument,object,False,False,False,True,True,,pass,pass,
episode_cluster_id,row_key,,t0_feature_panel.parquet,episode_cluster_id,object,False,False,False,True,True,,pass,pass,
step_index,row_key,,t0_feature_panel.parquet,step_index,Int64,False,False,False,True,True,,pass,pass,
step_start_date,row_key,,t0_feature_panel.parquet,step_start_date,object,False,False,False,True,True,,pass,pass,
step_end_date,row_key,,t0_feature_panel.parquet,step_end_date,object,False,False,False,True,True,,pass,pass,
cluster_split_bucket,split_metadata,,t0_feature_panel.parquet,cluster_split_bucket,object,False,False,False,True,True,,pass,pass,
label_class,target,,payoff_state_target_contract.md,label_class,object,False,False,True,False,True,,pass,pass,
continuation_positive,target,,payoff_state_target_contract.md,continuation_positive,bool,False,False,True,False,True,,pass,pass,
continuation_negative,target,,payoff_state_target_contract.md,continuation_negative,bool,False,False,True,False,True,,pass,pass,
continuation_neutral,target,,payoff_state_target_contract.md,continuation_neutral,bool,False,False,True,False,True,,pass,pass,
y_payoff_h20,target,,payoff_state_target_contract.md,y_payoff_h20,float64,False,False,True,False,True,,pass,pass,
y_signed_max_drawdown_h20,target,,payoff_state_target_contract.md,y_signed_max_drawdown_h20,float64,False,False,True,False,True,,pass,pass,
continue_value,target,,payoff_state_target_contract.md,continue_value,float64,False,False,True,False,True,,pass,pass,
defend_value,target,,payoff_state_target_contract.md,defend_value,float64,False,False,True,False,True,,pass,pass,
continue_advantage,target,,payoff_state_target_contract.md,continue_advantage,float64,False,False,True,False,True,,pass,pass,
defend_advantage,target,,payoff_state_target_contract.md,defend_advantage,float64,False,False,True,False,True,,pass,pass,
o5_incremental,target,,payoff_state_target_contract.md,o5_incremental,float64,False,False,True,False,True,,pass,pass,
payoff_ordinal_state,target,,payoff_state_target_contract.md,payoff_ordinal_state,object,False,False,True,False,True,,pass,pass,
risk_state_dd08,target,,payoff_state_target_contract.md,risk_state_dd08,bool,False,False,True,False,True,,pass,pass,
